year,month,month_name,department_name,total_monthly_salary_cost,average_annual_salary,paid_employees
2025,10,October,Marketing,200333.34,49061.22,49
2025,10,October,HR,124458.3,40364.86,37
2025,10,October,Legal,117791.66,47116.67,30
2025,11,November,Sales,414624.98,50257.58,99
2025,11,November,Operations,399625.04,49438.14,97
2025,11,November,IT,397958.35,51907.61,92
2025,11,November,Customer Support,249249.99,46734.37,64
2025,11,November,Finance,231041.68,49508.93,56
2025,11,November,Marketing,200333.34,49061.22,49
2025,11,November,HR,126374.97,39907.89,38
2025,11,November,Legal,117791.66,47116.67,30
2025,12,December,Sales,414083.31,50191.92,99
2025,12,December,Operations,410083.37,49707.07,99
2025,12,December,IT,397958.35,51907.61,92
2025,12,December,Customer Support,253333.32,46769.23,65
2025,12,December,Finance,233125.01,49078.95,57
2025,12,December,Marketing,197500.01,49375.0,48
2025,12,December,HR,131291.64,40397.44,39
2025,12,December,Legal,117791.66,47116.67,30
2026,1,January,Operations,423000.04,49764.71,102
2026,1,January,Sales,410749.98,50295.92,98
2026,1,January,IT,392250.01,52300.0,90
2026,1,January,Customer Support,250374.99,46945.31,64
2026,1,January,Finance,236916.68,49017.24,58
2026,1,January,Marketing,197500.01,49375.0,48
2026,1,January,HR,131958.3,40602.56,39
2026,1,January,Legal,117791.66,47116.67,30
2026,2,February,Operations,420291.71,49935.64,101
2026,2,February,Sales,415333.31,49840.0,100
2026,2,February,IT,392250.01,52300.0,90
2026,2,February,Customer Support,252666.66,46646.15,65
2026,2,February,Finance,239250.01,48661.02,59
2026,2,February,Marketing,203750.01,47941.18,51
2026,2,February,HR,131958.3,40602.56,39
2026,2,February,Legal,123916.66,47967.74,31
2026,3,March,Sales,422166.64,50158.42,101
2026,3,March,Operations,420291.71,49935.64,101
2026,3,March,IT,407541.67,53157.61,92
2026,3,March,Customer Support,255041.66,46371.21,66
2026,3,March,Finance,239250.01,48661.02,59
2026,3,March,Marketing,203750.01,47941.18,51
2026,3,March,HR,131958.3,40602.56,39
2026,3,March,Legal,123041.66,47629.03,31
2026,4,April,Sales,419749.97,50370.0,100
2026,4,April,Operations,416083.37,50434.34,99
2026,4,April,IT,413375.0,53338.71,93
2026,4,April,Customer Support,255041.66,46371.21,66
2026,4,April,Finance,239250.01,48661.02,59
2026,4,April,Marketing,199916.68,47980.0,50
2026,4,April,HR,131958.3,40602.56,39
2026,4,April,Legal,123041.66,47629.03,31
2026,5,May,IT,413375.0,53338.71,93
2026,5,May,Operations,407750.04,50443.3,97
2026,5,May,Sales,404999.97,49591.84,98
2026,5,May,Customer Support,242041.66,45382.81,64
2026,5,May,Finance,239250.01,48661.02,59
2026,5,May,Marketing,199916.68,47980.0,50
2026,5,May,HR,129666.63,40947.37,38
2026,5,May,Legal,123041.66,47629.03,31
2026,6,June,IT,410500.0,53543.48,92
2026,6,June,Operations,404791.71,50598.96,96
2026,6,June,Sales,401291.64,49644.33,97
2026,6,June,Customer Support,240249.99,45761.9,63
2026,6,June,Finance,236541.68,48939.66,58
2026,6,June,Marketing,199916.68,47980.0,50
2026,6,June,HR,129666.63,40947.37,38
2026,6,June,Legal,123041.66,47629.03,31
