training_id,employee_id,course_name,course_category,assigned_date,completion_date,completion_status,training_hours,training_score,ingestion_timestamp,source_file_name,source_system,pipeline_run_id
TRN000011,EMP0004,Data Protection Training,Compliance,2026-04-02,2026-04-17,Completed,12.4,84.9,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000012,EMP0004,Budget Management,Finance,2025-04-19,2025-05-17,Completed,13.4,71.8,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000013,EMP0005,Information Security Awareness,Compliance,2025-09-19,,In Progress,4.3,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000014,EMP0006,SQL for Analysts,Technical,2025-06-15,,Not Started,2.0,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000015,EMP0006,Employee Relations Essentials,HR,2024-12-05,2024-12-22,Completed,9.1,78.4,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000016,EMP0006,Budget Management,Finance,2024-03-09,,Overdue,12.8,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000017,EMP0006,Inclusive Hiring,HR,2025-09-30,2025-10-27,Completed,12.4,79.1,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000018,EMP0006,Presentation Skills,Soft Skills,2026-03-20,2026-03-30,Completed,9.9,86.2,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000019,EMP0007,Communication Skills,Soft Skills,2024-02-05,,Overdue,1.1,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000020,EMP0007,Coaching Skills,Leadership,2024-09-06,,In Progress,1.3,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000021,EMP0007,First Line Manager Training,Leadership,2025-09-26,2025-10-12,Completed,2.2,81.2,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000022,EMP0008,Employee Relations Essentials,HR,2024-08-16,2024-08-23,Completed,14.7,71.9,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000023,EMP0008,Inclusive Hiring,HR,2025-03-14,2025-04-03,Completed,9.9,87.0,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000024,EMP0008,Python for Data Analysis,Technical,2024-03-22,,Overdue,7.1,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000025,EMP0008,Budget Management,Finance,2025-11-21,,Not Started,11.0,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000026,EMP0008,SQL for Analysts,Technical,2024-09-28,2024-11-03,Completed,14.4,81.9,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000027,EMP0009,Cloud Data Fundamentals,Technical,2024-02-09,2024-02-10,Completed,10.2,55.9,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000028,EMP0009,Coaching Skills,Leadership,2024-01-25,,In Progress,3.0,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000029,EMP0009,Workplace Health and Safety,Compliance,2024-01-27,2024-02-10,Completed,8.7,45.0,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000030,EMP0009,SQL for Analysts,Technical,2024-01-28,2024-02-03,Completed,3.9,78.8,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000031,EMP0010,SQL for Analysts,Technical,2025-08-17,2025-08-30,Completed,5.6,94.0,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000032,EMP0010,Inclusive Hiring,HR,2026-06-02,2026-06-16,Completed,15.7,63.6,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000033,EMP0011,Communication Skills,Soft Skills,2026-01-10,2026-01-12,Completed,4.2,75.2,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000034,EMP0011,Communication Skills,Soft Skills,2026-03-19,2026-03-23,Completed,9.8,73.7,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000035,EMP0012,Python for Data Analysis,Technical,2025-05-19,2025-06-16,Completed,12.8,78.4,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000036,EMP0012,Stakeholder Management,Soft Skills,2025-02-28,,In Progress,2.3,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000037,EMP0013,Data Protection Training,Compliance,2025-12-22,,Not Started,14.2,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000038,EMP0013,Employee Relations Essentials,HR,2025-03-12,2025-04-14,Completed,3.8,80.2,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000039,EMP0013,Inclusive Hiring,HR,2026-04-01,2026-04-22,Completed,7.8,67.3,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000040,EMP0014,Stakeholder Management,Soft Skills,2024-10-25,2024-10-31,Completed,1.2,74.5,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000041,EMP0014,Budget Management,Finance,2025-09-24,,Not Started,11.6,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000042,EMP0014,Coaching Skills,Leadership,2026-06-04,,Not Started,3.7,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000043,EMP0015,Data Protection Training,Compliance,2025-07-18,,In Progress,2.8,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000044,EMP0015,Data Protection Training,Compliance,2025-03-16,2025-03-25,Completed,7.7,95.1,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000045,EMP0016,Leading High Performing Teams,Leadership,2026-06-12,,In Progress,7.1,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000046,EMP0016,Communication Skills,Soft Skills,2024-05-10,,In Progress,2.8,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000047,EMP0016,Presentation Skills,Soft Skills,2024-12-04,,Not Started,15.6,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000048,EMP0017,Communication Skills,Soft Skills,2025-03-29,,In Progress,10.2,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000049,EMP0017,Power BI Fundamentals,Technical,2025-02-01,2025-02-04,Completed,8.2,91.0,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000050,EMP0018,Information Security Awareness,Compliance,2024-02-29,2024-03-04,Completed,8.9,85.4,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000051,EMP0018,Financial Controls,Finance,2024-03-31,2024-04-10,Completed,11.4,91.8,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000052,EMP0018,SQL for Analysts,Technical,2024-02-15,2024-02-26,Completed,7.9,45.9,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000053,EMP0019,Employee Relations Essentials,HR,2026-04-06,2026-05-16,Completed,13.1,69.3,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000054,EMP0020,Budget Management,Finance,2024-05-15,,Overdue,2.2,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000055,EMP0020,Financial Controls,Finance,2024-03-13,,In Progress,2.9,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000056,EMP0021,Budget Management,Finance,2026-05-07,2026-06-12,Completed,5.2,82.7,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000057,EMP0021,First Line Manager Training,Leadership,2026-03-04,2026-04-12,Completed,9.9,89.1,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000058,EMP0021,Financial Controls,Finance,2025-04-29,,Not Started,3.5,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000059,EMP0021,Stakeholder Management,Soft Skills,2024-04-17,,Not Started,11.4,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000060,EMP0022,SQL for Analysts,Technical,2025-03-29,2025-05-04,Completed,4.5,82.1,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000061,EMP0022,Inclusive Hiring,HR,2024-08-11,2024-09-14,Completed,7.9,82.1,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000062,EMP0022,Python for Data Analysis,Technical,2024-05-26,2024-07-06,Completed,5.6,88.4,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000063,EMP0023,Employee Relations Essentials,HR,2024-05-01,2024-06-03,Completed,8.6,87.4,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000064,EMP0023,Employee Relations Essentials,HR,2024-12-28,,Overdue,3.4,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000065,EMP0023,Information Security Awareness,Compliance,2026-03-15,2026-03-27,Completed,12.2,84.8,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000066,EMP0023,Cloud Data Fundamentals,Technical,2026-06-28,2026-06-30,Completed,1.1,91.0,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000067,EMP0024,Power BI Fundamentals,Technical,2026-05-07,2026-05-22,Completed,3.3,76.0,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000068,EMP0024,Budget Management,Finance,2025-07-31,,In Progress,9.2,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000069,EMP0024,SQL for Analysts,Technical,2025-06-26,2025-08-02,Completed,3.3,86.6,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000070,EMP0025,Cloud Data Fundamentals,Technical,2024-09-12,2024-09-16,Completed,7.9,71.8,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000071,EMP0025,Coaching Skills,Leadership,2026-02-24,,Overdue,9.9,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000072,EMP0025,Budget Management,Finance,2025-10-12,2025-10-30,Completed,8.4,83.2,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000073,EMP0025,Cloud Data Fundamentals,Technical,2024-09-16,2024-09-26,Completed,8.1,61.3,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000074,EMP0026,Presentation Skills,Soft Skills,2024-11-11,2024-12-22,Completed,14.3,61.9,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000075,EMP0026,First Line Manager Training,Leadership,2026-05-02,,Overdue,2.8,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000076,EMP0027,Data Protection Training,Compliance,2026-03-26,2026-04-18,Completed,4.1,97.0,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000077,EMP0027,Data Protection Training,Compliance,2026-03-18,2026-04-21,Completed,4.4,59.6,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000078,EMP0027,Python for Data Analysis,Technical,2026-04-25,2026-05-31,Completed,10.1,53.9,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000079,EMP0028,Employee Relations Essentials,HR,2026-04-16,2026-04-30,Completed,4.0,89.9,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000080,EMP0028,Inclusive Hiring,HR,2026-04-29,,Not Started,4.8,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000081,EMP0028,SQL for Analysts,Technical,2026-05-16,,Overdue,10.9,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000082,EMP0028,SQL for Analysts,Technical,2026-05-15,2026-05-19,Completed,4.4,76.8,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000083,EMP0029,Coaching Skills,Leadership,2025-09-23,2025-10-31,Completed,5.7,78.3,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000084,EMP0029,Data Protection Training,Compliance,2025-10-28,,Overdue,3.3,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000085,EMP0030,Presentation Skills,Soft Skills,2026-06-20,2026-06-27,Completed,12.5,84.4,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000086,EMP0030,Communication Skills,Soft Skills,2024-03-25,,Overdue,3.2,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000087,EMP0031,First Line Manager Training,Leadership,2026-01-01,2026-01-06,Completed,12.4,63.1,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000088,EMP0031,Inclusive Hiring,HR,2025-08-29,2025-09-05,Completed,8.3,79.9,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000089,EMP0031,Employee Relations Essentials,HR,2026-04-26,,Not Started,11.6,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000090,EMP0032,Communication Skills,Soft Skills,2024-04-28,,Overdue,2.1,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000091,EMP0033,Employee Relations Essentials,HR,2026-06-07,2026-06-30,Completed,9.2,79.6,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000092,EMP0034,Employee Relations Essentials,HR,2025-05-18,,In Progress,13.2,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000093,EMP0034,Presentation Skills,Soft Skills,2026-01-24,2026-03-09,Completed,2.1,86.1,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000094,EMP0034,Communication Skills,Soft Skills,2024-06-23,2024-07-10,Completed,15.1,81.0,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000095,EMP0035,Information Security Awareness,Compliance,2026-03-29,2026-05-05,Completed,3.0,62.6,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000096,EMP0035,Budget Management,Finance,2024-04-13,2024-05-10,Completed,9.0,70.2,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000097,EMP0036,Budget Management,Finance,2024-01-20,2024-02-28,Completed,5.3,85.6,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000098,EMP0036,Inclusive Hiring,HR,2025-05-12,2025-05-16,Completed,1.4,55.4,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000099,EMP0036,Workplace Health and Safety,Compliance,2024-06-30,2024-07-21,Completed,11.8,83.7,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000100,EMP0036,Leading High Performing Teams,Leadership,2026-02-09,2026-02-15,Completed,15.2,78.0,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000101,EMP0037,Workplace Health and Safety,Compliance,2025-06-29,,Not Started,9.5,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000102,EMP0037,First Line Manager Training,Leadership,2024-09-30,2024-10-22,Completed,15.6,70.1,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000103,EMP0038,Financial Controls,Finance,2024-06-11,,Overdue,15.2,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000104,EMP0038,Workplace Health and Safety,Compliance,2026-01-06,2026-02-11,Completed,3.3,82.4,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000105,EMP0038,Python for Data Analysis,Technical,2025-02-22,2025-03-26,Completed,10.2,71.9,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000106,EMP0039,Leading High Performing Teams,Leadership,2024-07-01,2024-07-07,Completed,9.8,97.8,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000107,EMP0040,Financial Controls,Finance,2026-03-13,,In Progress,11.1,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000108,EMP0041,Presentation Skills,Soft Skills,2025-10-27,2025-11-10,Completed,3.7,75.0,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000109,EMP0041,Stakeholder Management,Soft Skills,2025-08-27,2025-09-14,Completed,3.7,79.8,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000110,EMP0041,Budget Management,Finance,2024-12-28,2025-01-08,Completed,1.2,68.1,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000111,EMP0041,Cloud Data Fundamentals,Technical,2024-01-21,,Overdue,9.9,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000112,EMP0041,First Line Manager Training,Leadership,2026-05-02,2026-05-19,Completed,2.4,73.8,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000113,EMP0042,Workplace Health and Safety,Compliance,2026-02-02,2026-02-06,Completed,1.6,77.2,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000114,EMP0042,Data Protection Training,Compliance,2025-01-06,2025-01-17,Completed,5.6,78.4,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000115,EMP0043,Coaching Skills,Leadership,2026-02-22,2026-04-03,Completed,1.7,73.7,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000116,EMP0043,Leading High Performing Teams,Leadership,2025-07-22,2025-08-19,Completed,7.2,88.0,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000117,EMP0043,Workplace Health and Safety,Compliance,2025-06-19,2025-07-05,Completed,9.1,82.3,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000118,EMP0043,Coaching Skills,Leadership,2025-12-29,2026-01-31,Completed,8.6,46.9,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000119,EMP0044,Cloud Data Fundamentals,Technical,2026-05-15,,In Progress,11.5,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000120,EMP0044,First Line Manager Training,Leadership,2024-03-05,,In Progress,14.1,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000121,EMP0045,Budget Management,Finance,2025-11-20,2025-12-18,Completed,11.0,74.6,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000122,EMP0045,Budget Management,Finance,2025-04-12,2025-05-20,Completed,4.7,80.2,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000123,EMP0045,Financial Controls,Finance,2025-03-28,2025-05-08,Completed,6.6,100.0,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000124,EMP0045,Stakeholder Management,Soft Skills,2024-05-02,2024-05-12,Completed,7.4,57.5,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000125,EMP0046,Budget Management,Finance,2024-12-21,2024-12-29,Completed,4.6,90.8,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000126,EMP0047,Stakeholder Management,Soft Skills,2026-05-23,,In Progress,14.3,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000127,EMP0047,Presentation Skills,Soft Skills,2024-09-23,2024-10-09,Completed,5.6,57.0,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000128,EMP0047,Communication Skills,Soft Skills,2024-02-03,2024-03-09,Completed,9.6,85.2,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000129,EMP0047,Financial Controls,Finance,2024-03-29,2024-04-01,Completed,2.0,89.7,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000130,EMP0048,Communication Skills,Soft Skills,2025-09-27,,Not Started,12.1,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000131,EMP0048,SQL for Analysts,Technical,2025-08-29,2025-09-24,Completed,1.8,84.9,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000132,EMP0048,SQL for Analysts,Technical,2025-09-11,,In Progress,10.8,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000133,EMP0048,First Line Manager Training,Leadership,2025-07-31,2025-08-17,Completed,13.9,82.9,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000134,EMP0048,Inclusive Hiring,HR,2025-07-10,2025-07-28,Completed,14.0,81.5,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000135,EMP0049,Communication Skills,Soft Skills,2026-02-22,2026-03-14,Completed,12.5,81.2,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000136,EMP0049,Cloud Data Fundamentals,Technical,2024-07-29,2024-09-11,Completed,12.7,69.6,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000137,EMP0049,Workplace Health and Safety,Compliance,2026-03-09,,Not Started,1.5,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000138,EMP0049,Cloud Data Fundamentals,Technical,2025-01-02,,In Progress,11.1,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000139,EMP0050,Financial Controls,Finance,2024-04-18,,Overdue,14.2,,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000140,EMP0050,Data Protection Training,Compliance,2024-03-17,2024-04-19,Completed,7.8,77.6,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
TRN000141,EMP0051,Budget Management,Finance,2024-10-07,2024-10-31,Completed,12.7,81.7,2026-07-09 14:28:10 UTC,training.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58
