candidate_id,requisition_id,department,job_role,location,recruitment_source,application_date,interview_date,offer_date,hire_date,status,hired_employee_id,time_to_hire_days
CAND000053,REQ7915,Customer Support,Senior Support Specialist,Edinburgh,LinkedIn,2025-04-11,2025-04-27,2025-05-01,2025-06-11,Hired,EMP0210,61.0
CAND000054,REQ7224,Finance,Finance Analyst,London,Agency,2025-05-22,2025-06-10,2025-06-13,2025-06-28,Hired,EMP0212,37.0
CAND000055,REQ6344,IT,Junior Software Developer,Bristol,Job Board,2024-05-31,2024-06-13,2024-06-21,2024-07-09,Hired,EMP0219,39.0
CAND000056,REQ2227,Sales,Sales Executive,Bristol,Referral,2025-09-27,2025-10-14,2025-10-22,2025-12-02,Hired,EMP0222,66.0
CAND000057,REQ6660,IT,Senior Data Engineer,Bristol,Job Board,2024-11-01,2024-11-13,2024-11-20,2024-12-28,Hired,EMP0223,57.0
CAND000058,REQ7720,Customer Support,Customer Support Manager,London,Referral,2024-09-17,2024-09-25,2024-10-03,2024-11-02,Hired,EMP0226,46.0
CAND000059,REQ2376,Finance,Finance Analyst,London,Agency,2024-02-23,2024-02-29,2024-03-05,2024-03-26,Hired,EMP0230,32.0
CAND000060,REQ1162,Sales,Senior Account Executive,London,Agency,2024-10-28,2024-11-08,2024-11-16,2024-12-07,Hired,EMP0234,40.0
CAND000061,REQ6007,Operations,Operations Assistant,London,Referral,2024-02-04,2024-02-13,2024-02-17,2024-04-08,Hired,EMP0247,64.0
CAND000062,REQ7246,Sales,Sales Development Representative,Birmingham,Job Board,2025-01-31,2025-02-12,2025-02-20,2025-02-21,Hired,EMP0259,21.0
CAND000063,REQ5570,Marketing,Marketing Assistant,Edinburgh,Agency,2026-01-18,2026-02-06,2026-02-14,2026-02-22,Hired,EMP0263,35.0
CAND000064,REQ2768,Customer Support,Senior Support Specialist,Birmingham,LinkedIn,2024-08-31,2024-09-16,2024-09-21,2024-10-15,Hired,EMP0268,45.0
CAND000065,REQ5814,Sales,Sales Executive,Birmingham,Referral,2025-07-04,2025-07-23,2025-08-02,2025-07-25,Hired,EMP0277,21.0
CAND000066,REQ5176,Sales,Sales Manager,Leeds,LinkedIn,2025-08-11,2025-08-18,2025-08-23,2025-08-29,Hired,EMP0279,18.0
CAND000067,REQ6405,Finance,Accounts Assistant,Bristol,Job Board,2023-12-02,2023-12-07,2023-12-12,2024-02-14,Hired,EMP0298,74.0
CAND000068,REQ9847,Finance,Finance Manager,Birmingham,LinkedIn,2024-02-10,2024-02-16,2024-02-25,2024-04-01,Hired,EMP0307,51.0
CAND000069,REQ5478,Finance,Accounts Assistant,Manchester,LinkedIn,2024-10-23,2024-10-30,2024-11-07,2024-12-30,Hired,EMP0313,68.0
CAND000070,REQ3990,Finance,Finance Manager,Bristol,LinkedIn,2025-07-25,2025-08-06,2025-08-09,2025-08-14,Hired,EMP0314,20.0
CAND000071,REQ2637,Customer Support,Customer Support Advisor,London,Job Board,2024-04-30,2024-05-10,2024-05-15,2024-06-19,Hired,EMP0317,50.0
CAND000072,REQ4591,Operations,Operations Analyst,Manchester,Company Website,2024-05-16,2024-06-01,2024-06-07,2024-07-27,Hired,EMP0322,72.0
CAND000073,REQ2123,Operations,Operations Manager,Edinburgh,Job Board,2024-04-28,2024-05-14,2024-05-27,2024-07-03,Hired,EMP0328,66.0
CAND000074,REQ6192,Customer Support,Customer Support Advisor,Manchester,Agency,2024-07-10,2024-07-25,2024-07-28,2024-09-10,Hired,EMP0348,62.0
CAND000075,REQ5284,Sales,Sales Development Representative,Leeds,Campus,2026-01-11,2026-01-27,2026-02-09,2026-02-19,Hired,EMP0349,39.0
CAND000076,REQ2493,Operations,Senior Operations Specialist,Leeds,LinkedIn,2025-11-04,2025-11-21,2025-11-28,2026-01-08,Hired,EMP0362,65.0
CAND000077,REQ3377,Finance,Finance Analyst,Birmingham,Job Board,2024-02-16,2024-03-01,2024-03-08,2024-03-20,Hired,EMP0363,33.0
CAND000078,REQ9621,Marketing,Marketing Assistant,London,Job Board,2024-06-01,2024-06-19,2024-06-28,2024-07-23,Hired,EMP0368,52.0
CAND000079,REQ1912,Legal,Senior Legal Counsel,Bristol,Agency,2023-12-27,2024-01-12,2024-01-20,2024-01-23,Hired,EMP0369,27.0
CAND000080,REQ8866,Operations,Operations Assistant,Birmingham,Job Board,2024-12-18,2024-12-25,2024-12-31,2025-02-06,Hired,EMP0371,50.0
CAND000081,REQ5686,Finance,Accounts Assistant,Leeds,Referral,2023-12-13,2023-12-31,2024-01-13,2024-02-21,Hired,EMP0372,70.0
CAND000082,REQ1226,Legal,Legal Assistant,London,Agency,2024-04-14,2024-04-24,2024-05-05,2024-06-11,Hired,EMP0373,58.0
CAND000083,REQ3427,Marketing,Marketing Executive,Manchester,Referral,2024-12-22,2024-12-29,2025-01-01,2025-02-09,Hired,EMP0381,49.0
CAND000084,REQ2557,Marketing,Marketing Assistant,Bristol,Job Board,2025-04-24,2025-05-08,2025-05-17,2025-05-31,Hired,EMP0382,37.0
CAND000085,REQ7647,Operations,Operations Manager,Edinburgh,LinkedIn,2024-07-06,2024-07-24,2024-08-04,2024-09-04,Hired,EMP0384,60.0
CAND000086,REQ6805,IT,Technology Director,Edinburgh,LinkedIn,2026-01-20,2026-02-04,2026-02-11,2026-03-13,Hired,EMP0396,52.0
CAND000087,REQ3459,Operations,Operations Assistant,Birmingham,LinkedIn,2025-08-25,2025-09-14,2025-09-20,2025-09-22,Hired,EMP0399,28.0
CAND000088,REQ8423,Finance,Accounts Assistant,Edinburgh,Referral,2025-01-12,2025-02-02,2025-02-06,2025-02-24,Hired,EMP0405,43.0
CAND000089,REQ6873,Sales,Sales Executive,London,LinkedIn,2025-04-19,2025-04-30,2025-05-12,2025-07-01,Hired,EMP0411,73.0
CAND000090,REQ1662,Legal,Legal Assistant,Birmingham,Job Board,2026-01-25,2026-02-09,2026-02-17,2026-03-10,Hired,EMP0412,44.0
CAND000091,REQ1613,Customer Support,Customer Support Specialist,London,LinkedIn,2024-06-10,2024-06-21,2024-07-03,2024-08-09,Hired,EMP0417,60.0
CAND000092,REQ3043,Operations,Operations Manager,Birmingham,Campus,2025-08-29,2025-09-09,2025-09-19,2025-10-06,Hired,EMP0420,38.0
CAND000093,REQ5465,Sales,Sales Development Representative,Edinburgh,Referral,2025-07-20,2025-08-09,2025-08-22,2025-08-19,Hired,EMP0429,30.0
CAND000094,REQ4052,IT,Junior Software Developer,London,Agency,2024-06-14,2024-06-19,2024-07-02,2024-07-14,Hired,EMP0435,30.0
CAND000095,REQ2426,Operations,Operations Manager,Manchester,LinkedIn,2025-10-22,2025-11-07,2025-11-13,2025-12-29,Hired,EMP0439,68.0
CAND000096,REQ7004,Operations,Operations Assistant,London,Campus,2024-09-02,2024-09-18,2024-09-29,2024-10-26,Hired,EMP0442,54.0
CAND000097,REQ8956,Customer Support,Customer Support Advisor,London,Referral,2025-12-06,2025-12-23,2026-01-03,2026-02-02,Hired,EMP0445,58.0
CAND000098,REQ4838,Operations,Senior Operations Specialist,London,Job Board,2024-12-07,2024-12-19,2024-12-24,2025-02-02,Hired,EMP0446,57.0
CAND000099,REQ9018,Finance,Senior Finance Analyst,Birmingham,Campus,2025-08-31,2025-09-12,2025-09-16,2025-09-25,Hired,EMP0449,25.0
CAND000100,REQ8842,Finance,Finance Analyst,London,Agency,2024-01-11,2024-01-25,2024-01-31,2024-02-14,Hired,EMP0455,34.0
CAND000101,REQ2738,Customer Support,Senior Support Specialist,Birmingham,LinkedIn,2024-08-29,2024-09-07,2024-09-16,2024-09-25,Hired,EMP0456,27.0
CAND000102,REQ7321,Sales,Senior Account Executive,Birmingham,Agency,2024-10-16,2024-10-31,2024-11-09,2024-12-23,Hired,EMP0458,68.0
CAND000103,REQ6665,Operations,Operations Analyst,London,Campus,2024-08-10,2024-08-24,2024-08-31,2024-09-05,Hired,EMP0459,26.0
CAND000104,REQ3768,Operations,Operations Manager,Bristol,LinkedIn,2025-09-21,2025-09-30,2025-10-08,2025-11-12,Hired,EMP0460,52.0
CAND000105,REQ3766,Finance,Finance Analyst,Leeds,Job Board,2024-04-01,2024-04-07,2024-04-16,2024-06-09,Hired,EMP0461,69.0
CAND000106,REQ7614,HR,HR Advisor,Edinburgh,Referral,2024-01-18,2024-01-23,2024-02-02,2024-02-20,Hired,EMP0466,33.0
CAND000107,REQ5996,Marketing,Marketing Manager,Bristol,LinkedIn,2025-01-13,2025-01-27,2025-02-07,2025-02-24,Hired,EMP0469,42.0
CAND000108,REQ9977,Sales,Sales Director,Bristol,Job Board,2024-06-18,2024-07-07,2024-07-19,2024-08-12,Hired,EMP0470,55.0
CAND000109,REQ6459,IT,IT Manager,Leeds,LinkedIn,2026-02-18,2026-03-07,2026-03-20,2026-04-13,Hired,EMP0472,54.0
CAND000110,REQ9708,Sales,Sales Executive,Birmingham,Job Board,2024-07-06,2024-07-27,2024-08-02,2024-08-20,Hired,EMP0473,45.0
CAND000111,REQ4555,Sales,Senior Account Executive,London,Job Board,2024-03-26,2024-04-15,2024-04-24,2024-04-17,Hired,EMP0481,22.0
CAND000112,REQ1136,Legal,Legal Manager,Birmingham,LinkedIn,2025-12-31,2026-01-05,2026-01-16,2026-02-07,Hired,EMP0491,38.0
CAND000113,REQ7124,IT,Data Analyst,London,LinkedIn,2025-02-11,2025-02-26,2025-03-02,2025-04-02,Hired,EMP0496,50.0
CAND000114,REQ6999,Sales,Sales Executive,Leeds,Campus,2025-05-26,2025-06-10,2025-06-15,2025-07-09,Hired,EMP0500,44.0
CAND000115,REQ3522,Operations,Operations Assistant,Manchester,Job Board,2025-11-03,2025-11-11,2025-11-20,2026-01-14,Hired,EMP0502,72.0
CAND000116,REQ7460,Operations,Operations Manager,Edinburgh,Campus,2025-12-09,2025-12-23,2026-01-04,2026-01-07,Hired,EMP0504,29.0
CAND000117,REQ8504,Marketing,Marketing Executive,Birmingham,LinkedIn,2025-04-10,2025-04-17,2025-04-22,2025-05-05,Hired,EMP0508,25.0
CAND000118,REQ3520,Marketing,Marketing Assistant,Birmingham,Company Website,2024-12-21,2025-01-06,2025-01-09,2025-02-06,Hired,EMP0511,47.0
CAND000119,REQ4847,IT,Junior Software Developer,London,Campus,2024-03-10,2024-03-18,2024-03-26,2024-05-23,Hired,EMP0522,74.0
CAND000120,REQ5729,IT,Senior Data Engineer,Leeds,Job Board,2025-03-24,2025-04-02,2025-04-15,2025-05-13,Hired,EMP0523,50.0
CAND000121,REQ5303,Finance,Finance Analyst,Birmingham,LinkedIn,2024-12-02,2024-12-14,2024-12-21,2025-02-07,Hired,EMP0526,67.0
CAND000122,REQ7804,Customer Support,Customer Support Manager,Manchester,Campus,2024-11-06,2024-11-18,2024-11-27,2025-01-11,Hired,EMP0527,66.0
CAND000123,REQ7823,HR,HR Assistant,Birmingham,Referral,2025-09-17,2025-09-29,2025-10-12,2025-11-06,Hired,EMP0531,50.0
CAND000124,REQ7566,Sales,Sales Executive,Leeds,LinkedIn,2025-06-29,2025-07-16,2025-07-23,2025-09-06,Hired,EMP0534,69.0
CAND000125,REQ3772,HR,HR Assistant,Manchester,LinkedIn,2024-03-10,2024-03-16,2024-03-19,2024-05-17,Hired,EMP0535,68.0
CAND000126,REQ3188,Customer Support,Customer Support Specialist,Edinburgh,Job Board,2025-03-01,2025-03-16,2025-03-22,2025-04-27,Hired,EMP0536,57.0
CAND000127,REQ3103,Operations,Senior Operations Specialist,Edinburgh,Job Board,2024-09-11,2024-09-25,2024-09-30,2024-10-26,Hired,EMP0539,45.0
CAND000128,REQ3707,Sales,Sales Executive,London,Job Board,2024-06-26,2024-07-01,2024-07-06,2024-08-15,Hired,EMP0541,50.0
CAND000129,REQ5266,Sales,Sales Manager,Edinburgh,Job Board,2026-01-21,2026-01-26,2026-01-31,2026-03-25,Hired,EMP0544,63.0
CAND000130,REQ1550,Marketing,Marketing Assistant,Manchester,LinkedIn,2025-12-12,2025-12-31,2026-01-07,2026-02-01,Hired,EMP0546,51.0
CAND000131,REQ3024,Marketing,Marketing Manager,Bristol,Referral,2024-01-08,2024-01-22,2024-01-25,2024-03-12,Hired,EMP0547,64.0
CAND000132,REQ9592,Finance,Finance Analyst,Leeds,Job Board,2025-06-28,2025-07-14,2025-07-17,2025-08-19,Hired,EMP0549,52.0
CAND000133,REQ3318,HR,HR Business Partner,Edinburgh,Referral,2024-09-03,2024-09-20,2024-09-27,2024-11-11,Hired,EMP0550,69.0
CAND000134,REQ9476,Finance,Accounts Assistant,Leeds,Referral,2025-10-28,2025-11-04,2025-11-10,2025-12-06,Hired,EMP0563,39.0
CAND000135,REQ7529,Customer Support,Senior Support Specialist,Birmingham,Agency,2025-11-30,2025-12-11,2025-12-15,2025-12-30,Hired,EMP0568,30.0
CAND000136,REQ9967,Operations,Operations Analyst,London,Campus,2023-11-16,2023-11-28,2023-12-08,2024-01-23,Hired,EMP0570,68.0
CAND000137,REQ4250,IT,IT Manager,Birmingham,Job Board,2025-04-27,2025-05-06,2025-05-14,2025-07-08,Hired,EMP0571,72.0
CAND000138,REQ2428,Operations,Operations Assistant,Leeds,LinkedIn,2025-07-29,2025-08-11,2025-08-23,2025-09-27,Hired,EMP0574,60.0
CAND000139,REQ3520,Customer Support,Customer Support Advisor,Birmingham,Job Board,2024-04-04,2024-04-22,2024-04-29,2024-06-17,Hired,EMP0578,74.0
CAND000140,REQ5008,Sales,Sales Executive,London,Job Board,2024-07-16,2024-07-26,2024-08-06,2024-09-20,Hired,EMP0581,66.0
CAND000141,REQ3345,Operations,Operations Manager,Birmingham,Agency,2024-12-31,2025-01-13,2025-01-21,2025-01-24,Hired,EMP0582,24.0
CAND000142,REQ4405,Operations,Operations Analyst,Birmingham,LinkedIn,2024-07-28,2024-08-12,2024-08-21,2024-08-24,Hired,EMP0594,27.0
CAND000143,REQ9883,HR,HR Business Partner,London,Agency,2025-10-21,2025-11-02,2025-11-13,2025-12-17,Hired,EMP0596,57.0
CAND000144,REQ9280,Legal,Legal Advisor,Birmingham,LinkedIn,2025-11-24,,,,Rejected,,
CAND000145,REQ6673,HR,HR Business Partner,London,LinkedIn,2024-11-03,,,,Rejected,,
CAND000146,REQ7780,Finance,Finance Analyst,Manchester,Referral,2026-01-12,2026-01-20,2026-01-26,,Offered,,
CAND000147,REQ6431,HR,HR Business Partner,Manchester,Job Board,2026-05-30,,,,Applied,,
CAND000148,REQ2280,Marketing,Marketing Manager,London,Campus,2024-01-18,2024-02-03,2024-02-07,,Offered,,
CAND000149,REQ1592,Operations,Operations Analyst,Leeds,Job Board,2025-05-30,,,,Rejected,,
CAND000150,REQ1618,IT,Junior Software Developer,London,Job Board,2025-03-26,2025-04-16,,,Interviewed,,
CAND000151,REQ1921,IT,Data Analyst,Birmingham,Job Board,2026-05-14,,,,Rejected,,
CAND000152,REQ7535,Operations,Senior Operations Specialist,Bristol,Agency,2025-01-01,,,,Applied,,
CAND000153,REQ6841,Operations,Senior Operations Specialist,Birmingham,Campus,2026-03-10,,,,Rejected,,
CAND000154,REQ2142,Sales,Senior Account Executive,Birmingham,Job Board,2024-11-06,2024-11-27,,,Interviewed,,
CAND000155,REQ3983,Customer Support,Customer Support Specialist,Edinburgh,Agency,2024-04-03,,,,Rejected,,
CAND000156,REQ5471,Finance,Accounts Assistant,Birmingham,Campus,2025-09-14,2025-09-21,,,Interviewed,,
CAND000157,REQ3880,HR,HR Business Partner,Edinburgh,Referral,2024-04-08,2024-04-14,,,Interviewed,,
CAND000158,REQ9525,Operations,Operations Analyst,London,Agency,2026-04-15,,,,Rejected,,
CAND000159,REQ3763,Sales,Sales Executive,Birmingham,Job Board,2025-05-24,,,,Rejected,,
CAND000160,REQ5214,Customer Support,Customer Support Manager,Bristol,Agency,2024-09-21,,,,Rejected,,
CAND000161,REQ3424,Sales,Sales Executive,Bristol,Agency,2024-06-22,2024-07-14,,,Interviewed,,
CAND000162,REQ7987,HR,HR Assistant,London,Job Board,2025-09-09,,,,Applied,,
CAND000163,REQ2062,Customer Support,Senior Support Specialist,Edinburgh,LinkedIn,2026-03-27,,,,Rejected,,
CAND000164,REQ5065,Customer Support,Senior Support Specialist,London,Company Website,2026-04-13,,,,Rejected,,
CAND000165,REQ9126,IT,Data Analyst,Manchester,Job Board,2025-08-31,2025-09-12,,,Interviewed,,
CAND000166,REQ7677,Customer Support,Customer Support Specialist,Manchester,Campus,2024-03-09,2024-03-19,,,Interviewed,,
CAND000167,REQ8241,Sales,Sales Development Representative,Birmingham,LinkedIn,2025-10-25,,,,Rejected,,
CAND000168,REQ6672,Operations,Senior Operations Specialist,Birmingham,Job Board,2024-03-20,2024-04-04,,,Interviewed,,
CAND000169,REQ2994,Sales,Senior Account Executive,Manchester,Job Board,2024-04-17,2024-05-09,,,Interviewed,,
CAND000170,REQ7998,IT,IT Manager,London,LinkedIn,2025-07-25,2025-08-06,2025-08-18,,Offered,,
CAND000171,REQ1981,IT,Junior Software Developer,London,Job Board,2024-03-12,,,,Rejected,,
CAND000172,REQ5785,Sales,Sales Executive,London,Company Website,2024-12-28,,,,Rejected,,
CAND000173,REQ4421,Finance,Senior Finance Analyst,London,Job Board,2024-06-21,2024-07-14,2024-07-22,,Offered,,
CAND000174,REQ2795,Legal,Senior Legal Counsel,Birmingham,Job Board,2025-12-19,,,,Rejected,,
CAND000175,REQ4902,Sales,Sales Manager,Edinburgh,Job Board,2026-02-18,,,,Rejected,,
CAND000176,REQ8732,IT,Junior Software Developer,London,LinkedIn,2024-02-26,,,,Rejected,,
CAND000177,REQ1515,Legal,Legal Advisor,London,Job Board,2024-05-22,2024-05-27,,,Interviewed,,
CAND000178,REQ2563,IT,Senior Data Engineer,Bristol,LinkedIn,2024-07-26,,,,Applied,,
CAND000179,REQ8228,Operations,Senior Operations Specialist,Birmingham,Referral,2026-03-14,,,,Applied,,
CAND000180,REQ6123,Operations,Operations Analyst,Birmingham,Job Board,2026-04-24,,,,Applied,,
CAND000181,REQ5194,Operations,Senior Operations Specialist,Manchester,Job Board,2025-07-20,,,,Rejected,,
CAND000182,REQ2823,Operations,Operations Manager,Leeds,LinkedIn,2026-02-23,2026-03-07,,,Interviewed,,
CAND000183,REQ3422,Finance,Finance Manager,London,Agency,2025-09-26,2025-10-06,,,Interviewed,,
CAND000184,REQ7213,Sales,Sales Manager,Bristol,Company Website,2024-10-04,2024-10-14,,,Interviewed,,
CAND000185,REQ8380,IT,Senior Data Engineer,London,LinkedIn,2026-04-30,,,,Rejected,,
CAND000186,REQ5910,Sales,Sales Executive,Edinburgh,Job Board,2025-09-21,,,,Rejected,,
CAND000187,REQ2988,Operations,Operations Analyst,London,LinkedIn,2025-10-29,2025-11-06,2025-11-11,,Offered,,
CAND000188,REQ1513,Operations,Operations Analyst,Leeds,Job Board,2024-06-21,,,,Rejected,,
CAND000189,REQ9014,Customer Support,Senior Support Specialist,Edinburgh,Company Website,2024-10-27,,,,Rejected,,
CAND000190,REQ3173,Sales,Sales Executive,London,LinkedIn,2024-02-20,,,,Rejected,,
CAND000191,REQ8423,Customer Support,Customer Support Specialist,Birmingham,LinkedIn,2025-10-16,,,,Applied,,
CAND000192,REQ1726,IT,Junior Software Developer,Bristol,Referral,2026-04-15,,,,Rejected,,
CAND000193,REQ5679,Sales,Sales Executive,Birmingham,Agency,2025-03-25,2025-03-31,2025-04-10,,Offered,,
CAND000194,REQ3277,Operations,Operations Analyst,Birmingham,Job Board,2024-09-11,2024-09-25,,,Interviewed,,
CAND000195,REQ7884,Operations,Operations Analyst,Manchester,Agency,2025-07-08,,,,Applied,,
CAND000196,REQ3690,Operations,Senior Operations Specialist,Bristol,LinkedIn,2026-04-05,,,,Rejected,,
