payroll_id,employee_id,pay_period,annual_salary,monthly_salary,bonus_amount,pay_grade,salary_band,currency
PAY000033,EMP0002,2024-03-01,100000,8333.33,0.0,G7,100K+,GBP
PAY000034,EMP0002,2024-04-01,100000,8333.33,0.0,G7,100K+,GBP
PAY000035,EMP0002,2024-05-01,100000,8333.33,0.0,G7,100K+,GBP
PAY000036,EMP0002,2024-06-01,100000,8333.33,0.0,G7,100K+,GBP
PAY000037,EMP0002,2024-07-01,100000,8333.33,2882.79,G7,100K+,GBP
PAY000038,EMP0002,2024-08-01,100000,8333.33,0.0,G7,100K+,GBP
PAY000039,EMP0002,2024-09-01,100000,8333.33,0.0,G7,100K+,GBP
PAY000040,EMP0002,2024-10-01,100000,8333.33,0.0,G7,100K+,GBP
PAY000041,EMP0002,2024-11-01,100000,8333.33,0.0,G7,100K+,GBP
PAY000042,EMP0002,2024-12-01,100000,8333.33,0.0,G7,100K+,GBP
PAY000043,EMP0002,2025-01-01,100000,8333.33,0.0,G7,100K+,GBP
PAY000044,EMP0002,2025-02-01,100000,8333.33,1086.9,G7,100K+,GBP
PAY000045,EMP0002,2025-03-01,100000,8333.33,0.0,G7,100K+,GBP
PAY000046,EMP0002,2025-04-01,100000,8333.33,0.0,G7,100K+,GBP
PAY000047,EMP0002,2025-05-01,100000,8333.33,0.0,G7,100K+,GBP
PAY000048,EMP0002,2025-06-01,100000,8333.33,0.0,G7,100K+,GBP
PAY000049,EMP0002,2025-07-01,100000,8333.33,0.0,G7,100K+,GBP
PAY000050,EMP0002,2025-08-01,100000,8333.33,0.0,G7,100K+,GBP
PAY000051,EMP0002,2025-09-01,100000,8333.33,0.0,G7,100K+,GBP
PAY000052,EMP0002,2025-10-01,100000,8333.33,0.0,G7,100K+,GBP
PAY000053,EMP0002,2025-11-01,100000,8333.33,0.0,G7,100K+,GBP
PAY000054,EMP0002,2025-12-01,100000,8333.33,1038.82,G7,100K+,GBP
PAY000055,EMP0002,2026-01-01,100000,8333.33,0.0,G7,100K+,GBP
PAY000056,EMP0002,2026-02-01,100000,8333.33,0.0,G7,100K+,GBP
PAY000057,EMP0002,2026-03-01,100000,8333.33,2538.83,G7,100K+,GBP
PAY000058,EMP0002,2026-04-01,100000,8333.33,0.0,G7,100K+,GBP
PAY000059,EMP0002,2026-05-01,100000,8333.33,0.0,G7,100K+,GBP
PAY000060,EMP0002,2026-06-01,100000,8333.33,0.0,G7,100K+,GBP
PAY000061,EMP0003,2024-01-01,33500,2791.67,918.65,G4,30K-40K,GBP
PAY000062,EMP0003,2024-02-01,33500,2791.67,0.0,G4,30K-40K,GBP
PAY000063,EMP0003,2024-03-01,33500,2791.67,0.0,G4,30K-40K,GBP
PAY000064,EMP0003,2024-04-01,33500,2791.67,0.0,G4,30K-40K,GBP
PAY000065,EMP0003,2024-05-01,33500,2791.67,0.0,G4,30K-40K,GBP
PAY000066,EMP0003,2024-06-01,33500,2791.67,0.0,G4,30K-40K,GBP
PAY000067,EMP0003,2024-07-01,33500,2791.67,0.0,G4,30K-40K,GBP
PAY000068,EMP0003,2024-08-01,33500,2791.67,0.0,G4,30K-40K,GBP
PAY000069,EMP0003,2024-09-01,33500,2791.67,0.0,G4,30K-40K,GBP
PAY000070,EMP0003,2024-10-01,33500,2791.67,0.0,G4,30K-40K,GBP
PAY000071,EMP0003,2024-11-01,33500,2791.67,0.0,G4,30K-40K,GBP
PAY000072,EMP0003,2024-12-01,33500,2791.67,0.0,G4,30K-40K,GBP
PAY000073,EMP0003,2025-01-01,33500,2791.67,0.0,G4,30K-40K,GBP
PAY000074,EMP0003,2025-02-01,33500,2791.67,0.0,G4,30K-40K,GBP
PAY000075,EMP0003,2025-03-01,33500,2791.67,0.0,G4,30K-40K,GBP
PAY000076,EMP0003,2025-04-01,33500,2791.67,0.0,G4,30K-40K,GBP
PAY000077,EMP0003,2025-05-01,33500,2791.67,2381.74,G4,30K-40K,GBP
PAY000078,EMP0003,2025-06-01,33500,2791.67,0.0,G4,30K-40K,GBP
PAY000079,EMP0003,2025-07-01,33500,2791.67,0.0,G4,30K-40K,GBP
PAY000080,EMP0003,2025-08-01,33500,2791.67,0.0,G4,30K-40K,GBP
PAY000081,EMP0003,2025-09-01,33500,2791.67,0.0,G4,30K-40K,GBP
PAY000082,EMP0003,2025-10-01,33500,2791.67,0.0,G4,30K-40K,GBP
PAY000083,EMP0003,2025-11-01,33500,2791.67,0.0,G4,30K-40K,GBP
PAY000084,EMP0003,2025-12-01,33500,2791.67,0.0,G4,30K-40K,GBP
PAY000085,EMP0003,2026-01-01,33500,2791.67,0.0,G4,30K-40K,GBP
PAY000086,EMP0003,2026-02-01,33500,2791.67,0.0,G4,30K-40K,GBP
PAY000087,EMP0003,2026-03-01,33500,2791.67,0.0,G4,30K-40K,GBP
PAY000088,EMP0003,2026-04-01,33500,2791.67,0.0,G4,30K-40K,GBP
PAY000089,EMP0003,2026-05-01,33500,2791.67,0.0,G4,30K-40K,GBP
PAY000090,EMP0003,2026-06-01,33500,2791.67,0.0,G4,30K-40K,GBP
PAY000091,EMP0004,2024-01-01,35500,2958.33,0.0,G4,30K-40K,GBP
PAY000092,EMP0004,2024-02-01,35500,2958.33,0.0,G4,30K-40K,GBP
PAY000093,EMP0004,2024-03-01,35500,2958.33,0.0,G4,30K-40K,GBP
PAY000094,EMP0004,2024-04-01,35500,2958.33,0.0,G4,30K-40K,GBP
PAY000095,EMP0004,2024-05-01,35500,2958.33,0.0,G4,30K-40K,GBP
PAY000096,EMP0004,2024-06-01,35500,2958.33,0.0,G4,30K-40K,GBP
PAY000097,EMP0004,2024-07-01,35500,2958.33,0.0,G4,30K-40K,GBP
PAY000098,EMP0004,2024-08-01,35500,2958.33,0.0,G4,30K-40K,GBP
PAY000099,EMP0004,2024-09-01,35500,2958.33,0.0,G4,30K-40K,GBP
PAY000100,EMP0004,2024-10-01,35500,2958.33,0.0,G4,30K-40K,GBP
PAY000101,EMP0004,2024-11-01,35500,2958.33,0.0,G4,30K-40K,GBP
PAY000102,EMP0004,2024-12-01,35500,2958.33,0.0,G4,30K-40K,GBP
PAY000103,EMP0004,2025-01-01,35500,2958.33,0.0,G4,30K-40K,GBP
PAY000104,EMP0004,2025-02-01,35500,2958.33,0.0,G4,30K-40K,GBP
PAY000105,EMP0004,2025-03-01,35500,2958.33,0.0,G4,30K-40K,GBP
PAY000106,EMP0004,2025-04-01,35500,2958.33,0.0,G4,30K-40K,GBP
PAY000107,EMP0004,2025-05-01,35500,2958.33,0.0,G4,30K-40K,GBP
PAY000108,EMP0004,2025-06-01,35500,2958.33,0.0,G4,30K-40K,GBP
PAY000109,EMP0004,2025-07-01,35500,2958.33,0.0,G4,30K-40K,GBP
PAY000110,EMP0004,2025-08-01,35500,2958.33,0.0,G4,30K-40K,GBP
PAY000111,EMP0004,2025-09-01,35500,2958.33,0.0,G4,30K-40K,GBP
PAY000112,EMP0004,2025-10-01,35500,2958.33,0.0,G4,30K-40K,GBP
PAY000113,EMP0004,2025-11-01,35500,2958.33,0.0,G4,30K-40K,GBP
PAY000114,EMP0004,2025-12-01,35500,2958.33,0.0,G4,30K-40K,GBP
PAY000115,EMP0004,2026-01-01,35500,2958.33,0.0,G4,30K-40K,GBP
PAY000116,EMP0004,2026-02-01,35500,2958.33,0.0,G4,30K-40K,GBP
PAY000117,EMP0004,2026-03-01,35500,2958.33,0.0,G4,30K-40K,GBP
PAY000118,EMP0004,2026-04-01,35500,2958.33,0.0,G4,30K-40K,GBP
PAY000119,EMP0004,2026-05-01,35500,2958.33,0.0,G4,30K-40K,GBP
PAY000120,EMP0004,2026-06-01,35500,2958.33,0.0,G4,30K-40K,GBP
PAY000121,EMP0005,2024-01-01,38000,3166.67,0.0,G4,30K-40K,GBP
PAY000122,EMP0005,2024-02-01,38000,3166.67,0.0,G4,30K-40K,GBP
PAY000123,EMP0005,2024-03-01,38000,3166.67,0.0,G4,30K-40K,GBP
PAY000124,EMP0005,2024-04-01,38000,3166.67,0.0,G4,30K-40K,GBP
PAY000125,EMP0005,2024-05-01,38000,3166.67,0.0,G4,30K-40K,GBP
PAY000126,EMP0005,2024-06-01,38000,3166.67,0.0,G4,30K-40K,GBP
PAY000127,EMP0005,2024-07-01,38000,3166.67,0.0,G4,30K-40K,GBP
PAY000128,EMP0005,2024-08-01,38000,3166.67,0.0,G4,30K-40K,GBP
PAY000129,EMP0005,2024-09-01,38000,3166.67,0.0,G4,30K-40K,GBP
PAY000130,EMP0005,2024-10-01,38000,3166.67,0.0,G4,30K-40K,GBP
PAY000131,EMP0005,2024-11-01,38000,3166.67,0.0,G4,30K-40K,GBP
PAY000132,EMP0005,2024-12-01,38000,3166.67,0.0,G4,30K-40K,GBP
PAY000133,EMP0005,2025-01-01,38000,3166.67,0.0,G4,30K-40K,GBP
PAY000134,EMP0005,2025-02-01,38000,3166.67,0.0,G4,30K-40K,GBP
PAY000135,EMP0005,2025-03-01,38000,3166.67,1778.36,G4,30K-40K,GBP
PAY000136,EMP0005,2025-04-01,38000,3166.67,0.0,G4,30K-40K,GBP
PAY000137,EMP0005,2025-05-01,38000,3166.67,0.0,G4,30K-40K,GBP
PAY000138,EMP0005,2025-06-01,38000,3166.67,0.0,G4,30K-40K,GBP
PAY000139,EMP0005,2025-07-01,38000,3166.67,0.0,G4,30K-40K,GBP
PAY000140,EMP0005,2025-08-01,38000,3166.67,0.0,G4,30K-40K,GBP
PAY000141,EMP0005,2025-09-01,38000,3166.67,0.0,G4,30K-40K,GBP
PAY000142,EMP0005,2025-10-01,38000,3166.67,0.0,G4,30K-40K,GBP
PAY000143,EMP0005,2025-11-01,38000,3166.67,0.0,G4,30K-40K,GBP
PAY000144,EMP0005,2025-12-01,38000,3166.67,0.0,G4,30K-40K,GBP
PAY000145,EMP0005,2026-01-01,38000,3166.67,0.0,G4,30K-40K,GBP
PAY000146,EMP0005,2026-02-01,38000,3166.67,0.0,G4,30K-40K,GBP
PAY000147,EMP0005,2026-03-01,38000,3166.67,0.0,G4,30K-40K,GBP
PAY000148,EMP0005,2026-04-01,38000,3166.67,0.0,G4,30K-40K,GBP
PAY000149,EMP0005,2026-05-01,38000,3166.67,0.0,G4,30K-40K,GBP
PAY000150,EMP0005,2026-06-01,38000,3166.67,0.0,G4,30K-40K,GBP
PAY000151,EMP0006,2024-01-01,83500,6958.33,0.0,G6,80K-100K,GBP
PAY000152,EMP0006,2024-02-01,83500,6958.33,0.0,G6,80K-100K,GBP
PAY000153,EMP0006,2024-03-01,83500,6958.33,0.0,G6,80K-100K,GBP
PAY000154,EMP0006,2024-04-01,83500,6958.33,0.0,G6,80K-100K,GBP
PAY000155,EMP0006,2024-05-01,83500,6958.33,0.0,G6,80K-100K,GBP
PAY000156,EMP0006,2024-06-01,83500,6958.33,0.0,G6,80K-100K,GBP
PAY000157,EMP0006,2024-07-01,83500,6958.33,0.0,G6,80K-100K,GBP
PAY000158,EMP0006,2024-08-01,83500,6958.33,0.0,G6,80K-100K,GBP
PAY000159,EMP0006,2024-09-01,83500,6958.33,0.0,G6,80K-100K,GBP
PAY000160,EMP0006,2024-10-01,83500,6958.33,2533.85,G6,80K-100K,GBP
PAY000161,EMP0006,2024-11-01,83500,6958.33,0.0,G6,80K-100K,GBP
PAY000162,EMP0006,2024-12-01,83500,6958.33,0.0,G6,80K-100K,GBP
PAY000163,EMP0006,2025-01-01,83500,6958.33,0.0,G6,80K-100K,GBP
PAY000164,EMP0006,2025-02-01,83500,6958.33,0.0,G6,80K-100K,GBP
PAY000165,EMP0006,2025-03-01,83500,6958.33,0.0,G6,80K-100K,GBP
PAY000166,EMP0006,2025-04-01,83500,6958.33,0.0,G6,80K-100K,GBP
PAY000167,EMP0006,2025-05-01,83500,6958.33,0.0,G6,80K-100K,GBP
PAY000168,EMP0006,2025-06-01,83500,6958.33,0.0,G6,80K-100K,GBP
PAY000169,EMP0006,2025-07-01,83500,6958.33,0.0,G6,80K-100K,GBP
PAY000170,EMP0006,2025-08-01,83500,6958.33,0.0,G6,80K-100K,GBP
PAY000171,EMP0006,2025-09-01,83500,6958.33,0.0,G6,80K-100K,GBP
PAY000172,EMP0006,2025-10-01,83500,6958.33,0.0,G6,80K-100K,GBP
PAY000173,EMP0006,2025-11-01,83500,6958.33,0.0,G6,80K-100K,GBP
PAY000174,EMP0006,2025-12-01,83500,6958.33,0.0,G6,80K-100K,GBP
PAY000175,EMP0006,2026-01-01,83500,6958.33,0.0,G6,80K-100K,GBP
PAY000176,EMP0006,2026-02-01,83500,6958.33,0.0,G6,80K-100K,GBP
PAY000177,EMP0006,2026-03-01,83500,6958.33,0.0,G6,80K-100K,GBP
PAY000178,EMP0006,2026-04-01,83500,6958.33,0.0,G6,80K-100K,GBP
PAY000179,EMP0006,2026-05-01,83500,6958.33,0.0,G6,80K-100K,GBP
PAY000180,EMP0006,2026-06-01,83500,6958.33,0.0,G6,80K-100K,GBP
PAY000181,EMP0007,2024-01-01,54500,4541.67,2416.28,G5,50K-65K,GBP
PAY000182,EMP0007,2024-02-01,54500,4541.67,2807.76,G5,50K-65K,GBP
PAY000183,EMP0007,2024-03-01,54500,4541.67,0.0,G5,50K-65K,GBP
PAY000184,EMP0007,2024-04-01,54500,4541.67,0.0,G5,50K-65K,GBP
PAY000185,EMP0007,2024-05-01,54500,4541.67,0.0,G5,50K-65K,GBP
PAY000186,EMP0007,2024-06-01,54500,4541.67,0.0,G5,50K-65K,GBP
PAY000187,EMP0007,2024-07-01,54500,4541.67,0.0,G5,50K-65K,GBP
PAY000188,EMP0007,2024-08-01,54500,4541.67,0.0,G5,50K-65K,GBP
PAY000189,EMP0007,2024-09-01,54500,4541.67,0.0,G5,50K-65K,GBP
PAY000190,EMP0007,2024-10-01,54500,4541.67,0.0,G5,50K-65K,GBP
PAY000191,EMP0007,2024-11-01,54500,4541.67,1305.48,G5,50K-65K,GBP
PAY000192,EMP0007,2024-12-01,54500,4541.67,0.0,G5,50K-65K,GBP
PAY000193,EMP0007,2025-01-01,54500,4541.67,0.0,G5,50K-65K,GBP
PAY000194,EMP0007,2025-02-01,54500,4541.67,2722.59,G5,50K-65K,GBP
PAY000195,EMP0007,2025-03-01,54500,4541.67,2412.1,G5,50K-65K,GBP
PAY000196,EMP0007,2025-04-01,54500,4541.67,0.0,G5,50K-65K,GBP
PAY000197,EMP0007,2025-05-01,54500,4541.67,0.0,G5,50K-65K,GBP
PAY000198,EMP0007,2025-06-01,54500,4541.67,0.0,G5,50K-65K,GBP
PAY000199,EMP0007,2025-07-01,54500,4541.67,0.0,G5,50K-65K,GBP
PAY000200,EMP0007,2025-08-01,54500,4541.67,0.0,G5,50K-65K,GBP
PAY000201,EMP0007,2025-09-01,54500,4541.67,0.0,G5,50K-65K,GBP
PAY000202,EMP0007,2025-10-01,54500,4541.67,0.0,G5,50K-65K,GBP
PAY000203,EMP0007,2025-11-01,54500,4541.67,0.0,G5,50K-65K,GBP
PAY000204,EMP0007,2025-12-01,54500,4541.67,0.0,G5,50K-65K,GBP
PAY000205,EMP0007,2026-01-01,54500,4541.67,0.0,G5,50K-65K,GBP
PAY000206,EMP0007,2026-02-01,54500,4541.67,0.0,G5,50K-65K,GBP
PAY000207,EMP0007,2026-03-01,54500,4541.67,0.0,G5,50K-65K,GBP
PAY000208,EMP0007,2026-04-01,54500,4541.67,2515.42,G5,50K-65K,GBP
PAY000209,EMP0007,2026-05-01,54500,4541.67,0.0,G5,50K-65K,GBP
PAY000210,EMP0007,2026-06-01,54500,4541.67,0.0,G5,50K-65K,GBP
PAY000211,EMP0008,2024-01-01,72000,6000.0,0.0,G5,65K-80K,GBP
PAY000212,EMP0008,2024-02-01,72000,6000.0,0.0,G5,65K-80K,GBP
PAY000213,EMP0008,2024-03-01,72000,6000.0,2222.64,G5,65K-80K,GBP
PAY000214,EMP0008,2024-04-01,72000,6000.0,0.0,G5,65K-80K,GBP
PAY000215,EMP0008,2024-05-01,72000,6000.0,0.0,G5,65K-80K,GBP
PAY000216,EMP0008,2024-06-01,72000,6000.0,2380.84,G5,65K-80K,GBP
PAY000217,EMP0008,2024-07-01,72000,6000.0,0.0,G5,65K-80K,GBP
PAY000218,EMP0008,2024-08-01,72000,6000.0,0.0,G5,65K-80K,GBP
PAY000219,EMP0008,2024-09-01,72000,6000.0,0.0,G5,65K-80K,GBP
PAY000220,EMP0008,2024-10-01,72000,6000.0,0.0,G5,65K-80K,GBP
PAY000221,EMP0008,2024-11-01,72000,6000.0,714.17,G5,65K-80K,GBP
PAY000222,EMP0008,2024-12-01,72000,6000.0,1755.67,G5,65K-80K,GBP
PAY000223,EMP0008,2025-01-01,72000,6000.0,0.0,G5,65K-80K,GBP
PAY000224,EMP0008,2025-02-01,72000,6000.0,0.0,G5,65K-80K,GBP
PAY000225,EMP0008,2025-03-01,72000,6000.0,2332.49,G5,65K-80K,GBP
PAY000226,EMP0008,2025-04-01,72000,6000.0,0.0,G5,65K-80K,GBP
PAY000227,EMP0008,2025-05-01,72000,6000.0,0.0,G5,65K-80K,GBP
PAY000228,EMP0008,2025-06-01,72000,6000.0,0.0,G5,65K-80K,GBP
PAY000229,EMP0008,2025-07-01,72000,6000.0,0.0,G5,65K-80K,GBP
PAY000230,EMP0008,2025-08-01,72000,6000.0,0.0,G5,65K-80K,GBP
PAY000231,EMP0008,2025-09-01,72000,6000.0,0.0,G5,65K-80K,GBP
PAY000232,EMP0008,2025-10-01,72000,6000.0,0.0,G5,65K-80K,GBP
PAY000233,EMP0008,2025-11-01,72000,6000.0,0.0,G5,65K-80K,GBP
PAY000234,EMP0008,2025-12-01,72000,6000.0,0.0,G5,65K-80K,GBP
PAY000235,EMP0008,2026-01-01,72000,6000.0,0.0,G5,65K-80K,GBP
PAY000236,EMP0008,2026-02-01,72000,6000.0,0.0,G5,65K-80K,GBP
PAY000237,EMP0008,2026-03-01,72000,6000.0,0.0,G5,65K-80K,GBP
PAY000238,EMP0008,2026-04-01,72000,6000.0,0.0,G5,65K-80K,GBP
PAY000239,EMP0008,2026-05-01,72000,6000.0,0.0,G5,65K-80K,GBP
PAY000240,EMP0008,2026-06-01,72000,6000.0,0.0,G5,65K-80K,GBP
PAY000241,EMP0009,2024-01-01,48500,4041.67,0.0,G5,40K-50K,GBP
PAY000242,EMP0009,2024-02-01,48500,4041.67,0.0,G5,40K-50K,GBP
PAY000243,EMP0010,2025-05-01,37500,3125.0,0.0,G4,30K-40K,GBP
PAY000244,EMP0010,2025-06-01,37500,3125.0,0.0,G4,30K-40K,GBP
PAY000245,EMP0010,2025-07-01,37500,3125.0,0.0,G4,30K-40K,GBP
PAY000246,EMP0010,2025-08-01,37500,3125.0,0.0,G4,30K-40K,GBP
PAY000247,EMP0010,2025-09-01,37500,3125.0,0.0,G4,30K-40K,GBP
PAY000248,EMP0010,2025-10-01,37500,3125.0,0.0,G4,30K-40K,GBP
PAY000249,EMP0010,2025-11-01,37500,3125.0,0.0,G4,30K-40K,GBP
PAY000250,EMP0010,2025-12-01,37500,3125.0,0.0,G4,30K-40K,GBP
PAY000251,EMP0010,2026-01-01,37500,3125.0,0.0,G4,30K-40K,GBP
PAY000252,EMP0010,2026-02-01,37500,3125.0,0.0,G4,30K-40K,GBP
PAY000253,EMP0010,2026-03-01,37500,3125.0,0.0,G4,30K-40K,GBP
PAY000254,EMP0010,2026-04-01,37500,3125.0,0.0,G4,30K-40K,GBP
PAY000255,EMP0010,2026-05-01,37500,3125.0,0.0,G4,30K-40K,GBP
PAY000256,EMP0010,2026-06-01,37500,3125.0,0.0,G4,30K-40K,GBP
PAY000257,EMP0011,2024-04-01,33500,2791.67,0.0,G3,30K-40K,GBP
PAY000258,EMP0011,2024-05-01,33500,2791.67,3412.67,G3,30K-40K,GBP
PAY000259,EMP0011,2024-06-01,33500,2791.67,0.0,G3,30K-40K,GBP
PAY000260,EMP0011,2024-07-01,33500,2791.67,0.0,G3,30K-40K,GBP
PAY000261,EMP0011,2024-08-01,33500,2791.67,0.0,G3,30K-40K,GBP
PAY000262,EMP0011,2024-09-01,33500,2791.67,0.0,G3,30K-40K,GBP
PAY000263,EMP0011,2024-10-01,33500,2791.67,0.0,G3,30K-40K,GBP
PAY000264,EMP0011,2024-11-01,33500,2791.67,0.0,G3,30K-40K,GBP
PAY000265,EMP0011,2024-12-01,33500,2791.67,0.0,G3,30K-40K,GBP
PAY000266,EMP0011,2025-01-01,33500,2791.67,0.0,G3,30K-40K,GBP
PAY000267,EMP0011,2025-02-01,33500,2791.67,0.0,G3,30K-40K,GBP
PAY000268,EMP0011,2025-03-01,33500,2791.67,0.0,G3,30K-40K,GBP
PAY000269,EMP0011,2025-04-01,33500,2791.67,0.0,G3,30K-40K,GBP
PAY000270,EMP0011,2025-05-01,33500,2791.67,0.0,G3,30K-40K,GBP
PAY000271,EMP0011,2025-06-01,33500,2791.67,0.0,G3,30K-40K,GBP
PAY000272,EMP0011,2025-07-01,33500,2791.67,0.0,G3,30K-40K,GBP
PAY000273,EMP0011,2025-08-01,33500,2791.67,0.0,G3,30K-40K,GBP
PAY000274,EMP0011,2025-09-01,33500,2791.67,0.0,G3,30K-40K,GBP
PAY000275,EMP0011,2025-10-01,33500,2791.67,0.0,G3,30K-40K,GBP
PAY000276,EMP0011,2025-11-01,33500,2791.67,0.0,G3,30K-40K,GBP
PAY000277,EMP0011,2025-12-01,33500,2791.67,0.0,G3,30K-40K,GBP
PAY000278,EMP0011,2026-01-01,33500,2791.67,0.0,G3,30K-40K,GBP
PAY000279,EMP0011,2026-02-01,33500,2791.67,0.0,G3,30K-40K,GBP
PAY000280,EMP0011,2026-03-01,33500,2791.67,3015.36,G3,30K-40K,GBP
PAY000281,EMP0011,2026-04-01,33500,2791.67,0.0,G3,30K-40K,GBP
PAY000282,EMP0011,2026-05-01,33500,2791.67,0.0,G3,30K-40K,GBP
PAY000283,EMP0011,2026-06-01,33500,2791.67,0.0,G3,30K-40K,GBP
PAY000284,EMP0012,2024-01-01,50000,4166.67,0.0,G5,50K-65K,GBP
PAY000285,EMP0012,2024-02-01,50000,4166.67,2116.39,G5,50K-65K,GBP
PAY000286,EMP0012,2024-03-01,50000,4166.67,3267.93,G5,50K-65K,GBP
PAY000287,EMP0012,2024-04-01,50000,4166.67,0.0,G5,50K-65K,GBP
PAY000288,EMP0012,2024-05-01,50000,4166.67,0.0,G5,50K-65K,GBP
PAY000289,EMP0012,2024-06-01,50000,4166.67,0.0,G5,50K-65K,GBP
PAY000290,EMP0012,2024-07-01,50000,4166.67,0.0,G5,50K-65K,GBP
PAY000291,EMP0012,2024-08-01,50000,4166.67,0.0,G5,50K-65K,GBP
PAY000292,EMP0012,2024-09-01,50000,4166.67,0.0,G5,50K-65K,GBP
PAY000293,EMP0012,2024-10-01,50000,4166.67,0.0,G5,50K-65K,GBP
PAY000294,EMP0012,2024-11-01,50000,4166.67,0.0,G5,50K-65K,GBP
PAY000295,EMP0012,2024-12-01,50000,4166.67,0.0,G5,50K-65K,GBP
PAY000296,EMP0012,2025-01-01,50000,4166.67,0.0,G5,50K-65K,GBP
PAY000297,EMP0012,2025-02-01,50000,4166.67,599.34,G5,50K-65K,GBP
PAY000298,EMP0012,2025-03-01,50000,4166.67,0.0,G5,50K-65K,GBP
PAY000299,EMP0012,2025-04-01,50000,4166.67,0.0,G5,50K-65K,GBP
PAY000300,EMP0012,2025-05-01,50000,4166.67,2037.94,G5,50K-65K,GBP
PAY000301,EMP0012,2025-06-01,50000,4166.67,0.0,G5,50K-65K,GBP
PAY000302,EMP0012,2025-07-01,50000,4166.67,0.0,G5,50K-65K,GBP
PAY000303,EMP0012,2025-08-01,50000,4166.67,1774.33,G5,50K-65K,GBP
PAY000304,EMP0012,2025-09-01,50000,4166.67,1324.15,G5,50K-65K,GBP
PAY000305,EMP0012,2025-10-01,50000,4166.67,1774.57,G5,50K-65K,GBP
PAY000306,EMP0012,2025-11-01,50000,4166.67,0.0,G5,50K-65K,GBP
PAY000307,EMP0012,2025-12-01,50000,4166.67,2639.47,G5,50K-65K,GBP
PAY000308,EMP0012,2026-01-01,50000,4166.67,0.0,G5,50K-65K,GBP
PAY000309,EMP0012,2026-02-01,50000,4166.67,0.0,G5,50K-65K,GBP
PAY000310,EMP0012,2026-03-01,50000,4166.67,0.0,G5,50K-65K,GBP
PAY000311,EMP0012,2026-04-01,50000,4166.67,0.0,G5,50K-65K,GBP
PAY000312,EMP0012,2026-05-01,50000,4166.67,0.0,G5,50K-65K,GBP
PAY000313,EMP0012,2026-06-01,50000,4166.67,0.0,G5,50K-65K,GBP
PAY000314,EMP0013,2024-01-01,38500,3208.33,0.0,G4,30K-40K,GBP
PAY000315,EMP0013,2024-02-01,38500,3208.33,0.0,G4,30K-40K,GBP
PAY000316,EMP0013,2024-03-01,38500,3208.33,0.0,G4,30K-40K,GBP
