performance_id,employee_id,review_year,review_period,performance_rating,potential_rating,promotion_flag,manager_id
PERF000140,EMP0057,2024,Annual,2,3,0,EMP0287
PERF000141,EMP0057,2025,Annual,3,2,0,EMP0287
PERF000142,EMP0057,2025,Mid-Year,2,1,0,EMP0287
PERF000143,EMP0058,2024,Annual,3,3,0,EMP0452
PERF000144,EMP0058,2025,Annual,2,3,0,EMP0452
PERF000145,EMP0059,2024,Annual,4,4,1,EMP0600
PERF000146,EMP0059,2025,Annual,4,3,0,EMP0600
PERF000147,EMP0059,2025,Mid-Year,5,5,0,EMP0600
PERF000148,EMP0060,2024,Annual,2,2,0,EMP0020
PERF000149,EMP0060,2025,Annual,3,3,0,EMP0020
PERF000150,EMP0061,2024,Annual,5,5,0,EMP0287
PERF000151,EMP0061,2025,Annual,5,5,0,EMP0287
PERF000152,EMP0061,2025,Mid-Year,5,4,1,EMP0287
PERF000153,EMP0062,2024,Annual,4,4,0,EMP0463
PERF000154,EMP0062,2024,Mid-Year,4,4,0,EMP0463
PERF000155,EMP0062,2025,Annual,4,3,0,EMP0463
PERF000156,EMP0062,2025,Mid-Year,3,3,0,EMP0463
PERF000157,EMP0063,2024,Annual,2,1,0,
PERF000158,EMP0063,2024,Mid-Year,3,2,0,
PERF000159,EMP0063,2025,Annual,3,3,0,
PERF000160,EMP0064,2024,Annual,4,4,0,EMP0416
PERF000161,EMP0064,2024,Mid-Year,4,3,0,EMP0416
PERF000162,EMP0064,2025,Annual,4,4,0,EMP0416
PERF000163,EMP0064,2025,Mid-Year,4,4,0,EMP0416
PERF000164,EMP0065,2024,Annual,4,4,1,EMP0279
PERF000165,EMP0065,2024,Mid-Year,4,3,0,EMP0279
PERF000166,EMP0065,2025,Annual,3,3,0,EMP0279
PERF000167,EMP0065,2025,Mid-Year,4,3,0,EMP0279
PERF000168,EMP0066,2024,Annual,4,4,0,EMP0484
PERF000169,EMP0066,2025,Annual,5,5,0,EMP0484
PERF000170,EMP0068,2024,Annual,2,2,0,EMP0544
PERF000171,EMP0068,2025,Annual,3,3,0,EMP0544
PERF000172,EMP0070,2024,Annual,3,4,0,EMP0226
PERF000173,EMP0070,2025,Annual,3,3,0,EMP0226
PERF000174,EMP0071,2024,Annual,5,5,0,EMP0116
PERF000175,EMP0072,2025,Annual,3,3,0,EMP0590
PERF000176,EMP0073,2025,Annual,3,3,0,EMP0338
PERF000177,EMP0074,2024,Annual,5,5,1,EMP0470
PERF000178,EMP0074,2024,Mid-Year,3,4,0,EMP0470
PERF000179,EMP0074,2025,Annual,3,3,0,EMP0470
PERF000180,EMP0075,2024,Annual,5,4,0,EMP0512
PERF000181,EMP0075,2025,Annual,4,4,0,EMP0512
PERF000182,EMP0077,2024,Annual,4,4,0,EMP0472
PERF000183,EMP0077,2024,Mid-Year,3,2,0,EMP0472
PERF000184,EMP0077,2025,Annual,3,3,0,EMP0472
PERF000185,EMP0079,2024,Annual,3,3,0,EMP0556
PERF000186,EMP0079,2024,Mid-Year,3,3,0,EMP0556
PERF000187,EMP0079,2025,Annual,2,2,0,EMP0556
PERF000188,EMP0080,2024,Annual,5,5,1,EMP0169
PERF000189,EMP0080,2024,Mid-Year,5,5,0,EMP0169
PERF000190,EMP0080,2025,Annual,4,3,0,EMP0169
PERF000191,EMP0081,2024,Annual,3,1,0,EMP0024
PERF000192,EMP0081,2025,Annual,4,3,0,EMP0024
PERF000193,EMP0081,2025,Mid-Year,4,4,0,EMP0024
PERF000194,EMP0082,2025,Annual,4,3,0,EMP0416
PERF000195,EMP0082,2025,Mid-Year,3,3,0,EMP0416
PERF000196,EMP0083,2024,Annual,3,2,0,EMP0400
PERF000197,EMP0083,2025,Annual,3,3,0,EMP0400
PERF000198,EMP0084,2025,Annual,3,4,0,EMP0329
PERF000199,EMP0084,2025,Mid-Year,4,4,1,EMP0329
PERF000200,EMP0085,2024,Annual,4,3,0,EMP0116
PERF000201,EMP0085,2024,Mid-Year,4,3,0,EMP0116
PERF000202,EMP0085,2025,Annual,4,3,0,EMP0116
PERF000203,EMP0085,2025,Mid-Year,3,3,0,EMP0116
PERF000204,EMP0086,2024,Annual,3,2,0,EMP0393
PERF000205,EMP0086,2025,Annual,2,2,0,EMP0393
PERF000206,EMP0087,2024,Annual,3,4,0,EMP0544
PERF000207,EMP0087,2025,Annual,3,3,0,EMP0544
PERF000208,EMP0087,2025,Mid-Year,3,5,0,EMP0544
PERF000209,EMP0088,2024,Annual,4,5,0,EMP0470
PERF000210,EMP0088,2025,Annual,3,3,0,EMP0470
PERF000211,EMP0088,2025,Mid-Year,5,5,0,EMP0470
PERF000212,EMP0089,2024,Annual,4,3,0,EMP0547
PERF000213,EMP0089,2024,Mid-Year,3,3,0,EMP0547
PERF000214,EMP0089,2025,Annual,4,4,0,EMP0547
PERF000215,EMP0090,2024,Annual,4,4,0,EMP0328
PERF000216,EMP0090,2024,Mid-Year,5,5,0,EMP0328
PERF000217,EMP0090,2025,Annual,4,3,0,EMP0328
PERF000218,EMP0091,2024,Annual,3,2,0,EMP0433
PERF000219,EMP0091,2025,Annual,2,2,0,EMP0433
PERF000220,EMP0092,2024,Annual,4,5,0,EMP0590
PERF000221,EMP0092,2025,Annual,4,4,0,EMP0590
PERF000222,EMP0093,2025,Annual,2,2,0,EMP0528
PERF000223,EMP0094,2024,Annual,3,2,0,EMP0544
PERF000224,EMP0094,2025,Annual,3,3,0,EMP0544
PERF000225,EMP0094,2025,Mid-Year,2,2,0,EMP0544
PERF000226,EMP0095,2024,Annual,4,4,0,EMP0504
PERF000227,EMP0095,2025,Annual,3,3,0,EMP0504
PERF000228,EMP0095,2025,Mid-Year,3,4,0,EMP0504
PERF000229,EMP0096,2024,Annual,4,3,0,EMP0109
PERF000230,EMP0096,2024,Mid-Year,5,5,0,EMP0109
PERF000231,EMP0096,2025,Annual,4,5,0,EMP0109
PERF000232,EMP0097,2025,Annual,4,5,0,EMP0599
PERF000233,EMP0099,2024,Annual,4,4,0,EMP0470
PERF000234,EMP0099,2024,Mid-Year,3,2,0,EMP0470
PERF000235,EMP0099,2025,Annual,3,4,0,EMP0470
PERF000236,EMP0100,2024,Annual,5,5,0,EMP0353
PERF000237,EMP0100,2025,Annual,5,4,1,EMP0353
PERF000238,EMP0101,2024,Annual,2,2,0,EMP0279
PERF000239,EMP0101,2025,Annual,2,2,0,EMP0279
PERF000240,EMP0101,2025,Mid-Year,2,2,0,EMP0279
PERF000241,EMP0102,2024,Annual,2,2,0,EMP0547
PERF000242,EMP0102,2024,Mid-Year,2,1,0,EMP0547
PERF000243,EMP0102,2025,Annual,3,3,0,EMP0547
PERF000244,EMP0102,2025,Mid-Year,2,3,0,EMP0547
PERF000245,EMP0103,2024,Annual,3,3,0,EMP0091
PERF000246,EMP0103,2025,Annual,4,3,0,EMP0091
PERF000247,EMP0103,2025,Mid-Year,3,4,0,EMP0091
PERF000248,EMP0104,2024,Annual,2,3,0,EMP0484
PERF000249,EMP0104,2024,Mid-Year,1,2,0,EMP0484
PERF000250,EMP0104,2025,Annual,2,3,0,EMP0484
PERF000251,EMP0105,2025,Annual,3,3,0,EMP0113
PERF000252,EMP0105,2025,Mid-Year,3,2,0,EMP0113
PERF000253,EMP0106,2024,Annual,2,3,0,EMP0571
PERF000254,EMP0106,2025,Annual,3,3,0,EMP0571
PERF000255,EMP0107,2025,Annual,4,5,0,EMP0528
PERF000256,EMP0108,2024,Annual,3,4,0,EMP0141
PERF000257,EMP0108,2025,Annual,5,4,0,EMP0141
PERF000258,EMP0108,2025,Mid-Year,3,4,0,EMP0141
PERF000259,EMP0109,2024,Annual,3,4,0,
PERF000260,EMP0109,2024,Mid-Year,3,4,0,
PERF000261,EMP0109,2025,Annual,4,5,0,
PERF000262,EMP0110,2024,Annual,4,5,0,EMP0179
PERF000263,EMP0110,2024,Mid-Year,4,4,0,EMP0179
PERF000264,EMP0110,2025,Annual,3,2,0,EMP0179
PERF000265,EMP0111,2024,Annual,4,4,0,EMP0215
PERF000266,EMP0111,2025,Annual,3,2,0,EMP0215
PERF000267,EMP0112,2024,Annual,4,4,0,EMP0495
PERF000268,EMP0112,2025,Annual,4,5,0,EMP0495
PERF000269,EMP0112,2025,Mid-Year,4,4,0,EMP0495
PERF000270,EMP0113,2024,Annual,5,5,0,EMP0353
PERF000271,EMP0113,2024,Mid-Year,3,3,0,EMP0353
PERF000272,EMP0113,2025,Annual,3,3,0,EMP0353
PERF000273,EMP0113,2025,Mid-Year,4,3,0,EMP0353
PERF000274,EMP0115,2024,Annual,3,2,0,EMP0457
PERF000275,EMP0115,2024,Mid-Year,3,3,0,EMP0457
PERF000276,EMP0115,2025,Annual,2,2,0,EMP0457
PERF000277,EMP0116,2025,Annual,3,3,0,EMP0433
PERF000278,EMP0116,2025,Mid-Year,1,1,0,EMP0433
PERF000279,EMP0117,2024,Annual,4,4,0,EMP0361
PERF000280,EMP0117,2024,Mid-Year,5,5,0,EMP0361
PERF000281,EMP0117,2025,Annual,5,5,0,EMP0361
PERF000282,EMP0118,2024,Annual,4,4,1,EMP0489
PERF000283,EMP0118,2024,Mid-Year,4,4,0,EMP0489
PERF000284,EMP0118,2025,Annual,3,3,0,EMP0489
PERF000285,EMP0118,2025,Mid-Year,4,4,0,EMP0489
PERF000286,EMP0119,2025,Annual,3,3,0,EMP0128
PERF000287,EMP0120,2024,Annual,4,4,0,EMP0556
PERF000288,EMP0120,2024,Mid-Year,4,5,0,EMP0556
PERF000289,EMP0120,2025,Annual,3,3,0,EMP0556
PERF000290,EMP0120,2025,Mid-Year,3,4,0,EMP0556
PERF000291,EMP0121,2024,Annual,4,3,0,EMP0218
PERF000292,EMP0121,2025,Annual,4,4,0,EMP0218
PERF000293,EMP0121,2025,Mid-Year,3,3,0,EMP0218
PERF000294,EMP0122,2024,Annual,3,3,0,EMP0141
PERF000295,EMP0122,2025,Annual,4,4,0,EMP0141
PERF000296,EMP0122,2025,Mid-Year,3,3,0,EMP0141
PERF000297,EMP0123,2024,Annual,1,2,0,EMP0393
PERF000298,EMP0123,2025,Annual,1,1,0,EMP0393
PERF000299,EMP0123,2025,Mid-Year,1,1,0,EMP0393
PERF000300,EMP0125,2024,Annual,5,4,1,EMP0319
PERF000301,EMP0125,2024,Mid-Year,4,4,0,EMP0319
PERF000302,EMP0125,2025,Annual,5,5,0,EMP0319
PERF000303,EMP0126,2024,Annual,4,4,0,EMP0463
PERF000304,EMP0126,2025,Annual,4,5,0,EMP0463
PERF000305,EMP0127,2024,Annual,3,4,0,EMP0051
PERF000306,EMP0127,2025,Annual,4,5,0,EMP0051
PERF000307,EMP0128,2024,Annual,3,4,0,
PERF000308,EMP0128,2025,Annual,3,3,0,
PERF000309,EMP0129,2024,Annual,3,3,0,EMP0136
PERF000310,EMP0129,2025,Annual,2,3,0,EMP0136
PERF000311,EMP0129,2025,Mid-Year,2,2,0,EMP0136
PERF000312,EMP0130,2024,Annual,4,3,0,EMP0495
PERF000313,EMP0130,2024,Mid-Year,2,2,0,EMP0495
PERF000314,EMP0131,2025,Annual,4,5,0,EMP0600
PERF000315,EMP0131,2025,Mid-Year,2,3,0,EMP0600
PERF000316,EMP0132,2024,Annual,3,3,0,EMP0020
PERF000317,EMP0132,2025,Annual,3,2,0,EMP0020
PERF000318,EMP0132,2025,Mid-Year,4,4,1,EMP0020
PERF000319,EMP0134,2024,Annual,4,5,0,EMP0165
PERF000320,EMP0134,2025,Annual,5,5,1,EMP0165
PERF000321,EMP0135,2024,Annual,4,3,0,EMP0374
PERF000322,EMP0135,2025,Annual,4,3,0,EMP0374
PERF000323,EMP0136,2024,Annual,4,4,0,EMP0416
PERF000324,EMP0136,2024,Mid-Year,5,4,0,EMP0416
PERF000325,EMP0136,2025,Annual,5,4,0,EMP0416
PERF000326,EMP0136,2025,Mid-Year,4,4,0,EMP0416
PERF000327,EMP0137,2025,Annual,4,5,0,EMP0416
PERF000328,EMP0137,2025,Mid-Year,3,4,0,EMP0416
PERF000329,EMP0138,2024,Annual,4,4,0,EMP0113
PERF000330,EMP0138,2025,Annual,4,4,0,EMP0113
PERF000331,EMP0139,2024,Annual,5,5,0,EMP0484
PERF000332,EMP0139,2024,Mid-Year,5,5,0,EMP0484
PERF000333,EMP0139,2025,Annual,5,5,0,EMP0484
PERF000334,EMP0140,2024,Annual,4,3,0,EMP0109
PERF000335,EMP0140,2024,Mid-Year,4,4,0,EMP0109
PERF000336,EMP0140,2025,Annual,3,3,0,EMP0109
PERF000337,EMP0140,2025,Mid-Year,4,5,0,EMP0109
PERF000338,EMP0141,2025,Annual,4,4,0,
PERF000339,EMP0142,2024,Annual,3,3,0,EMP0357
PERF000340,EMP0142,2024,Mid-Year,2,2,0,EMP0357
PERF000341,EMP0142,2025,Annual,3,2,0,EMP0357
PERF000342,EMP0143,2024,Annual,4,4,0,EMP0421
PERF000343,EMP0143,2024,Mid-Year,3,3,0,EMP0421
PERF000344,EMP0143,2025,Annual,4,4,0,EMP0421
PERF000345,EMP0143,2025,Mid-Year,4,5,0,EMP0421
PERF000346,EMP0144,2025,Annual,4,4,0,EMP0002
PERF000347,EMP0145,2024,Annual,2,3,0,EMP0141
PERF000348,EMP0145,2025,Annual,4,5,1,EMP0141
PERF000349,EMP0146,2024,Annual,3,3,0,EMP0484
PERF000350,EMP0146,2025,Annual,4,4,0,EMP0484
PERF000351,EMP0147,2024,Annual,3,1,0,EMP0119
PERF000352,EMP0147,2024,Mid-Year,2,2,0,EMP0119
PERF000353,EMP0147,2025,Annual,3,3,0,EMP0119
PERF000354,EMP0148,2024,Annual,3,3,0,EMP0218
PERF000355,EMP0148,2025,Annual,4,4,0,EMP0218
PERF000356,EMP0149,2024,Annual,4,4,0,EMP0032
PERF000357,EMP0149,2025,Annual,4,5,0,EMP0032
PERF000358,EMP0149,2025,Mid-Year,4,4,1,EMP0032
PERF000359,EMP0150,2024,Annual,3,3,0,EMP0319
PERF000360,EMP0150,2025,Annual,2,2,0,EMP0319
PERF000361,EMP0152,2024,Annual,3,3,0,EMP0276
PERF000362,EMP0152,2025,Annual,3,2,0,EMP0276
PERF000363,EMP0152,2025,Mid-Year,3,2,0,EMP0276
PERF000364,EMP0153,2024,Annual,3,3,0,EMP0353
PERF000365,EMP0153,2025,Annual,3,2,0,EMP0353
PERF000366,EMP0154,2024,Annual,3,4,0,EMP0279
PERF000367,EMP0154,2025,Annual,4,4,1,EMP0279
PERF000368,EMP0154,2025,Mid-Year,3,4,0,EMP0279
PERF000369,EMP0155,2024,Annual,3,4,0,EMP0113
PERF000370,EMP0155,2025,Annual,4,3,0,EMP0113
PERF000371,EMP0156,2024,Annual,3,2,0,EMP0351
PERF000372,EMP0156,2024,Mid-Year,3,3,0,EMP0351
PERF000373,EMP0156,2025,Annual,3,3,0,EMP0351
PERF000374,EMP0157,2024,Annual,3,3,0,EMP0571
PERF000375,EMP0157,2024,Mid-Year,4,4,0,EMP0571
PERF000376,EMP0157,2025,Annual,3,3,0,EMP0571
PERF000377,EMP0158,2024,Annual,3,3,0,EMP0036
PERF000378,EMP0158,2025,Annual,2,1,0,EMP0036
PERF000379,EMP0158,2025,Mid-Year,2,1,0,EMP0036
PERF000380,EMP0159,2024,Annual,5,5,0,EMP0495
PERF000381,EMP0159,2025,Annual,5,5,0,EMP0495
PERF000382,EMP0159,2025,Mid-Year,5,5,0,EMP0495
PERF000383,EMP0160,2024,Annual,5,5,1,EMP0287
PERF000384,EMP0160,2025,Annual,5,4,0,EMP0287
PERF000385,EMP0160,2025,Mid-Year,5,5,0,EMP0287
PERF000386,EMP0161,2024,Annual,4,4,0,EMP0020
PERF000387,EMP0161,2025,Annual,3,5,0,EMP0020
PERF000388,EMP0162,2024,Annual,5,4,0,EMP0530
PERF000389,EMP0162,2025,Annual,4,3,0,EMP0530
PERF000390,EMP0163,2024,Annual,3,4,0,EMP0357
PERF000391,EMP0163,2024,Mid-Year,4,5,0,EMP0357
PERF000392,EMP0163,2025,Annual,3,4,0,EMP0357
PERF000393,EMP0164,2024,Annual,3,2,0,EMP0328
PERF000394,EMP0165,2024,Annual,3,3,0,
PERF000395,EMP0165,2025,Annual,3,3,0,
PERF000396,EMP0166,2024,Annual,5,5,0,EMP0165
PERF000397,EMP0166,2025,Annual,5,5,0,EMP0165
PERF000398,EMP0167,2024,Annual,2,2,0,EMP0351
PERF000399,EMP0167,2025,Annual,4,5,0,EMP0351
PERF000400,EMP0168,2024,Annual,4,5,0,EMP0341
PERF000401,EMP0168,2025,Annual,3,3,0,EMP0341
PERF000402,EMP0168,2025,Mid-Year,4,3,0,EMP0341
PERF000403,EMP0169,2024,Annual,3,4,0,EMP0351
PERF000404,EMP0169,2025,Annual,3,2,0,EMP0351
PERF000405,EMP0169,2025,Mid-Year,2,2,0,EMP0351
PERF000406,EMP0170,2024,Annual,2,1,0,EMP0165
PERF000407,EMP0170,2025,Annual,3,3,0,EMP0165
PERF000408,EMP0170,2025,Mid-Year,4,3,0,EMP0165
PERF000409,EMP0171,2024,Annual,4,4,0,EMP0556
PERF000410,EMP0171,2024,Mid-Year,3,3,0,EMP0556
PERF000411,EMP0171,2025,Annual,4,3,0,EMP0556
PERF000412,EMP0172,2024,Annual,3,3,0,EMP0571
PERF000413,EMP0172,2025,Annual,3,4,0,EMP0571
PERF000414,EMP0173,2024,Annual,4,4,0,EMP0353
PERF000415,EMP0173,2025,Annual,3,2,0,EMP0353
PERF000416,EMP0173,2025,Mid-Year,4,3,0,EMP0353
PERF000417,EMP0174,2024,Annual,4,5,0,EMP0528
PERF000418,EMP0174,2024,Mid-Year,5,5,0,EMP0528
PERF000419,EMP0174,2025,Annual,5,5,0,EMP0528
PERF000420,EMP0174,2025,Mid-Year,5,5,0,EMP0528
PERF000421,EMP0175,2024,Annual,2,3,0,EMP0319
PERF000422,EMP0175,2025,Annual,3,3,0,EMP0319
PERF000423,EMP0176,2024,Annual,5,5,0,EMP0286
PERF000424,EMP0176,2025,Annual,4,4,0,EMP0286
PERF000425,EMP0177,2025,Annual,2,1,0,EMP0544
PERF000426,EMP0178,2024,Annual,2,2,0,EMP0472
PERF000427,EMP0178,2025,Annual,2,1,0,EMP0472
PERF000428,EMP0179,2024,Annual,3,3,0,EMP0063
PERF000429,EMP0179,2024,Mid-Year,3,2,0,EMP0063
PERF000430,EMP0179,2025,Annual,3,2,0,EMP0063
PERF000431,EMP0180,2024,Annual,4,5,0,EMP0479
PERF000432,EMP0180,2025,Annual,4,4,0,EMP0479
PERF000433,EMP0180,2025,Mid-Year,4,4,0,EMP0479
PERF000434,EMP0181,2024,Annual,4,3,0,EMP0283
PERF000435,EMP0181,2025,Annual,3,3,0,EMP0283
PERF000436,EMP0181,2025,Mid-Year,4,5,0,EMP0283
PERF000437,EMP0182,2025,Annual,4,5,1,EMP0328
PERF000438,EMP0182,2025,Mid-Year,3,3,0,EMP0328
PERF000439,EMP0183,2024,Annual,5,5,0,EMP0287
