attendance_id,employee_id,attendance_month,working_days,present_days,absent_days,late_arrivals,remote_work_days,overtime_hours
ATT000036,EMP0002,2024-06-01,20,20,0,0,6,2.4
ATT000037,EMP0002,2024-07-01,23,23,0,0,11,1.0
ATT000038,EMP0002,2024-08-01,22,22,0,0,13,6.8
ATT000039,EMP0002,2024-09-01,21,19,2,2,4,0.0
ATT000040,EMP0002,2024-10-01,23,21,2,0,7,7.6
ATT000041,EMP0002,2024-11-01,21,20,1,1,11,8.0
ATT000042,EMP0002,2024-12-01,22,21,1,0,8,0.7
ATT000043,EMP0002,2025-01-01,23,22,1,1,8,1.8
ATT000044,EMP0002,2025-02-01,20,20,0,0,14,1.4
ATT000045,EMP0002,2025-03-01,21,19,2,0,7,7.6
ATT000046,EMP0002,2025-04-01,22,19,3,0,4,7.1
ATT000047,EMP0002,2025-05-01,22,22,0,0,2,1.5
ATT000048,EMP0002,2025-06-01,21,21,0,0,11,0.0
ATT000049,EMP0002,2025-07-01,23,22,1,0,16,8.2
ATT000050,EMP0002,2025-08-01,21,20,1,0,7,0.0
ATT000051,EMP0002,2025-09-01,22,21,1,1,9,2.4
ATT000052,EMP0002,2025-10-01,23,23,0,0,6,7.5
ATT000053,EMP0002,2025-11-01,20,15,5,0,8,1.6
ATT000054,EMP0002,2025-12-01,23,18,5,0,8,3.3
ATT000055,EMP0002,2026-01-01,22,20,2,0,10,0.0
ATT000056,EMP0002,2026-02-01,20,19,1,1,8,0.8
ATT000057,EMP0002,2026-03-01,22,20,2,1,12,2.4
ATT000058,EMP0002,2026-04-01,22,22,0,0,8,0.0
ATT000059,EMP0002,2026-05-01,21,19,2,0,3,1.4
ATT000060,EMP0002,2026-06-01,22,22,0,0,8,4.2
ATT000061,EMP0003,2024-01-01,23,22,1,1,17,7.9
ATT000062,EMP0003,2024-02-01,21,19,2,0,16,5.8
ATT000063,EMP0003,2024-03-01,21,19,2,3,15,2.7
ATT000064,EMP0003,2024-04-01,22,19,3,1,13,0.0
ATT000065,EMP0003,2024-05-01,23,21,2,0,19,6.1
ATT000066,EMP0003,2024-06-01,20,18,2,3,14,6.8
ATT000067,EMP0003,2024-07-01,23,23,0,1,20,0.0
ATT000068,EMP0003,2024-08-01,22,21,1,0,14,5.9
ATT000069,EMP0003,2024-09-01,21,18,3,0,16,5.5
ATT000070,EMP0003,2024-10-01,23,22,1,1,18,7.9
ATT000071,EMP0003,2024-11-01,21,19,2,1,16,5.3
ATT000072,EMP0003,2024-12-01,22,18,4,1,11,7.6
ATT000073,EMP0003,2025-01-01,23,20,3,0,18,8.1
ATT000074,EMP0003,2025-02-01,20,19,1,0,18,1.9
ATT000075,EMP0003,2025-03-01,21,19,2,2,16,0.0
ATT000076,EMP0003,2025-04-01,22,22,0,0,20,6.4
ATT000077,EMP0003,2025-05-01,22,22,0,1,19,13.3
ATT000078,EMP0003,2025-06-01,21,20,1,1,19,10.3
ATT000079,EMP0003,2025-07-01,23,22,1,2,21,11.1
ATT000080,EMP0003,2025-08-01,21,19,2,0,14,0.0
ATT000081,EMP0003,2025-09-01,22,20,2,0,15,7.3
ATT000082,EMP0003,2025-10-01,23,19,4,0,13,5.7
ATT000083,EMP0003,2025-11-01,20,16,4,1,10,4.3
ATT000084,EMP0003,2025-12-01,23,21,2,0,18,0.0
ATT000085,EMP0003,2026-01-01,22,20,2,1,16,10.8
ATT000086,EMP0003,2026-02-01,20,19,1,1,16,8.4
ATT000087,EMP0003,2026-03-01,22,20,2,0,15,13.3
ATT000088,EMP0003,2026-04-01,22,21,1,1,15,0.0
ATT000089,EMP0003,2026-05-01,21,20,1,1,19,3.5
ATT000090,EMP0003,2026-06-01,22,20,2,0,15,0.4
ATT000091,EMP0004,2024-01-01,23,17,6,4,6,4.4
ATT000092,EMP0004,2024-02-01,21,17,4,1,7,12.8
ATT000093,EMP0004,2024-03-01,21,10,11,3,0,10.9
ATT000094,EMP0004,2024-04-01,22,20,2,0,11,7.2
ATT000095,EMP0004,2024-05-01,23,22,1,1,10,3.0
ATT000096,EMP0004,2024-06-01,20,17,3,1,7,1.3
ATT000097,EMP0004,2024-07-01,23,14,9,2,6,6.4
ATT000098,EMP0004,2024-08-01,22,18,4,1,7,9.3
ATT000099,EMP0004,2024-09-01,21,17,4,2,6,4.6
ATT000100,EMP0004,2024-10-01,23,16,7,1,4,10.6
ATT000101,EMP0004,2024-11-01,21,17,4,1,7,13.0
ATT000102,EMP0004,2024-12-01,22,20,2,1,8,11.0
ATT000103,EMP0004,2025-01-01,23,20,3,1,10,7.5
ATT000104,EMP0004,2025-02-01,20,16,4,0,3,1.4
ATT000105,EMP0004,2025-03-01,21,15,6,1,9,9.6
ATT000106,EMP0004,2025-04-01,22,15,7,1,8,7.8
ATT000107,EMP0004,2025-05-01,22,19,3,2,12,6.0
ATT000108,EMP0004,2025-06-01,21,17,4,1,6,9.1
ATT000109,EMP0004,2025-07-01,23,21,2,2,7,2.3
ATT000110,EMP0004,2025-08-01,21,16,5,2,6,5.2
ATT000111,EMP0004,2025-09-01,22,16,6,1,6,2.5
ATT000112,EMP0004,2025-10-01,23,16,7,2,5,0.4
ATT000113,EMP0004,2025-11-01,20,18,2,4,9,1.0
ATT000114,EMP0004,2025-12-01,23,20,3,1,12,5.8
ATT000115,EMP0004,2026-01-01,22,19,3,6,10,7.9
ATT000116,EMP0004,2026-02-01,20,14,6,1,7,0.0
ATT000117,EMP0004,2026-03-01,22,20,2,1,8,0.9
ATT000118,EMP0004,2026-04-01,22,18,4,0,11,6.9
ATT000119,EMP0004,2026-05-01,21,17,4,3,5,9.5
ATT000120,EMP0004,2026-06-01,22,17,5,0,10,3.9
ATT000121,EMP0005,2024-01-01,23,22,1,2,2,0.0
ATT000122,EMP0005,2024-02-01,21,20,1,0,3,6.1
ATT000123,EMP0005,2024-03-01,21,19,2,0,1,5.3
ATT000124,EMP0005,2024-04-01,22,21,1,0,2,7.2
ATT000125,EMP0005,2024-05-01,23,21,2,0,2,8.5
ATT000126,EMP0005,2024-06-01,20,20,0,1,0,3.3
ATT000127,EMP0005,2024-07-01,23,23,0,0,0,6.3
ATT000128,EMP0005,2024-08-01,22,20,2,0,4,9.1
ATT000129,EMP0005,2024-09-01,21,18,3,0,3,1.9
ATT000130,EMP0005,2024-10-01,23,20,3,0,0,1.0
ATT000131,EMP0005,2024-11-01,21,21,0,0,0,7.2
ATT000132,EMP0005,2024-12-01,22,19,3,0,0,9.8
ATT000133,EMP0005,2025-01-01,23,21,2,0,1,5.4
ATT000134,EMP0005,2025-02-01,20,19,1,0,0,2.4
ATT000135,EMP0005,2025-03-01,21,18,3,3,3,2.9
ATT000136,EMP0005,2025-04-01,22,21,1,0,0,7.1
ATT000137,EMP0005,2025-05-01,22,20,2,0,4,9.8
ATT000138,EMP0005,2025-06-01,21,21,0,1,0,7.4
ATT000139,EMP0005,2025-07-01,23,19,4,2,3,3.4
ATT000140,EMP0005,2025-08-01,21,18,3,0,4,8.2
ATT000141,EMP0005,2025-09-01,22,22,0,0,2,6.4
ATT000142,EMP0005,2025-10-01,23,23,0,0,0,5.9
ATT000143,EMP0005,2025-11-01,20,20,0,2,2,8.1
ATT000144,EMP0005,2025-12-01,23,20,3,0,2,8.2
ATT000145,EMP0005,2026-01-01,22,19,3,0,0,3.2
ATT000146,EMP0005,2026-02-01,20,19,1,0,0,18.2
ATT000147,EMP0005,2026-03-01,22,18,4,0,0,0.0
ATT000148,EMP0005,2026-04-01,22,19,3,1,1,0.2
ATT000149,EMP0005,2026-05-01,21,21,0,0,4,3.8
ATT000150,EMP0005,2026-06-01,22,18,4,0,4,0.0
ATT000151,EMP0006,2024-01-01,23,22,1,0,3,6.9
ATT000152,EMP0006,2024-02-01,21,20,1,0,2,7.7
ATT000153,EMP0006,2024-03-01,21,20,1,1,4,7.2
ATT000154,EMP0006,2024-04-01,22,20,2,0,1,0.0
ATT000155,EMP0006,2024-05-01,23,23,0,0,7,2.6
ATT000156,EMP0006,2024-06-01,20,20,0,0,3,0.0
ATT000157,EMP0006,2024-07-01,23,23,0,0,1,6.2
ATT000158,EMP0006,2024-08-01,22,22,0,0,4,2.1
ATT000159,EMP0006,2024-09-01,21,21,0,1,0,2.6
ATT000160,EMP0006,2024-10-01,23,23,0,1,2,7.5
ATT000161,EMP0006,2024-11-01,21,21,0,0,5,0.0
ATT000162,EMP0006,2024-12-01,22,22,0,0,1,8.5
ATT000163,EMP0006,2025-01-01,23,20,3,1,0,7.1
ATT000164,EMP0006,2025-02-01,20,18,2,0,2,4.7
ATT000165,EMP0006,2025-03-01,21,20,1,0,0,5.5
ATT000166,EMP0006,2025-04-01,22,22,0,0,0,6.8
ATT000167,EMP0006,2025-05-01,22,22,0,0,1,3.5
ATT000168,EMP0006,2025-06-01,21,20,1,0,2,7.6
ATT000169,EMP0006,2025-07-01,23,21,2,0,0,0.0
ATT000170,EMP0006,2025-08-01,21,21,0,0,2,0.0
ATT000171,EMP0006,2025-09-01,22,22,0,0,4,0.0
ATT000172,EMP0006,2025-10-01,23,20,3,0,2,2.4
ATT000173,EMP0006,2025-11-01,20,18,2,0,1,2.8
ATT000174,EMP0006,2025-12-01,23,21,2,0,2,0.7
ATT000175,EMP0006,2026-01-01,22,20,2,0,2,0.0
ATT000176,EMP0006,2026-02-01,20,20,0,1,2,11.7
ATT000177,EMP0006,2026-03-01,22,22,0,1,5,0.0
ATT000178,EMP0006,2026-04-01,22,21,1,0,0,1.8
ATT000179,EMP0006,2026-05-01,21,20,1,0,1,0.7
ATT000180,EMP0006,2026-06-01,22,21,1,0,2,0.8
ATT000181,EMP0007,2024-01-01,23,21,2,0,8,2.7
ATT000182,EMP0007,2024-02-01,21,17,4,0,10,0.0
ATT000183,EMP0007,2024-03-01,21,16,5,2,2,2.6
ATT000184,EMP0007,2024-04-01,22,20,2,1,5,6.9
ATT000185,EMP0007,2024-05-01,23,20,3,0,9,2.5
ATT000186,EMP0007,2024-06-01,20,16,4,0,6,3.8
ATT000187,EMP0007,2024-07-01,23,15,8,0,8,0.0
ATT000188,EMP0007,2024-08-01,22,18,4,1,9,10.5
ATT000189,EMP0007,2024-09-01,21,19,2,0,7,5.3
ATT000190,EMP0007,2024-10-01,23,23,0,1,10,1.4
ATT000191,EMP0007,2024-11-01,21,16,5,2,4,4.6
ATT000192,EMP0007,2024-12-01,22,19,3,6,14,0.0
ATT000193,EMP0007,2025-01-01,23,21,2,1,10,7.7
ATT000194,EMP0007,2025-02-01,20,20,0,0,4,0.9
ATT000195,EMP0007,2025-03-01,21,17,4,0,11,8.1
ATT000196,EMP0007,2025-04-01,22,20,2,0,5,2.8
ATT000197,EMP0007,2025-05-01,22,20,2,0,2,5.9
ATT000198,EMP0007,2025-06-01,21,18,3,0,11,2.0
ATT000199,EMP0007,2025-07-01,23,18,5,0,10,0.0
ATT000200,EMP0007,2025-08-01,21,16,5,3,5,0.0
ATT000201,EMP0007,2025-09-01,22,20,2,1,10,2.4
ATT000202,EMP0007,2025-10-01,23,20,3,2,10,0.0
ATT000203,EMP0007,2025-11-01,20,16,4,0,5,3.6
ATT000204,EMP0007,2025-12-01,23,20,3,0,7,5.0
ATT000205,EMP0007,2026-01-01,22,20,2,1,7,3.1
ATT000206,EMP0007,2026-02-01,20,16,4,3,4,1.7
ATT000207,EMP0007,2026-03-01,22,19,3,1,11,0.0
ATT000208,EMP0007,2026-04-01,22,21,1,2,8,2.1
ATT000209,EMP0007,2026-05-01,21,16,5,1,5,4.2
ATT000210,EMP0007,2026-06-01,22,18,4,1,2,0.1
ATT000211,EMP0008,2024-01-01,23,20,3,0,12,5.2
ATT000212,EMP0008,2024-02-01,21,19,2,1,10,5.1
ATT000213,EMP0008,2024-03-01,21,20,1,1,7,7.7
ATT000214,EMP0008,2024-04-01,22,19,3,0,13,8.2
ATT000215,EMP0008,2024-05-01,23,23,0,0,8,4.9
ATT000216,EMP0008,2024-06-01,20,19,1,0,9,8.9
ATT000217,EMP0008,2024-07-01,23,22,1,2,12,1.7
ATT000218,EMP0008,2024-08-01,22,20,2,0,4,2.7
ATT000219,EMP0008,2024-09-01,21,20,1,0,3,9.5
ATT000220,EMP0008,2024-10-01,23,22,1,0,9,3.5
ATT000221,EMP0008,2024-11-01,21,20,1,0,14,3.6
ATT000222,EMP0008,2024-12-01,22,21,1,1,13,6.5
ATT000223,EMP0008,2025-01-01,23,22,1,1,10,7.2
ATT000224,EMP0008,2025-02-01,20,20,0,0,10,0.1
ATT000225,EMP0008,2025-03-01,21,19,2,0,10,14.3
ATT000226,EMP0008,2025-04-01,22,21,1,0,15,0.0
ATT000227,EMP0008,2025-05-01,22,21,1,0,1,5.0
ATT000228,EMP0008,2025-06-01,21,20,1,2,6,8.0
ATT000229,EMP0008,2025-07-01,23,22,1,0,6,13.2
ATT000230,EMP0008,2025-08-01,21,20,1,2,8,10.2
ATT000231,EMP0008,2025-09-01,22,20,2,0,3,9.0
ATT000232,EMP0008,2025-10-01,23,23,0,0,15,0.0
ATT000233,EMP0008,2025-11-01,20,20,0,0,11,4.3
ATT000234,EMP0008,2025-12-01,23,23,0,1,11,11.6
ATT000235,EMP0008,2026-01-01,22,22,0,0,7,9.9
ATT000236,EMP0008,2026-02-01,20,19,1,1,14,6.5
ATT000237,EMP0008,2026-03-01,22,19,3,0,7,3.3
ATT000238,EMP0008,2026-04-01,22,21,1,0,4,4.9
ATT000239,EMP0008,2026-05-01,21,19,2,1,9,3.9
ATT000240,EMP0008,2026-06-01,22,22,0,2,10,6.3
ATT000241,EMP0009,2024-01-01,23,20,3,4,14,9.2
ATT000242,EMP0009,2024-02-01,21,18,3,2,7,8.4
ATT000243,EMP0010,2025-05-01,22,22,0,0,14,4.4
ATT000244,EMP0010,2025-06-01,21,20,1,0,17,3.4
ATT000245,EMP0010,2025-07-01,23,21,2,0,17,0.0
ATT000246,EMP0010,2025-08-01,21,19,2,0,17,8.3
ATT000247,EMP0010,2025-09-01,22,21,1,0,20,5.1
ATT000248,EMP0010,2025-10-01,23,20,3,0,18,8.1
ATT000249,EMP0010,2025-11-01,20,20,0,0,17,6.9
ATT000250,EMP0010,2025-12-01,23,21,2,1,18,1.0
ATT000251,EMP0010,2026-01-01,22,19,3,0,19,4.5
ATT000252,EMP0010,2026-02-01,20,20,0,1,14,1.0
ATT000253,EMP0010,2026-03-01,22,20,2,0,20,1.4
ATT000254,EMP0010,2026-04-01,22,19,3,2,18,4.7
ATT000255,EMP0010,2026-05-01,21,20,1,0,16,2.9
ATT000256,EMP0010,2026-06-01,22,17,5,0,11,4.2
ATT000257,EMP0011,2024-04-01,22,19,3,1,16,12.8
ATT000258,EMP0011,2024-05-01,23,20,3,0,18,0.0
ATT000259,EMP0011,2024-06-01,20,17,3,1,12,3.7
ATT000260,EMP0011,2024-07-01,23,21,2,0,19,1.3
ATT000261,EMP0011,2024-08-01,22,20,2,3,16,4.1
ATT000262,EMP0011,2024-09-01,21,20,1,0,15,2.9
ATT000263,EMP0011,2024-10-01,23,21,2,1,17,1.7
ATT000264,EMP0011,2024-11-01,21,19,2,1,14,1.6
ATT000265,EMP0011,2024-12-01,22,21,1,0,15,0.0
ATT000266,EMP0011,2025-01-01,23,23,0,1,20,0.0
ATT000267,EMP0011,2025-02-01,20,19,1,1,16,0.0
ATT000268,EMP0011,2025-03-01,21,21,0,0,13,0.0
ATT000269,EMP0011,2025-04-01,22,22,0,1,19,2.3
ATT000270,EMP0011,2025-05-01,22,19,3,0,16,2.2
ATT000271,EMP0011,2025-06-01,21,21,0,0,16,8.5
ATT000272,EMP0011,2025-07-01,23,22,1,2,17,2.9
ATT000273,EMP0011,2025-08-01,21,21,0,0,17,10.8
ATT000274,EMP0011,2025-09-01,22,21,1,1,20,10.7
ATT000275,EMP0011,2025-10-01,23,22,1,2,16,0.0
ATT000276,EMP0011,2025-11-01,20,18,2,1,17,11.7
ATT000277,EMP0011,2025-12-01,23,22,1,1,21,0.0
ATT000278,EMP0011,2026-01-01,22,21,1,0,16,0.0
ATT000279,EMP0011,2026-02-01,20,19,1,0,19,0.7
ATT000280,EMP0011,2026-03-01,22,21,1,1,18,9.4
ATT000281,EMP0011,2026-04-01,22,20,2,0,19,1.3
ATT000282,EMP0011,2026-05-01,21,19,2,0,15,3.0
ATT000283,EMP0011,2026-06-01,22,20,2,0,16,8.4
ATT000284,EMP0012,2024-01-01,23,18,5,0,2,10.0
ATT000285,EMP0012,2024-02-01,21,21,0,2,4,1.2
ATT000286,EMP0012,2024-03-01,21,17,4,0,0,0.0
ATT000287,EMP0012,2024-04-01,22,20,2,1,3,0.0
ATT000288,EMP0012,2024-05-01,23,15,8,2,2,7.6
ATT000289,EMP0012,2024-06-01,20,20,0,0,6,0.0
ATT000290,EMP0012,2024-07-01,23,20,3,1,3,4.2
ATT000291,EMP0012,2024-08-01,22,21,1,3,5,0.0
ATT000292,EMP0012,2024-09-01,21,20,1,0,1,1.1
ATT000293,EMP0012,2024-10-01,23,21,2,2,1,17.2
ATT000294,EMP0012,2024-11-01,21,19,2,2,0,17.0
ATT000295,EMP0012,2024-12-01,22,20,2,2,0,4.5
ATT000296,EMP0012,2025-01-01,23,19,4,2,0,5.3
ATT000297,EMP0012,2025-02-01,20,18,2,2,4,2.9
ATT000298,EMP0012,2025-03-01,21,19,2,1,0,6.4
ATT000299,EMP0012,2025-04-01,22,16,6,0,3,0.0
ATT000300,EMP0012,2025-05-01,22,19,3,0,0,1.2
ATT000301,EMP0012,2025-06-01,21,20,1,0,2,1.3
ATT000302,EMP0012,2025-07-01,23,19,4,1,3,11.9
ATT000303,EMP0012,2025-08-01,21,19,2,0,4,0.0
ATT000304,EMP0012,2025-09-01,22,20,2,1,0,6.7
ATT000305,EMP0012,2025-10-01,23,20,3,1,0,5.1
ATT000306,EMP0012,2025-11-01,20,19,1,0,2,6.8
ATT000307,EMP0012,2025-12-01,23,21,2,1,0,5.4
ATT000308,EMP0012,2026-01-01,22,22,0,1,2,8.7
ATT000309,EMP0012,2026-02-01,20,18,2,2,2,0.0
ATT000310,EMP0012,2026-03-01,22,21,1,2,2,4.7
ATT000311,EMP0012,2026-04-01,22,19,3,2,1,1.1
ATT000312,EMP0012,2026-05-01,21,17,4,1,0,10.7
ATT000313,EMP0012,2026-06-01,22,18,4,1,1,7.8
ATT000314,EMP0013,2024-01-01,23,22,1,2,18,7.6
ATT000315,EMP0013,2024-02-01,21,21,0,0,18,0.8
ATT000316,EMP0013,2024-03-01,21,19,2,0,16,2.8
ATT000317,EMP0013,2024-04-01,22,19,3,1,16,3.0
ATT000318,EMP0013,2024-05-01,23,22,1,0,17,0.0
ATT000319,EMP0013,2024-06-01,20,16,4,0,15,3.2
ATT000320,EMP0013,2024-07-01,23,22,1,1,20,0.0
ATT000321,EMP0013,2024-08-01,22,22,0,1,16,4.0
ATT000322,EMP0013,2024-09-01,21,20,1,0,18,3.6
ATT000323,EMP0013,2024-10-01,23,22,1,0,16,0.0
ATT000324,EMP0013,2024-11-01,21,20,1,0,15,0.0
ATT000325,EMP0013,2024-12-01,22,20,2,1,19,0.0
ATT000326,EMP0013,2025-01-01,23,21,2,0,14,6.7
ATT000327,EMP0013,2025-02-01,20,18,2,1,13,1.5
ATT000328,EMP0013,2025-03-01,21,19,2,0,13,5.1
ATT000329,EMP0013,2025-04-01,22,20,2,0,15,7.7
ATT000330,EMP0013,2025-05-01,22,22,0,1,20,5.4
ATT000331,EMP0013,2025-06-01,21,21,0,0,19,4.5
ATT000332,EMP0013,2025-07-01,23,21,2,0,18,3.3
ATT000333,EMP0013,2025-08-01,21,20,1,0,17,5.4
ATT000334,EMP0013,2025-09-01,22,21,1,0,17,0.6
ATT000335,EMP0013,2025-10-01,23,21,2,1,18,4.5
ATT000336,EMP0013,2025-11-01,20,19,1,1,18,0.9
ATT000337,EMP0013,2025-12-01,23,23,0,0,20,0.0
ATT000338,EMP0013,2026-01-01,22,20,2,0,18,1.7
ATT000339,EMP0013,2026-02-01,20,17,3,1,15,0.0
ATT000340,EMP0013,2026-03-01,22,20,2,0,15,3.8
ATT000341,EMP0013,2026-04-01,22,22,0,1,17,0.0
ATT000342,EMP0013,2026-05-01,21,20,1,0,18,6.2
ATT000343,EMP0013,2026-06-01,22,21,1,0,19,6.5
ATT000344,EMP0014,2024-01-01,23,20,3,0,17,1.0
ATT000345,EMP0014,2024-02-01,21,21,0,0,15,8.4
ATT000346,EMP0014,2024-03-01,21,19,2,0,14,2.1
ATT000347,EMP0014,2024-04-01,22,21,1,0,18,4.8
ATT000348,EMP0014,2024-05-01,23,22,1,1,17,4.8
ATT000349,EMP0014,2024-06-01,20,19,1,0,10,6.3
ATT000350,EMP0014,2024-07-01,23,23,0,0,20,7.0
ATT000351,EMP0014,2024-08-01,22,22,0,0,18,6.9
ATT000352,EMP0014,2024-09-01,21,21,0,0,16,3.1
ATT000353,EMP0014,2024-10-01,23,21,2,0,16,0.0
ATT000354,EMP0014,2024-11-01,21,21,0,1,19,6.4
ATT000355,EMP0014,2024-12-01,22,21,1,0,21,9.6
ATT000356,EMP0014,2025-01-01,23,23,0,0,21,5.2
ATT000357,EMP0014,2025-02-01,20,19,1,0,14,5.5
ATT000358,EMP0014,2025-03-01,21,20,1,0,16,3.6
ATT000359,EMP0014,2025-04-01,22,21,1,1,17,5.8
ATT000360,EMP0014,2025-05-01,22,21,1,0,17,0.0
ATT000361,EMP0014,2025-06-01,21,20,1,0,18,4.4
ATT000362,EMP0014,2025-07-01,23,20,3,1,19,4.5
ATT000363,EMP0014,2025-08-01,21,21,0,0,21,2.6
ATT000364,EMP0014,2025-09-01,22,21,1,0,13,0.1
ATT000365,EMP0014,2025-10-01,23,21,2,0,16,0.0
ATT000366,EMP0014,2025-11-01,20,17,3,0,17,6.3
ATT000367,EMP0014,2025-12-01,23,22,1,0,18,6.8
ATT000368,EMP0014,2026-01-01,22,21,1,0,17,2.4
ATT000369,EMP0014,2026-02-01,20,19,1,0,15,1.7
ATT000370,EMP0014,2026-03-01,22,21,1,0,20,0.6
ATT000371,EMP0014,2026-04-01,22,22,0,0,16,0.0
ATT000372,EMP0014,2026-05-01,21,21,0,1,16,0.0
ATT000373,EMP0014,2026-06-01,22,22,0,0,20,10.2
ATT000374,EMP0015,2025-03-01,21,20,1,0,6,6.0
ATT000375,EMP0015,2025-04-01,22,22,0,1,10,12.1
ATT000376,EMP0015,2025-05-01,22,20,2,1,13,11.8
ATT000377,EMP0015,2025-06-01,21,20,1,0,11,2.1
ATT000378,EMP0015,2025-07-01,23,19,4,0,7,0.0
ATT000379,EMP0015,2025-08-01,21,19,2,0,7,0.0
ATT000380,EMP0015,2025-09-01,22,22,0,0,10,0.4
ATT000381,EMP0015,2025-10-01,23,22,1,0,9,5.2
ATT000382,EMP0015,2025-11-01,20,18,2,1,8,4.6
ATT000383,EMP0015,2025-12-01,23,23,0,0,11,8.1
ATT000384,EMP0015,2026-01-01,22,20,2,0,16,0.0
ATT000385,EMP0015,2026-02-01,20,20,0,1,14,6.5
ATT000386,EMP0015,2026-03-01,22,21,1,1,4,2.4
ATT000387,EMP0015,2026-04-01,22,22,0,0,4,0.0
ATT000388,EMP0015,2026-05-01,21,21,0,0,10,7.6
ATT000389,EMP0015,2026-06-01,22,21,1,0,10,0.0
ATT000390,EMP0016,2024-04-01,22,22,0,1,17,6.5
ATT000391,EMP0016,2024-05-01,23,23,0,0,20,8.0
ATT000392,EMP0016,2024-06-01,20,17,3,2,12,11.8
ATT000393,EMP0016,2024-07-01,23,21,2,1,17,5.1
ATT000394,EMP0016,2024-08-01,22,20,2,1,14,9.1
ATT000395,EMP0016,2024-09-01,21,19,2,1,15,8.8
ATT000396,EMP0016,2024-10-01,23,23,0,0,18,4.1
ATT000397,EMP0016,2024-11-01,21,21,0,0,17,3.3
ATT000398,EMP0016,2024-12-01,22,21,1,0,16,5.5
ATT000399,EMP0016,2025-01-01,23,20,3,0,15,9.4
ATT000400,EMP0016,2025-02-01,20,19,1,1,13,0.0
ATT000401,EMP0016,2025-03-01,21,20,1,0,13,7.6
ATT000402,EMP0016,2025-04-01,22,18,4,1,16,0.0
ATT000403,EMP0016,2025-05-01,22,21,1,1,19,4.2
ATT000404,EMP0016,2025-06-01,21,20,1,0,16,0.3
ATT000405,EMP0016,2025-07-01,23,21,2,0,18,0.0
ATT000406,EMP0016,2025-08-01,21,20,1,0,16,11.7
ATT000407,EMP0016,2025-09-01,22,20,2,0,16,0.0
ATT000408,EMP0016,2025-10-01,23,22,1,0,18,2.7
ATT000409,EMP0016,2025-11-01,20,20,0,0,14,8.5
ATT000410,EMP0016,2025-12-01,23,23,0,1,18,6.8
ATT000411,EMP0016,2026-01-01,22,21,1,1,19,9.0
ATT000412,EMP0016,2026-02-01,20,17,3,0,13,4.8
ATT000413,EMP0016,2026-03-01,22,21,1,0,15,8.1
ATT000414,EMP0016,2026-04-01,22,19,3,0,13,5.0
ATT000415,EMP0016,2026-05-01,21,18,3,0,13,2.2
ATT000416,EMP0016,2026-06-01,22,22,0,1,21,4.3
ATT000417,EMP0017,2024-01-01,23,20,3,2,16,0.0
ATT000418,EMP0017,2024-02-01,21,19,2,1,6,3.1
ATT000419,EMP0017,2024-03-01,21,20,1,2,7,5.2
ATT000420,EMP0017,2024-04-01,22,19,3,0,5,1.4
ATT000421,EMP0017,2024-05-01,23,19,4,3,6,0.7
