payroll_key,payroll_id,employee_key,pay_period_key,annual_salary,monthly_salary,bonus_amount,pay_grade,salary_band,salary_band_sort_order,currency
76,PAY000076,3,20250401,33500,2791.67,0.0,G4,30K-40K,2,GBP
77,PAY000077,3,20250501,33500,2791.67,2381.74,G4,30K-40K,2,GBP
78,PAY000078,3,20250601,33500,2791.67,0.0,G4,30K-40K,2,GBP
79,PAY000079,3,20250701,33500,2791.67,0.0,G4,30K-40K,2,GBP
80,PAY000080,3,20250801,33500,2791.67,0.0,G4,30K-40K,2,GBP
81,PAY000081,3,20250901,33500,2791.67,0.0,G4,30K-40K,2,GBP
82,PAY000082,3,20251001,33500,2791.67,0.0,G4,30K-40K,2,GBP
83,PAY000083,3,20251101,33500,2791.67,0.0,G4,30K-40K,2,GBP
84,PAY000084,3,20251201,33500,2791.67,0.0,G4,30K-40K,2,GBP
85,PAY000085,3,20260101,33500,2791.67,0.0,G4,30K-40K,2,GBP
86,PAY000086,3,20260201,33500,2791.67,0.0,G4,30K-40K,2,GBP
87,PAY000087,3,20260301,33500,2791.67,0.0,G4,30K-40K,2,GBP
88,PAY000088,3,20260401,33500,2791.67,0.0,G4,30K-40K,2,GBP
89,PAY000089,3,20260501,33500,2791.67,0.0,G4,30K-40K,2,GBP
90,PAY000090,3,20260601,33500,2791.67,0.0,G4,30K-40K,2,GBP
91,PAY000091,4,20240101,35500,2958.33,0.0,G4,30K-40K,2,GBP
92,PAY000092,4,20240201,35500,2958.33,0.0,G4,30K-40K,2,GBP
93,PAY000093,4,20240301,35500,2958.33,0.0,G4,30K-40K,2,GBP
94,PAY000094,4,20240401,35500,2958.33,0.0,G4,30K-40K,2,GBP
95,PAY000095,4,20240501,35500,2958.33,0.0,G4,30K-40K,2,GBP
96,PAY000096,4,20240601,35500,2958.33,0.0,G4,30K-40K,2,GBP
97,PAY000097,4,20240701,35500,2958.33,0.0,G4,30K-40K,2,GBP
98,PAY000098,4,20240801,35500,2958.33,0.0,G4,30K-40K,2,GBP
99,PAY000099,4,20240901,35500,2958.33,0.0,G4,30K-40K,2,GBP
100,PAY000100,4,20241001,35500,2958.33,0.0,G4,30K-40K,2,GBP
101,PAY000101,4,20241101,35500,2958.33,0.0,G4,30K-40K,2,GBP
102,PAY000102,4,20241201,35500,2958.33,0.0,G4,30K-40K,2,GBP
103,PAY000103,4,20250101,35500,2958.33,0.0,G4,30K-40K,2,GBP
104,PAY000104,4,20250201,35500,2958.33,0.0,G4,30K-40K,2,GBP
105,PAY000105,4,20250301,35500,2958.33,0.0,G4,30K-40K,2,GBP
106,PAY000106,4,20250401,35500,2958.33,0.0,G4,30K-40K,2,GBP
107,PAY000107,4,20250501,35500,2958.33,0.0,G4,30K-40K,2,GBP
108,PAY000108,4,20250601,35500,2958.33,0.0,G4,30K-40K,2,GBP
109,PAY000109,4,20250701,35500,2958.33,0.0,G4,30K-40K,2,GBP
110,PAY000110,4,20250801,35500,2958.33,0.0,G4,30K-40K,2,GBP
111,PAY000111,4,20250901,35500,2958.33,0.0,G4,30K-40K,2,GBP
112,PAY000112,4,20251001,35500,2958.33,0.0,G4,30K-40K,2,GBP
113,PAY000113,4,20251101,35500,2958.33,0.0,G4,30K-40K,2,GBP
114,PAY000114,4,20251201,35500,2958.33,0.0,G4,30K-40K,2,GBP
115,PAY000115,4,20260101,35500,2958.33,0.0,G4,30K-40K,2,GBP
116,PAY000116,4,20260201,35500,2958.33,0.0,G4,30K-40K,2,GBP
117,PAY000117,4,20260301,35500,2958.33,0.0,G4,30K-40K,2,GBP
118,PAY000118,4,20260401,35500,2958.33,0.0,G4,30K-40K,2,GBP
119,PAY000119,4,20260501,35500,2958.33,0.0,G4,30K-40K,2,GBP
120,PAY000120,4,20260601,35500,2958.33,0.0,G4,30K-40K,2,GBP
121,PAY000121,5,20240101,38000,3166.67,0.0,G4,30K-40K,2,GBP
122,PAY000122,5,20240201,38000,3166.67,0.0,G4,30K-40K,2,GBP
123,PAY000123,5,20240301,38000,3166.67,0.0,G4,30K-40K,2,GBP
124,PAY000124,5,20240401,38000,3166.67,0.0,G4,30K-40K,2,GBP
125,PAY000125,5,20240501,38000,3166.67,0.0,G4,30K-40K,2,GBP
126,PAY000126,5,20240601,38000,3166.67,0.0,G4,30K-40K,2,GBP
127,PAY000127,5,20240701,38000,3166.67,0.0,G4,30K-40K,2,GBP
128,PAY000128,5,20240801,38000,3166.67,0.0,G4,30K-40K,2,GBP
129,PAY000129,5,20240901,38000,3166.67,0.0,G4,30K-40K,2,GBP
130,PAY000130,5,20241001,38000,3166.67,0.0,G4,30K-40K,2,GBP
131,PAY000131,5,20241101,38000,3166.67,0.0,G4,30K-40K,2,GBP
132,PAY000132,5,20241201,38000,3166.67,0.0,G4,30K-40K,2,GBP
133,PAY000133,5,20250101,38000,3166.67,0.0,G4,30K-40K,2,GBP
134,PAY000134,5,20250201,38000,3166.67,0.0,G4,30K-40K,2,GBP
135,PAY000135,5,20250301,38000,3166.67,1778.36,G4,30K-40K,2,GBP
136,PAY000136,5,20250401,38000,3166.67,0.0,G4,30K-40K,2,GBP
137,PAY000137,5,20250501,38000,3166.67,0.0,G4,30K-40K,2,GBP
138,PAY000138,5,20250601,38000,3166.67,0.0,G4,30K-40K,2,GBP
139,PAY000139,5,20250701,38000,3166.67,0.0,G4,30K-40K,2,GBP
140,PAY000140,5,20250801,38000,3166.67,0.0,G4,30K-40K,2,GBP
141,PAY000141,5,20250901,38000,3166.67,0.0,G4,30K-40K,2,GBP
142,PAY000142,5,20251001,38000,3166.67,0.0,G4,30K-40K,2,GBP
143,PAY000143,5,20251101,38000,3166.67,0.0,G4,30K-40K,2,GBP
144,PAY000144,5,20251201,38000,3166.67,0.0,G4,30K-40K,2,GBP
145,PAY000145,5,20260101,38000,3166.67,0.0,G4,30K-40K,2,GBP
146,PAY000146,5,20260201,38000,3166.67,0.0,G4,30K-40K,2,GBP
147,PAY000147,5,20260301,38000,3166.67,0.0,G4,30K-40K,2,GBP
148,PAY000148,5,20260401,38000,3166.67,0.0,G4,30K-40K,2,GBP
149,PAY000149,5,20260501,38000,3166.67,0.0,G4,30K-40K,2,GBP
150,PAY000150,5,20260601,38000,3166.67,0.0,G4,30K-40K,2,GBP
151,PAY000151,6,20240101,83500,6958.33,0.0,G6,80K-100K,6,GBP
152,PAY000152,6,20240201,83500,6958.33,0.0,G6,80K-100K,6,GBP
153,PAY000153,6,20240301,83500,6958.33,0.0,G6,80K-100K,6,GBP
154,PAY000154,6,20240401,83500,6958.33,0.0,G6,80K-100K,6,GBP
155,PAY000155,6,20240501,83500,6958.33,0.0,G6,80K-100K,6,GBP
156,PAY000156,6,20240601,83500,6958.33,0.0,G6,80K-100K,6,GBP
157,PAY000157,6,20240701,83500,6958.33,0.0,G6,80K-100K,6,GBP
158,PAY000158,6,20240801,83500,6958.33,0.0,G6,80K-100K,6,GBP
159,PAY000159,6,20240901,83500,6958.33,0.0,G6,80K-100K,6,GBP
160,PAY000160,6,20241001,83500,6958.33,2533.85,G6,80K-100K,6,GBP
161,PAY000161,6,20241101,83500,6958.33,0.0,G6,80K-100K,6,GBP
162,PAY000162,6,20241201,83500,6958.33,0.0,G6,80K-100K,6,GBP
163,PAY000163,6,20250101,83500,6958.33,0.0,G6,80K-100K,6,GBP
164,PAY000164,6,20250201,83500,6958.33,0.0,G6,80K-100K,6,GBP
165,PAY000165,6,20250301,83500,6958.33,0.0,G6,80K-100K,6,GBP
166,PAY000166,6,20250401,83500,6958.33,0.0,G6,80K-100K,6,GBP
167,PAY000167,6,20250501,83500,6958.33,0.0,G6,80K-100K,6,GBP
168,PAY000168,6,20250601,83500,6958.33,0.0,G6,80K-100K,6,GBP
169,PAY000169,6,20250701,83500,6958.33,0.0,G6,80K-100K,6,GBP
170,PAY000170,6,20250801,83500,6958.33,0.0,G6,80K-100K,6,GBP
171,PAY000171,6,20250901,83500,6958.33,0.0,G6,80K-100K,6,GBP
172,PAY000172,6,20251001,83500,6958.33,0.0,G6,80K-100K,6,GBP
173,PAY000173,6,20251101,83500,6958.33,0.0,G6,80K-100K,6,GBP
174,PAY000174,6,20251201,83500,6958.33,0.0,G6,80K-100K,6,GBP
175,PAY000175,6,20260101,83500,6958.33,0.0,G6,80K-100K,6,GBP
176,PAY000176,6,20260201,83500,6958.33,0.0,G6,80K-100K,6,GBP
177,PAY000177,6,20260301,83500,6958.33,0.0,G6,80K-100K,6,GBP
178,PAY000178,6,20260401,83500,6958.33,0.0,G6,80K-100K,6,GBP
179,PAY000179,6,20260501,83500,6958.33,0.0,G6,80K-100K,6,GBP
180,PAY000180,6,20260601,83500,6958.33,0.0,G6,80K-100K,6,GBP
181,PAY000181,7,20240101,54500,4541.67,2416.28,G5,50K-65K,4,GBP
182,PAY000182,7,20240201,54500,4541.67,2807.76,G5,50K-65K,4,GBP
183,PAY000183,7,20240301,54500,4541.67,0.0,G5,50K-65K,4,GBP
184,PAY000184,7,20240401,54500,4541.67,0.0,G5,50K-65K,4,GBP
185,PAY000185,7,20240501,54500,4541.67,0.0,G5,50K-65K,4,GBP
186,PAY000186,7,20240601,54500,4541.67,0.0,G5,50K-65K,4,GBP
187,PAY000187,7,20240701,54500,4541.67,0.0,G5,50K-65K,4,GBP
188,PAY000188,7,20240801,54500,4541.67,0.0,G5,50K-65K,4,GBP
189,PAY000189,7,20240901,54500,4541.67,0.0,G5,50K-65K,4,GBP
190,PAY000190,7,20241001,54500,4541.67,0.0,G5,50K-65K,4,GBP
191,PAY000191,7,20241101,54500,4541.67,1305.48,G5,50K-65K,4,GBP
192,PAY000192,7,20241201,54500,4541.67,0.0,G5,50K-65K,4,GBP
193,PAY000193,7,20250101,54500,4541.67,0.0,G5,50K-65K,4,GBP
194,PAY000194,7,20250201,54500,4541.67,2722.59,G5,50K-65K,4,GBP
195,PAY000195,7,20250301,54500,4541.67,2412.1,G5,50K-65K,4,GBP
196,PAY000196,7,20250401,54500,4541.67,0.0,G5,50K-65K,4,GBP
197,PAY000197,7,20250501,54500,4541.67,0.0,G5,50K-65K,4,GBP
198,PAY000198,7,20250601,54500,4541.67,0.0,G5,50K-65K,4,GBP
199,PAY000199,7,20250701,54500,4541.67,0.0,G5,50K-65K,4,GBP
200,PAY000200,7,20250801,54500,4541.67,0.0,G5,50K-65K,4,GBP
201,PAY000201,7,20250901,54500,4541.67,0.0,G5,50K-65K,4,GBP
202,PAY000202,7,20251001,54500,4541.67,0.0,G5,50K-65K,4,GBP
203,PAY000203,7,20251101,54500,4541.67,0.0,G5,50K-65K,4,GBP
204,PAY000204,7,20251201,54500,4541.67,0.0,G5,50K-65K,4,GBP
205,PAY000205,7,20260101,54500,4541.67,0.0,G5,50K-65K,4,GBP
206,PAY000206,7,20260201,54500,4541.67,0.0,G5,50K-65K,4,GBP
207,PAY000207,7,20260301,54500,4541.67,0.0,G5,50K-65K,4,GBP
208,PAY000208,7,20260401,54500,4541.67,2515.42,G5,50K-65K,4,GBP
209,PAY000209,7,20260501,54500,4541.67,0.0,G5,50K-65K,4,GBP
210,PAY000210,7,20260601,54500,4541.67,0.0,G5,50K-65K,4,GBP
211,PAY000211,8,20240101,72000,6000.0,0.0,G5,65K-80K,5,GBP
212,PAY000212,8,20240201,72000,6000.0,0.0,G5,65K-80K,5,GBP
213,PAY000213,8,20240301,72000,6000.0,2222.64,G5,65K-80K,5,GBP
214,PAY000214,8,20240401,72000,6000.0,0.0,G5,65K-80K,5,GBP
215,PAY000215,8,20240501,72000,6000.0,0.0,G5,65K-80K,5,GBP
216,PAY000216,8,20240601,72000,6000.0,2380.84,G5,65K-80K,5,GBP
217,PAY000217,8,20240701,72000,6000.0,0.0,G5,65K-80K,5,GBP
218,PAY000218,8,20240801,72000,6000.0,0.0,G5,65K-80K,5,GBP
219,PAY000219,8,20240901,72000,6000.0,0.0,G5,65K-80K,5,GBP
220,PAY000220,8,20241001,72000,6000.0,0.0,G5,65K-80K,5,GBP
221,PAY000221,8,20241101,72000,6000.0,714.17,G5,65K-80K,5,GBP
222,PAY000222,8,20241201,72000,6000.0,1755.67,G5,65K-80K,5,GBP
223,PAY000223,8,20250101,72000,6000.0,0.0,G5,65K-80K,5,GBP
224,PAY000224,8,20250201,72000,6000.0,0.0,G5,65K-80K,5,GBP
225,PAY000225,8,20250301,72000,6000.0,2332.49,G5,65K-80K,5,GBP
226,PAY000226,8,20250401,72000,6000.0,0.0,G5,65K-80K,5,GBP
227,PAY000227,8,20250501,72000,6000.0,0.0,G5,65K-80K,5,GBP
228,PAY000228,8,20250601,72000,6000.0,0.0,G5,65K-80K,5,GBP
229,PAY000229,8,20250701,72000,6000.0,0.0,G5,65K-80K,5,GBP
230,PAY000230,8,20250801,72000,6000.0,0.0,G5,65K-80K,5,GBP
231,PAY000231,8,20250901,72000,6000.0,0.0,G5,65K-80K,5,GBP
232,PAY000232,8,20251001,72000,6000.0,0.0,G5,65K-80K,5,GBP
233,PAY000233,8,20251101,72000,6000.0,0.0,G5,65K-80K,5,GBP
234,PAY000234,8,20251201,72000,6000.0,0.0,G5,65K-80K,5,GBP
235,PAY000235,8,20260101,72000,6000.0,0.0,G5,65K-80K,5,GBP
236,PAY000236,8,20260201,72000,6000.0,0.0,G5,65K-80K,5,GBP
237,PAY000237,8,20260301,72000,6000.0,0.0,G5,65K-80K,5,GBP
238,PAY000238,8,20260401,72000,6000.0,0.0,G5,65K-80K,5,GBP
239,PAY000239,8,20260501,72000,6000.0,0.0,G5,65K-80K,5,GBP
240,PAY000240,8,20260601,72000,6000.0,0.0,G5,65K-80K,5,GBP
241,PAY000241,9,20240101,48500,4041.67,0.0,G5,40K-50K,3,GBP
242,PAY000242,9,20240201,48500,4041.67,0.0,G5,40K-50K,3,GBP
243,PAY000243,10,20250501,37500,3125.0,0.0,G4,30K-40K,2,GBP
244,PAY000244,10,20250601,37500,3125.0,0.0,G4,30K-40K,2,GBP
245,PAY000245,10,20250701,37500,3125.0,0.0,G4,30K-40K,2,GBP
246,PAY000246,10,20250801,37500,3125.0,0.0,G4,30K-40K,2,GBP
247,PAY000247,10,20250901,37500,3125.0,0.0,G4,30K-40K,2,GBP
248,PAY000248,10,20251001,37500,3125.0,0.0,G4,30K-40K,2,GBP
249,PAY000249,10,20251101,37500,3125.0,0.0,G4,30K-40K,2,GBP
250,PAY000250,10,20251201,37500,3125.0,0.0,G4,30K-40K,2,GBP
251,PAY000251,10,20260101,37500,3125.0,0.0,G4,30K-40K,2,GBP
252,PAY000252,10,20260201,37500,3125.0,0.0,G4,30K-40K,2,GBP
253,PAY000253,10,20260301,37500,3125.0,0.0,G4,30K-40K,2,GBP
254,PAY000254,10,20260401,37500,3125.0,0.0,G4,30K-40K,2,GBP
255,PAY000255,10,20260501,37500,3125.0,0.0,G4,30K-40K,2,GBP
256,PAY000256,10,20260601,37500,3125.0,0.0,G4,30K-40K,2,GBP
257,PAY000257,11,20240401,33500,2791.67,0.0,G3,30K-40K,2,GBP
258,PAY000258,11,20240501,33500,2791.67,3412.67,G3,30K-40K,2,GBP
259,PAY000259,11,20240601,33500,2791.67,0.0,G3,30K-40K,2,GBP
260,PAY000260,11,20240701,33500,2791.67,0.0,G3,30K-40K,2,GBP
261,PAY000261,11,20240801,33500,2791.67,0.0,G3,30K-40K,2,GBP
262,PAY000262,11,20240901,33500,2791.67,0.0,G3,30K-40K,2,GBP
263,PAY000263,11,20241001,33500,2791.67,0.0,G3,30K-40K,2,GBP
264,PAY000264,11,20241101,33500,2791.67,0.0,G3,30K-40K,2,GBP
265,PAY000265,11,20241201,33500,2791.67,0.0,G3,30K-40K,2,GBP
266,PAY000266,11,20250101,33500,2791.67,0.0,G3,30K-40K,2,GBP
267,PAY000267,11,20250201,33500,2791.67,0.0,G3,30K-40K,2,GBP
268,PAY000268,11,20250301,33500,2791.67,0.0,G3,30K-40K,2,GBP
269,PAY000269,11,20250401,33500,2791.67,0.0,G3,30K-40K,2,GBP
270,PAY000270,11,20250501,33500,2791.67,0.0,G3,30K-40K,2,GBP
271,PAY000271,11,20250601,33500,2791.67,0.0,G3,30K-40K,2,GBP
272,PAY000272,11,20250701,33500,2791.67,0.0,G3,30K-40K,2,GBP
273,PAY000273,11,20250801,33500,2791.67,0.0,G3,30K-40K,2,GBP
274,PAY000274,11,20250901,33500,2791.67,0.0,G3,30K-40K,2,GBP
275,PAY000275,11,20251001,33500,2791.67,0.0,G3,30K-40K,2,GBP
276,PAY000276,11,20251101,33500,2791.67,0.0,G3,30K-40K,2,GBP
277,PAY000277,11,20251201,33500,2791.67,0.0,G3,30K-40K,2,GBP
278,PAY000278,11,20260101,33500,2791.67,0.0,G3,30K-40K,2,GBP
279,PAY000279,11,20260201,33500,2791.67,0.0,G3,30K-40K,2,GBP
280,PAY000280,11,20260301,33500,2791.67,3015.36,G3,30K-40K,2,GBP
281,PAY000281,11,20260401,33500,2791.67,0.0,G3,30K-40K,2,GBP
282,PAY000282,11,20260501,33500,2791.67,0.0,G3,30K-40K,2,GBP
283,PAY000283,11,20260601,33500,2791.67,0.0,G3,30K-40K,2,GBP
284,PAY000284,12,20240101,50000,4166.67,0.0,G5,50K-65K,4,GBP
285,PAY000285,12,20240201,50000,4166.67,2116.39,G5,50K-65K,4,GBP
286,PAY000286,12,20240301,50000,4166.67,3267.93,G5,50K-65K,4,GBP
287,PAY000287,12,20240401,50000,4166.67,0.0,G5,50K-65K,4,GBP
288,PAY000288,12,20240501,50000,4166.67,0.0,G5,50K-65K,4,GBP
289,PAY000289,12,20240601,50000,4166.67,0.0,G5,50K-65K,4,GBP
290,PAY000290,12,20240701,50000,4166.67,0.0,G5,50K-65K,4,GBP
291,PAY000291,12,20240801,50000,4166.67,0.0,G5,50K-65K,4,GBP
292,PAY000292,12,20240901,50000,4166.67,0.0,G5,50K-65K,4,GBP
293,PAY000293,12,20241001,50000,4166.67,0.0,G5,50K-65K,4,GBP
294,PAY000294,12,20241101,50000,4166.67,0.0,G5,50K-65K,4,GBP
295,PAY000295,12,20241201,50000,4166.67,0.0,G5,50K-65K,4,GBP
296,PAY000296,12,20250101,50000,4166.67,0.0,G5,50K-65K,4,GBP
297,PAY000297,12,20250201,50000,4166.67,599.34,G5,50K-65K,4,GBP
298,PAY000298,12,20250301,50000,4166.67,0.0,G5,50K-65K,4,GBP
299,PAY000299,12,20250401,50000,4166.67,0.0,G5,50K-65K,4,GBP
300,PAY000300,12,20250501,50000,4166.67,2037.94,G5,50K-65K,4,GBP
301,PAY000301,12,20250601,50000,4166.67,0.0,G5,50K-65K,4,GBP
302,PAY000302,12,20250701,50000,4166.67,0.0,G5,50K-65K,4,GBP
303,PAY000303,12,20250801,50000,4166.67,1774.33,G5,50K-65K,4,GBP
304,PAY000304,12,20250901,50000,4166.67,1324.15,G5,50K-65K,4,GBP
305,PAY000305,12,20251001,50000,4166.67,1774.57,G5,50K-65K,4,GBP
306,PAY000306,12,20251101,50000,4166.67,0.0,G5,50K-65K,4,GBP
307,PAY000307,12,20251201,50000,4166.67,2639.47,G5,50K-65K,4,GBP
308,PAY000308,12,20260101,50000,4166.67,0.0,G5,50K-65K,4,GBP
309,PAY000309,12,20260201,50000,4166.67,0.0,G5,50K-65K,4,GBP
310,PAY000310,12,20260301,50000,4166.67,0.0,G5,50K-65K,4,GBP
311,PAY000311,12,20260401,50000,4166.67,0.0,G5,50K-65K,4,GBP
312,PAY000312,12,20260501,50000,4166.67,0.0,G5,50K-65K,4,GBP
313,PAY000313,12,20260601,50000,4166.67,0.0,G5,50K-65K,4,GBP
314,PAY000314,13,20240101,38500,3208.33,0.0,G4,30K-40K,2,GBP
315,PAY000315,13,20240201,38500,3208.33,0.0,G4,30K-40K,2,GBP
316,PAY000316,13,20240301,38500,3208.33,0.0,G4,30K-40K,2,GBP
317,PAY000317,13,20240401,38500,3208.33,0.0,G4,30K-40K,2,GBP
318,PAY000318,13,20240501,38500,3208.33,0.0,G4,30K-40K,2,GBP
319,PAY000319,13,20240601,38500,3208.33,879.16,G4,30K-40K,2,GBP
320,PAY000320,13,20240701,38500,3208.33,0.0,G4,30K-40K,2,GBP
321,PAY000321,13,20240801,38500,3208.33,0.0,G4,30K-40K,2,GBP
322,PAY000322,13,20240901,38500,3208.33,2065.3,G4,30K-40K,2,GBP
323,PAY000323,13,20241001,38500,3208.33,0.0,G4,30K-40K,2,GBP
324,PAY000324,13,20241101,38500,3208.33,0.0,G4,30K-40K,2,GBP
325,PAY000325,13,20241201,38500,3208.33,0.0,G4,30K-40K,2,GBP
326,PAY000326,13,20250101,38500,3208.33,0.0,G4,30K-40K,2,GBP
327,PAY000327,13,20250201,38500,3208.33,0.0,G4,30K-40K,2,GBP
328,PAY000328,13,20250301,38500,3208.33,0.0,G4,30K-40K,2,GBP
329,PAY000329,13,20250401,38500,3208.33,0.0,G4,30K-40K,2,GBP
330,PAY000330,13,20250501,38500,3208.33,0.0,G4,30K-40K,2,GBP
331,PAY000331,13,20250601,38500,3208.33,0.0,G4,30K-40K,2,GBP
332,PAY000332,13,20250701,38500,3208.33,0.0,G4,30K-40K,2,GBP
333,PAY000333,13,20250801,38500,3208.33,0.0,G4,30K-40K,2,GBP
334,PAY000334,13,20250901,38500,3208.33,0.0,G4,30K-40K,2,GBP
335,PAY000335,13,20251001,38500,3208.33,0.0,G4,30K-40K,2,GBP
336,PAY000336,13,20251101,38500,3208.33,1113.09,G4,30K-40K,2,GBP
337,PAY000337,13,20251201,38500,3208.33,0.0,G4,30K-40K,2,GBP
338,PAY000338,13,20260101,38500,3208.33,0.0,G4,30K-40K,2,GBP
