recruitment_key,candidate_id,requisition_id,department_key,job_role_key,location_key,application_date_key,interview_date_key,offer_date_key,hire_date_key,recruitment_source,status,hired_employee_key,time_to_hire_days
97,CAND000529,REQ3228,2,22,5,20240412,,,,Agency,Applied,,
98,CAND000542,REQ4648,5,13,1,20240413,,,,Agency,Rejected,,
99,CAND000082,REQ1226,5,11,5,20240414,20240424,20240505,20240611,Agency,Hired,373,58
100,CAND000713,REQ8426,4,39,5,20240415,20240422,20240428,,Referral,Offered,,
101,CAND000228,REQ6865,3,32,5,20240416,,,,Job Board,Rejected,,
102,CAND000169,REQ2994,8,9,6,20240417,20240509,,,Job Board,Interviewed,,
103,CAND000609,REQ2988,4,37,6,20240420,,,,LinkedIn,Rejected,,
104,CAND000699,REQ3559,8,8,4,20240420,,,,Agency,Rejected,,
105,CAND000326,REQ5372,7,29,5,20240421,,,,LinkedIn,Rejected,,
106,CAND000357,REQ9105,8,4,5,20240422,20240503,,,Job Board,Interviewed,,
107,CAND000297,REQ6828,6,3,5,20240423,20240511,,,Referral,Interviewed,,
108,CAND000354,REQ6056,5,13,1,20240427,,,,Company Website,Rejected,,
109,CAND000370,REQ3972,8,8,6,20240427,20240511,20240515,,Agency,Offered,,
110,CAND000073,REQ2123,7,28,3,20240428,20240514,20240527,20240703,Job Board,Hired,328,66
111,CAND000302,REQ4797,7,29,3,20240428,,,,Job Board,Rejected,,
112,CAND000490,REQ6542,2,24,5,20240428,,,,LinkedIn,Rejected,,
113,CAND000642,REQ7390,8,6,3,20240428,20240506,,,Referral,Interviewed,,
114,CAND000738,REQ2027,7,27,2,20240428,,,,Job Board,Applied,,
115,CAND000071,REQ2637,1,17,5,20240430,20240510,20240515,20240619,Job Board,Hired,317,50
116,CAND000692,REQ3894,1,18,5,20240501,20240514,,,Referral,Interviewed,,
117,CAND000431,REQ7458,1,19,5,20240502,20240507,20240510,,Job Board,Offered,,
118,CAND000627,REQ6718,8,9,2,20240503,,,,Job Board,Rejected,,
119,CAND000739,REQ4959,4,40,5,20240504,20240513,,,Referral,Interviewed,,
120,CAND000072,REQ4591,7,29,6,20240516,20240601,20240607,20240727,Company Website,Hired,322,72
121,CAND000717,REQ7299,8,6,2,20240516,20240523,,,Agency,Interviewed,,
122,CAND000705,REQ1503,4,39,3,20240517,,,,Company Website,Applied,,
123,CAND000247,REQ2304,8,8,5,20240518,20240524,20240601,,Referral,Offered,,
124,CAND000417,REQ7134,7,27,6,20240518,,,,Campus,Rejected,,
125,CAND000444,REQ1774,5,12,5,20240518,,,,Job Board,Rejected,,
126,CAND000177,REQ1515,5,13,5,20240522,20240527,,,Job Board,Interviewed,,
127,CAND000381,REQ1803,4,40,6,20240523,,,,LinkedIn,Rejected,,
128,CAND000039,REQ6201,4,39,6,20240529,20240607,20240616,20240620,Campus,Hired,140,22
129,CAND000554,REQ3750,4,40,6,20240530,,,,LinkedIn,Applied,,
130,CAND000055,REQ6344,4,37,2,20240531,20240613,20240621,20240709,Job Board,Hired,219,39
131,CAND000078,REQ9621,6,3,5,20240601,20240619,20240628,20240723,Job Board,Hired,368,52
132,CAND000441,REQ9133,2,24,6,20240602,20240614,,,Job Board,Interviewed,,
133,CAND000327,REQ7299,4,39,1,20240606,,,,Referral,Rejected,,
134,CAND000091,REQ1613,1,19,5,20240610,20240621,20240703,20240809,LinkedIn,Hired,417,60
135,CAND000205,REQ3010,6,3,5,20240612,,,,Referral,Rejected,,
136,CAND000373,REQ9827,1,18,1,20240612,20240705,,,Referral,Interviewed,,
137,CAND000389,REQ6248,4,39,1,20240613,20240620,,,Agency,Interviewed,,
138,CAND000094,REQ4052,4,37,5,20240614,20240619,20240702,20240714,Agency,Hired,435,30
139,CAND000232,REQ3297,4,40,3,20240616,20240623,20240629,,Agency,Offered,,
140,CAND000336,REQ6500,1,17,1,20240616,,,,Company Website,Rejected,,
141,CAND000108,REQ9977,8,2,2,20240618,20240707,20240719,20240812,Job Board,Hired,470,55
142,CAND000419,REQ6267,7,27,2,20240618,,,,LinkedIn,Applied,,
143,CAND000173,REQ4421,2,25,5,20240621,20240714,20240722,,Job Board,Offered,,
144,CAND000188,REQ1513,7,29,4,20240621,,,,Job Board,Rejected,,
145,CAND000161,REQ3424,8,8,2,20240622,20240714,,,Agency,Interviewed,,
146,CAND000458,REQ8067,4,37,5,20240624,20240704,20240714,,Referral,Offered,,
147,CAND000624,REQ3539,6,7,6,20240625,,,,Referral,Applied,,
148,CAND000128,REQ3707,8,8,5,20240626,20240701,20240706,20240815,Job Board,Hired,541,50
149,CAND000363,REQ4449,7,29,6,20240629,20240708,,,Referral,Interviewed,,
150,CAND000563,REQ4179,1,19,6,20240629,,,,Referral,Rejected,,
151,CAND000316,REQ7998,5,11,5,20240630,20240705,,,Company Website,Interviewed,,
152,CAND000522,REQ4400,6,7,5,20240701,20240710,,,Job Board,Interviewed,,
153,CAND000085,REQ7647,7,28,3,20240706,20240724,20240804,20240904,LinkedIn,Hired,384,60
154,CAND000110,REQ9708,8,8,1,20240706,20240727,20240802,20240820,Job Board,Hired,473,45
155,CAND000487,REQ9945,1,17,1,20240707,,,,LinkedIn,Rejected,,
156,CAND000696,REQ4970,8,8,5,20240707,20240727,20240809,,Job Board,Offered,,
157,CAND000074,REQ6192,1,17,6,20240710,20240725,20240728,20240910,Agency,Hired,348,62
158,CAND000566,REQ8078,4,40,6,20240712,,,,Referral,Rejected,,
159,CAND000260,REQ8000,8,4,5,20240713,,,,Referral,Applied,,
160,CAND000400,REQ4422,7,29,6,20240715,,,,Agency,Rejected,,
161,CAND000593,REQ1533,8,8,6,20240715,,,,LinkedIn,Rejected,,
162,CAND000140,REQ5008,8,8,5,20240716,20240726,20240806,20240920,Job Board,Hired,581,66
163,CAND000254,REQ2496,3,31,6,20240719,20240727,,,Company Website,Interviewed,,
164,CAND000454,REQ2950,4,40,1,20240722,20240812,,,LinkedIn,Interviewed,,
165,CAND000710,REQ9574,4,38,5,20240724,20240730,20240812,,Job Board,Offered,,
166,CAND000729,REQ5694,4,39,4,20240724,20240731,20240804,,LinkedIn,Offered,,
167,CAND000178,REQ2563,4,40,2,20240726,,,,LinkedIn,Applied,,
168,CAND000325,REQ3597,4,39,4,20240727,,,,Referral,Applied,,
169,CAND000142,REQ4405,7,29,1,20240728,20240812,20240821,20240824,LinkedIn,Hired,594,27
170,CAND000503,REQ1257,4,39,2,20240728,,,,Campus,Rejected,,
171,CAND000269,REQ2377,5,11,2,20240729,,,,Referral,Applied,,
172,CAND000591,REQ9051,7,29,1,20240729,,,,LinkedIn,Rejected,,
173,CAND000680,REQ8373,7,30,6,20240801,20240817,,,Job Board,Interviewed,,
174,CAND000236,REQ1698,2,23,5,20240802,,,,Job Board,Rejected,,
175,CAND000019,REQ4758,8,8,3,20240808,20240828,20240831,20240928,Referral,Hired,74,51
176,CAND000623,REQ1033,7,28,1,20240809,,,,LinkedIn,Applied,,
177,CAND000103,REQ6665,7,29,5,20240810,20240824,20240831,20240905,Campus,Hired,459,26
178,CAND000714,REQ9178,4,39,1,20240812,,,,Company Website,Rejected,,
179,CAND000502,REQ9555,2,23,5,20240813,20240828,,,Agency,Interviewed,,
180,CAND000277,REQ9174,8,8,4,20240814,20240823,20240829,,Job Board,Offered,,
181,CAND000266,REQ6834,2,24,1,20240815,20240828,20240903,,LinkedIn,Offered,,
182,CAND000534,REQ8949,8,4,1,20240815,20240826,,,LinkedIn,Interviewed,,
183,CAND000358,REQ6687,4,37,6,20240816,,,,Company Website,Applied,,
184,CAND000049,REQ1565,1,17,3,20240818,20240827,20240830,20241023,Referral,Hired,186,66
185,CAND000397,REQ8256,7,27,5,20240818,,,,Company Website,Rejected,,
186,CAND000649,REQ3658,8,4,4,20240819,20240828,20240910,,Job Board,Offered,,
187,CAND000044,REQ1443,7,29,6,20240824,20240912,20240917,20240918,Campus,Hired,164,25
188,CAND000743,REQ5930,2,24,1,20240827,20240912,,,Referral,Interviewed,,
189,CAND000101,REQ2738,1,20,1,20240829,20240907,20240916,20240925,LinkedIn,Hired,456,27
190,CAND000472,REQ8509,6,3,2,20240829,,,,Job Board,Applied,,
191,CAND000064,REQ2768,1,20,1,20240831,20240916,20240921,20241015,LinkedIn,Hired,268,45
192,CAND000384,REQ6480,7,29,5,20240831,,,,Job Board,Rejected,,
193,CAND000035,REQ3016,1,20,5,20240901,20240910,20240917,20240920,LinkedIn,Hired,129,19
194,CAND000096,REQ7004,7,27,5,20240902,20240918,20240929,20241026,Campus,Hired,442,54
195,CAND000259,REQ6077,7,29,3,20240902,20240919,,,Agency,Interviewed,,
196,CAND000133,REQ3318,3,34,3,20240903,20240920,20240927,20241111,Referral,Hired,550,69
197,CAND000303,REQ3287,4,37,3,20240903,,,,Company Website,Applied,,
198,CAND000298,REQ7386,7,27,3,20240907,,,,Job Board,Rejected,,
199,CAND000240,REQ1027,8,4,6,20240908,20240923,,,Job Board,Interviewed,,
200,CAND000264,REQ2800,7,30,1,20240909,,,,Company Website,Applied,,
201,CAND000423,REQ9580,1,19,1,20240909,20240919,20241002,,Job Board,Offered,,
202,CAND000031,REQ8417,1,19,1,20240910,20240929,20241007,20241116,Job Board,Hired,112,67
203,CAND000726,REQ3104,6,3,1,20240910,20240922,,,LinkedIn,Interviewed,,
204,CAND000127,REQ3103,7,30,3,20240911,20240925,20240930,20241026,Job Board,Hired,539,45
205,CAND000194,REQ3277,7,29,1,20240911,20240925,,,Job Board,Interviewed,,
206,CAND000346,REQ4203,3,34,4,20240911,,,,Job Board,Applied,,
207,CAND000385,REQ1029,5,13,1,20240911,,,,Company Website,Rejected,,
208,CAND000343,REQ4663,7,29,2,20240912,20240928,,,Agency,Interviewed,,
209,CAND000667,REQ9238,4,37,5,20240913,20241007,,,Company Website,Interviewed,,
210,CAND000233,REQ7187,7,26,5,20240916,,,,Campus,Applied,,
211,CAND000058,REQ7720,1,18,5,20240917,20240925,20241003,20241102,Referral,Hired,226,46
212,CAND000523,REQ4776,4,40,6,20240917,,,,LinkedIn,Applied,,
213,CAND000368,REQ9384,4,37,1,20240918,20241008,,,Job Board,Interviewed,,
214,CAND000160,REQ5214,1,18,2,20240921,,,,Agency,Rejected,,
215,CAND000734,REQ1722,3,34,5,20240923,20241017,,,Job Board,Interviewed,,
216,CAND000227,REQ2574,8,8,6,20240925,,,,Company Website,Rejected,,
217,CAND000440,REQ4218,7,27,1,20240927,20241018,,,Job Board,Interviewed,,
218,CAND000498,REQ1562,1,20,5,20240927,,,,Agency,Rejected,,
219,CAND000709,REQ1746,8,4,5,20240927,,,,Company Website,Rejected,,
220,CAND000310,REQ3811,8,8,3,20240930,,,,Company Website,Rejected,,
221,CAND000323,REQ7537,7,30,5,20240930,,,,Agency,Rejected,,
222,CAND000592,REQ1278,7,27,3,20241003,20241012,20241021,,LinkedIn,Offered,,
223,CAND000184,REQ7213,8,6,2,20241004,20241014,,,Company Website,Interviewed,,
224,CAND000267,REQ4331,7,30,2,20241004,,,,Job Board,Rejected,,
225,CAND000048,REQ8215,8,8,6,20241006,20241026,20241103,20241212,Job Board,Hired,185,67
226,CAND000391,REQ7713,4,37,5,20241006,20241019,20241023,,Job Board,Offered,,
227,CAND000509,REQ7308,7,30,2,20241006,,,,Company Website,Applied,,
228,CAND000251,REQ1072,8,9,5,20241007,,,,Job Board,Rejected,,
229,CAND000665,REQ4754,5,13,5,20241009,20241101,,,LinkedIn,Interviewed,,
230,CAND000536,REQ2177,5,11,6,20241010,,,,Referral,Applied,,
231,CAND000442,REQ1477,5,14,3,20241011,20241017,20241028,,Referral,Offered,,
232,CAND000668,REQ5341,7,30,6,20241012,20241105,,,LinkedIn,Interviewed,,
233,CAND000255,REQ6567,1,19,5,20241013,,,,LinkedIn,Rejected,,
234,CAND000450,REQ3139,4,38,5,20241013,,,,Job Board,Rejected,,
235,CAND000299,REQ7650,6,7,4,20241014,,,,Agency,Rejected,,
236,CAND000545,REQ1650,8,9,3,20241015,,,,Referral,Rejected,,
237,CAND000712,REQ6672,6,7,3,20241015,,,,Referral,Rejected,,
238,CAND000102,REQ7321,8,9,1,20241016,20241031,20241109,20241223,Agency,Hired,458,68
239,CAND000348,REQ8222,3,33,6,20241017,,,,Campus,Applied,,
240,CAND000432,REQ3612,4,36,5,20241017,20241107,20241114,,Referral,Offered,,
241,CAND000635,REQ3843,6,7,1,20241017,,,,LinkedIn,Rejected,,
242,CAND000605,REQ9715,8,4,5,20241019,20241104,,,Campus,Interviewed,,
243,CAND000643,REQ3278,8,6,1,20241020,,,,Referral,Rejected,,
244,CAND000517,REQ1479,1,19,2,20241021,,,,Agency,Rejected,,
245,CAND000235,REQ1257,6,3,6,20241022,20241112,,,Job Board,Interviewed,,
246,CAND000069,REQ5478,2,22,6,20241023,20241030,20241107,20241230,LinkedIn,Hired,313,68
247,CAND000375,REQ8439,6,7,5,20241023,,,,Referral,Rejected,,
248,CAND000016,REQ9702,1,17,5,20241024,20241112,20241117,20241214,Referral,Hired,66,51
249,CAND000023,REQ7488,8,8,5,20241024,20241112,20241117,20241124,Company Website,Hired,87,31
250,CAND000042,REQ8902,1,19,2,20241024,20241104,20241109,20241124,LinkedIn,Hired,146,31
251,CAND000013,REQ6178,4,40,6,20241026,20241103,20241114,20241113,Job Board,Hired,57,18
252,CAND000189,REQ9014,1,20,3,20241027,,,,Company Website,Rejected,,
253,CAND000250,REQ2487,7,29,1,20241027,,,,Company Website,Rejected,,
254,CAND000060,REQ1162,8,9,5,20241028,20241108,20241116,20241207,Agency,Hired,234,40
255,CAND000261,REQ8983,4,37,1,20241031,20241121,,,LinkedIn,Interviewed,,
256,CAND000395,REQ2844,8,4,2,20241031,20241121,,,Campus,Interviewed,,
257,CAND000057,REQ6660,4,40,2,20241101,20241113,20241120,20241228,Job Board,Hired,223,57
258,CAND000675,REQ6343,8,8,3,20241101,,,,Campus,Applied,,
259,CAND000145,REQ6673,3,34,5,20241103,,,,LinkedIn,Rejected,,
260,CAND000504,REQ1125,1,17,4,20241103,,,,Referral,Rejected,,
261,CAND000028,REQ8182,6,7,5,20241105,20241122,20241205,20241202,Job Board,Hired,103,27
262,CAND000335,REQ9654,3,31,6,20241105,20241117,20241128,,Campus,Offered,,
263,CAND000122,REQ7804,1,18,6,20241106,20241118,20241127,20250111,Campus,Hired,527,66
264,CAND000154,REQ2142,8,9,1,20241106,20241127,,,Job Board,Interviewed,,
265,CAND000200,REQ6561,4,37,4,20241106,,,,Job Board,Rejected,,
266,CAND000374,REQ6887,5,14,5,20241110,,,,Referral,Rejected,,
267,CAND000320,REQ7627,2,24,6,20241111,20241128,,,LinkedIn,Interviewed,,
268,CAND000050,REQ8816,7,30,3,20241114,20241119,20241126,20241209,LinkedIn,Hired,194,25
269,CAND000676,REQ3413,7,27,1,20241116,,,,Agency,Rejected,,
270,CAND000555,REQ2630,2,25,6,20241117,,,,Job Board,Rejected,,
271,CAND000742,REQ3660,1,19,4,20241117,20241202,20241211,,Referral,Offered,,
272,CAND000274,REQ7337,4,37,1,20241119,,,,Job Board,Rejected,,
273,CAND000286,REQ3130,3,33,5,20241119,,,,LinkedIn,Applied,,
274,CAND000480,REQ3262,8,6,6,20241119,20241207,,,Referral,Interviewed,,
275,CAND000533,REQ4748,8,8,1,20241120,20241209,,,Job Board,Interviewed,,
276,CAND000332,REQ9654,7,29,5,20241123,20241215,20241223,,LinkedIn,Offered,,
277,CAND000652,REQ8825,7,29,5,20241125,,,,Referral,Rejected,,
278,CAND000121,REQ5303,2,24,1,20241202,20241214,20241221,20250207,LinkedIn,Hired,526,67
279,CAND000246,REQ6108,8,8,6,20241202,20241211,20241221,,Job Board,Offered,,
280,CAND000047,REQ7065,7,30,1,20241206,20241211,20241215,20241226,LinkedIn,Hired,182,20
281,CAND000098,REQ4838,7,30,5,20241207,20241219,20241224,20250202,Job Board,Hired,446,57
282,CAND000448,REQ4410,7,30,5,20241207,,,,Referral,Rejected,,
283,CAND000646,REQ5261,7,30,1,20241207,20241227,20250102,,LinkedIn,Offered,,
284,CAND000670,REQ7989,4,37,5,20241207,,,,Job Board,Rejected,,
285,CAND000550,REQ2169,8,6,2,20241210,,,,LinkedIn,Rejected,,
286,CAND000557,REQ2129,8,8,6,20241210,20241223,,,Referral,Interviewed,,
287,CAND000644,REQ6233,7,29,6,20241214,,,,Job Board,Rejected,,
288,CAND000080,REQ8866,7,27,1,20241218,20241225,20241231,20250206,Job Board,Hired,371,50
289,CAND000622,REQ3432,1,20,6,20241218,,,,LinkedIn,Rejected,,
290,CAND000312,REQ1331,3,33,3,20241220,20241227,20250105,,Job Board,Offered,,
291,CAND000118,REQ3520,6,3,1,20241221,20250106,20250109,20250206,Company Website,Hired,511,47
292,CAND000612,REQ4681,1,19,5,20241221,,,,LinkedIn,Applied,,
293,CAND000083,REQ3427,6,7,6,20241222,20241229,20250101,20250209,Referral,Hired,381,49
294,CAND000599,REQ7265,7,28,3,20241223,,,,Agency,Rejected,,
295,CAND000226,REQ2403,1,17,3,20241225,,,,Referral,Rejected,,
296,CAND000546,REQ7986,8,4,1,20241226,,,,Job Board,Rejected,,
297,CAND000172,REQ5785,8,8,5,20241228,,,,Company Website,Rejected,,
298,CAND000621,REQ4192,3,34,6,20241228,,,,LinkedIn,Rejected,,
299,CAND000296,REQ7564,4,39,5,20241230,,,,Agency,Rejected,,
300,CAND000034,REQ6089,7,28,1,20241231,20250121,20250128,20250208,Job Board,Hired,119,39
301,CAND000141,REQ3345,7,28,1,20241231,20250113,20250121,20250124,Agency,Hired,582,24
302,CAND000152,REQ7535,7,30,2,20250101,,,,Agency,Applied,,
303,CAND000204,REQ9267,6,10,6,20250102,,,,LinkedIn,Rejected,,
304,CAND000483,REQ9007,2,22,6,20250102,,,,Job Board,Applied,,
305,CAND000569,REQ4719,1,17,5,20250102,20250111,20250120,,Job Board,Offered,,
306,CAND000421,REQ9722,4,37,6,20250103,20250125,20250129,,LinkedIn,Offered,,
307,CAND000041,REQ6306,8,9,2,20250106,20250116,20250127,20250211,Agency,Hired,144,36
308,CAND000406,REQ1422,7,27,2,20250108,20250115,,,LinkedIn,Interviewed,,
309,CAND000436,REQ7319,8,8,3,20250109,,,,Referral,Rejected,,
310,CAND000040,REQ8316,5,12,5,20250110,20250120,20250127,20250214,LinkedIn,Hired,141,35
311,CAND000238,REQ3217,8,8,5,20250110,20250129,,,Agency,Interviewed,,
312,CAND000362,REQ9538,8,9,5,20250110,,,,Agency,Applied,,
313,CAND000422,REQ4046,3,31,1,20250111,20250123,,,Job Board,Interviewed,,
314,CAND000088,REQ8423,2,22,3,20250112,20250202,20250206,20250224,Referral,Hired,405,43
315,CAND000107,REQ5996,6,5,2,20250113,20250127,20250207,20250224,LinkedIn,Hired,469,42
316,CAND000322,REQ3624,8,4,1,20250115,,,,Job Board,Rejected,,
317,CAND000289,REQ4298,1,20,5,20250116,,,,Referral,Applied,,
318,CAND000318,REQ2507,7,30,4,20250119,,,,Agency,Rejected,,
319,CAND000342,REQ3007,6,3,5,20250120,20250204,,,Job Board,Interviewed,,
320,CAND000390,REQ6486,2,23,3,20250120,20250203,,,LinkedIn,Interviewed,,
321,CAND000408,REQ7256,8,8,5,20250120,20250203,,,Company Website,Interviewed,,
322,CAND000559,REQ7867,7,28,1,20250120,,,,Agency,Rejected,,
323,CAND000674,REQ8205,4,38,5,20250122,,,,Job Board,Rejected,,
324,CAND000501,REQ5162,5,14,4,20250123,,,,LinkedIn,Rejected,,
