leave_key,leave_id,employee_key,leave_start_date_key,leave_end_date_key,leave_type,leave_days,leave_status,leave_year
155,LEV000157,30,20260103,20260106,Sick,4,Approved,2026
156,LEV000155,30,20260105,20260112,Annual,8,Approved,2026
157,LEV000158,30,20260207,20260207,Sick,1,Pending,2026
158,LEV000156,30,20260616,20260621,Annual,6,Approved,2026
159,LEV000159,31,20250730,20250804,Annual,6,Approved,2025
160,LEV000160,31,20251010,20251010,Unpaid,1,Rejected,2025
161,LEV000161,31,20251228,20251231,Sick,4,Approved,2025
162,LEV000162,31,20260312,20260320,Annual,9,Approved,2026
163,LEV000163,31,20260621,20260621,Annual,1,Rejected,2026
164,LEV000165,32,20240702,20240704,Annual,3,Approved,2024
165,LEV000164,32,20241216,20241219,Annual,4,Approved,2024
166,LEV000166,32,20250402,20250404,Sick,3,Approved,2025
167,LEV000167,32,20260422,20260501,Annual,10,Approved,2026
168,LEV000169,33,20260228,20260309,Annual,10,Approved,2026
169,LEV000168,33,20260512,20260521,Annual,10,Approved,2026
170,LEV000171,34,20240326,20240330,Annual,5,Approved,2024
171,LEV000170,34,20241004,20241013,Annual,10,Approved,2024
172,LEV000172,34,20250611,20250617,Annual,7,Approved,2025
173,LEV000173,34,20260416,20260417,Annual,2,Approved,2026
174,LEV000174,35,20241203,20241206,Unpaid,4,Pending,2024
175,LEV000175,35,20251004,20251005,Annual,2,Approved,2025
176,LEV000176,36,20240429,20240508,Annual,10,Approved,2024
177,LEV000179,36,20260129,20260129,Annual,1,Approved,2026
178,LEV000180,36,20260329,20260407,Annual,10,Pending,2026
179,LEV000177,36,20260406,20260413,Annual,8,Approved,2026
180,LEV000178,36,20260527,20260531,Sick,5,Approved,2026
181,LEV000181,37,20241021,20241023,Other,3,Approved,2024
182,LEV000182,37,20241129,20241220,Paternity,22,Approved,2024
183,LEV000183,37,20251205,20251206,Annual,2,Approved,2025
184,LEV000184,37,20260131,20260205,Annual,6,Approved,2026
185,LEV000185,37,20260302,20260308,Annual,7,Approved,2026
186,LEV000186,37,20260526,20260529,Sick,4,Approved,2026
187,LEV000187,38,20241109,20241113,Annual,5,Approved,2024
188,LEV000188,38,20250104,20250108,Other,5,Approved,2025
189,LEV000189,38,20250128,20250414,Maternity,77,Approved,2025
190,LEV000190,38,20250225,20250227,Sick,3,Approved,2025
191,LEV000191,38,20251215,20251223,Annual,9,Approved,2025
192,LEV000194,38,20260305,20260309,Annual,5,Approved,2026
193,LEV000192,38,20260330,20260331,Annual,2,Approved,2026
194,LEV000193,38,20260405,20260408,Annual,4,Approved,2026
195,LEV000197,39,20240111,20240116,Annual,6,Approved,2024
196,LEV000195,39,20241031,20241102,Sick,3,Approved,2024
197,LEV000196,39,20241225,20241227,Unpaid,3,Approved,2024
198,LEV000198,39,20251028,20251103,Other,7,Approved,2025
199,LEV000202,39,20260104,20260106,Annual,3,Approved,2026
200,LEV000200,39,20260219,20260221,Sick,3,Approved,2026
201,LEV000201,39,20260303,20260307,Other,5,Approved,2026
202,LEV000199,39,20260330,20260402,Annual,4,Approved,2026
203,LEV000203,40,20240220,20240223,Annual,4,Approved,2024
204,LEV000204,40,20240916,20240925,Annual,10,Approved,2024
205,LEV000205,40,20250711,20250711,Unpaid,1,Approved,2025
206,LEV000207,40,20250811,20250815,Annual,5,Approved,2025
207,LEV000206,40,20250914,20250920,Annual,7,Approved,2025
208,LEV000208,41,20240425,20240428,Annual,4,Approved,2024
209,LEV000209,41,20240815,20240911,Maternity,28,Approved,2024
210,LEV000210,41,20240827,20240828,Annual,2,Approved,2024
211,LEV000212,41,20250113,20250117,Annual,5,Approved,2025
212,LEV000211,41,20250419,20250419,Sick,1,Approved,2025
213,LEV000213,41,20250421,20250421,Sick,1,Approved,2025
214,LEV000215,41,20260211,20260413,Maternity,62,Approved,2026
215,LEV000214,41,20260412,20260420,Annual,9,Rejected,2026
216,LEV000216,42,20240105,20240112,Annual,8,Approved,2024
217,LEV000218,42,20240220,20240225,Annual,6,Approved,2024
218,LEV000220,42,20240914,20240916,Sick,3,Approved,2024
219,LEV000219,42,20241115,20241115,Sick,1,Approved,2024
220,LEV000217,42,20241201,20241210,Annual,10,Approved,2024
221,LEV000225,42,20250104,20250108,Sick,5,Approved,2025
222,LEV000222,42,20250205,20250208,Annual,4,Approved,2025
223,LEV000224,42,20250219,20250224,Annual,6,Approved,2025
224,LEV000226,42,20250712,20250913,Maternity,64,Approved,2025
225,LEV000221,42,20251014,20251018,Annual,5,Approved,2025
226,LEV000223,42,20251019,20251021,Sick,3,Rejected,2025
227,LEV000227,42,20260426,20260429,Sick,4,Approved,2026
228,LEV000230,43,20250713,20250714,Annual,2,Approved,2025
229,LEV000229,43,20251108,20251112,Unpaid,5,Approved,2025
230,LEV000228,43,20251125,20251129,Annual,5,Approved,2025
231,LEV000233,44,20250314,20250320,Annual,7,Approved,2025
232,LEV000231,44,20250704,20250707,Sick,4,Approved,2025
233,LEV000232,44,20250812,20250830,Maternity,19,Approved,2025
234,LEV000234,44,20251216,20251224,Annual,9,Approved,2025
235,LEV000235,44,20260108,20260117,Annual,10,Approved,2026
236,LEV000237,44,20260512,20260517,Unpaid,6,Approved,2026
237,LEV000238,44,20260521,20260529,Annual,9,Approved,2026
238,LEV000236,44,20260602,20260606,Annual,5,Approved,2026
239,LEV000241,45,20240529,20240529,Annual,1,Approved,2024
240,LEV000239,45,20240722,20240725,Annual,4,Approved,2024
241,LEV000240,45,20241021,20241022,Sick,2,Pending,2024
242,LEV000242,45,20260107,20260107,Sick,1,Approved,2026
243,LEV000243,45,20260311,20260318,Annual,8,Approved,2026
244,LEV000244,46,20240428,20240502,Sick,5,Pending,2024
245,LEV000245,46,20240717,20240717,Annual,1,Approved,2024
246,LEV000246,46,20250401,20250402,Annual,2,Approved,2025
247,LEV000247,46,20250819,20250821,Annual,3,Approved,2025
248,LEV000248,46,20250918,20250919,Annual,2,Approved,2025
249,LEV000250,46,20260607,20260610,Annual,4,Approved,2026
250,LEV000249,46,20260628,20260630,Annual,3,Approved,2026
251,LEV000251,47,20241011,20241017,Annual,7,Approved,2024
252,LEV000252,47,20241018,20241022,Sick,5,Approved,2024
253,LEV000253,47,20250416,20250420,Annual,5,Approved,2025
254,LEV000255,49,20240611,20240614,Sick,4,Rejected,2024
255,LEV000254,49,20241008,20241009,Annual,2,Approved,2024
256,LEV000256,49,20241009,20241009,Annual,1,Approved,2024
257,LEV000257,49,20241019,20241020,Annual,2,Approved,2024
258,LEV000258,49,20241218,20241231,Maternity,14,Approved,2024
259,LEV000264,50,20240113,20240122,Annual,10,Approved,2024
260,LEV000261,50,20240218,20240222,Unpaid,5,Approved,2024
261,LEV000263,50,20240219,20240220,Sick,2,Approved,2024
262,LEV000260,50,20240523,20240525,Sick,3,Approved,2024
263,LEV000259,50,20240618,20240619,Sick,2,Approved,2024
264,LEV000262,50,20240704,20240704,Sick,1,Approved,2024
265,LEV000265,51,20250514,20250518,Sick,5,Approved,2025
266,LEV000266,51,20260111,20260113,Annual,3,Approved,2026
267,LEV000267,51,20260317,20260319,Annual,3,Approved,2026
268,LEV000268,51,20260505,20260513,Annual,9,Approved,2026
269,LEV000269,52,20241222,20241223,Annual,2,Approved,2024
270,LEV000271,52,20250114,20250115,Annual,2,Approved,2025
271,LEV000270,52,20250123,20250201,Annual,10,Rejected,2025
272,LEV000272,53,20240311,20240316,Other,6,Approved,2024
273,LEV000273,53,20241019,20241020,Annual,2,Approved,2024
274,LEV000274,53,20250102,20250106,Annual,5,Approved,2025
275,LEV000275,53,20250722,20250726,Annual,5,Approved,2025
276,LEV000276,53,20250821,20250828,Annual,8,Approved,2025
277,LEV000277,53,20260130,20260130,Sick,1,Approved,2026
278,LEV000280,54,20251115,20251119,Annual,5,Approved,2025
279,LEV000279,54,20251129,20251130,Other,2,Approved,2025
280,LEV000278,54,20251213,20251221,Annual,9,Approved,2025
281,LEV000281,54,20260215,20260218,Sick,4,Approved,2026
282,LEV000282,55,20240619,20240620,Annual,2,Pending,2024
283,LEV000286,55,20250330,20250405,Annual,7,Approved,2025
284,LEV000283,55,20250520,20250521,Annual,2,Rejected,2025
285,LEV000287,55,20250714,20250717,Annual,4,Approved,2025
286,LEV000284,55,20251016,20251025,Annual,10,Pending,2025
287,LEV000285,55,20251023,20251025,Annual,3,Approved,2025
288,LEV000288,55,20260106,20260111,Unpaid,6,Approved,2026
289,LEV000291,56,20240314,20240317,Sick,4,Rejected,2024
290,LEV000290,56,20240315,20240316,Annual,2,Approved,2024
291,LEV000289,56,20240429,20240501,Unpaid,3,Rejected,2024
292,LEV000292,57,20241216,20241217,Sick,2,Approved,2024
293,LEV000293,57,20260204,20260207,Sick,4,Approved,2026
294,LEV000294,57,20260417,20260426,Annual,10,Approved,2026
295,LEV000296,58,20240722,20240724,Annual,3,Approved,2024
296,LEV000298,58,20240827,20240901,Annual,6,Approved,2024
297,LEV000297,58,20241104,20241107,Sick,4,Approved,2024
298,LEV000295,58,20241216,20241218,Sick,3,Pending,2024
299,LEV000301,58,20250407,20250410,Sick,4,Approved,2025
300,LEV000299,58,20250616,20250702,Maternity,17,Approved,2025
301,LEV000300,58,20250703,20250706,Sick,4,Approved,2025
302,LEV000302,58,20260112,20260114,Sick,3,Approved,2026
303,LEV000305,58,20260130,20260130,Sick,1,Approved,2026
304,LEV000304,58,20260304,20260305,Sick,2,Approved,2026
305,LEV000303,58,20260517,20260621,Paternity,36,Approved,2026
306,LEV000307,59,20240520,20240522,Annual,3,Approved,2024
307,LEV000306,59,20240911,20240913,Sick,3,Approved,2024
308,LEV000308,59,20241215,20241219,Sick,5,Approved,2024
309,LEV000309,59,20250202,20250204,Annual,3,Rejected,2025
310,LEV000310,59,20250329,20250329,Sick,1,Approved,2025
311,LEV000313,59,20260113,20260114,Annual,2,Approved,2026
312,LEV000312,59,20260205,20260210,Annual,6,Approved,2026
313,LEV000311,59,20260510,20260516,Other,7,Approved,2026
314,LEV000314,60,20250114,20250122,Annual,9,Approved,2025
315,LEV000315,60,20260103,20260112,Annual,10,Rejected,2026
316,LEV000317,60,20260222,20260227,Annual,6,Pending,2026
317,LEV000316,60,20260508,20260508,Sick,1,Approved,2026
318,LEV000318,61,20240302,20240307,Annual,6,Approved,2024
319,LEV000319,61,20240810,20240817,Annual,8,Rejected,2024
320,LEV000320,61,20251215,20251218,Annual,4,Approved,2025
321,LEV000321,61,20260523,20260530,Annual,8,Approved,2026
322,LEV000323,62,20260323,20260330,Annual,8,Approved,2026
323,LEV000322,62,20260607,20260610,Sick,4,Approved,2026
324,LEV000325,63,20240710,20240710,Sick,1,Approved,2024
325,LEV000324,63,20240829,20240830,Annual,2,Approved,2024
326,LEV000326,63,20250203,20250203,Sick,1,Rejected,2025
327,LEV000327,63,20250214,20250217,Annual,4,Approved,2025
328,LEV000329,63,20260111,20260115,Sick,5,Approved,2026
329,LEV000328,63,20260412,20260419,Annual,8,Approved,2026
330,LEV000330,63,20260501,20260506,Annual,6,Approved,2026
331,LEV000331,63,20260620,20260622,Sick,3,Approved,2026
332,LEV000333,64,20250122,20250126,Sick,5,Approved,2025
333,LEV000332,64,20250202,20250203,Sick,2,Approved,2025
334,LEV000334,64,20260315,20260319,Unpaid,5,Approved,2026
335,LEV000336,65,20240213,20240217,Sick,5,Approved,2024
336,LEV000335,65,20240220,20240224,Unpaid,5,Rejected,2024
337,LEV000337,65,20240322,20240324,Sick,3,Approved,2024
338,LEV000338,65,20250826,20250829,Sick,4,Approved,2025
339,LEV000339,65,20251210,20251219,Annual,10,Approved,2025
340,LEV000342,65,20260102,20260102,Other,1,Approved,2026
341,LEV000341,65,20260418,20260420,Annual,3,Approved,2026
342,LEV000343,65,20260507,20260513,Annual,7,Rejected,2026
343,LEV000340,65,20260528,20260604,Annual,8,Approved,2026
344,LEV000344,66,20241215,20241219,Sick,5,Approved,2024
345,LEV000345,66,20241227,20241228,Annual,2,Pending,2024
346,LEV000346,66,20250417,20250420,Other,4,Approved,2025
347,LEV000352,67,20240101,20240102,Annual,2,Approved,2024
348,LEV000350,67,20240108,20240115,Annual,8,Approved,2024
349,LEV000349,67,20240117,20240118,Sick,2,Approved,2024
350,LEV000351,67,20240123,20240127,Annual,5,Approved,2024
351,LEV000348,67,20240128,20240202,Annual,6,Approved,2024
352,LEV000347,67,20240210,20240212,Annual,3,Approved,2024
353,LEV000354,68,20240613,20240618,Annual,6,Approved,2024
354,LEV000353,68,20240627,20240701,Sick,5,Approved,2024
355,LEV000355,68,20250411,20250412,Sick,2,Approved,2025
356,LEV000356,68,20260402,20260404,Sick,3,Approved,2026
357,LEV000357,69,20240501,20240505,Annual,5,Approved,2024
358,LEV000358,69,20240526,20240602,Annual,8,Approved,2024
359,LEV000359,70,20241231,20241231,Sick,1,Approved,2024
360,LEV000362,70,20250422,20250429,Annual,8,Approved,2025
361,LEV000363,70,20250622,20250630,Annual,9,Approved,2025
362,LEV000361,70,20250726,20250729,Annual,4,Approved,2025
363,LEV000360,70,20251018,20251018,Sick,1,Approved,2025
364,LEV000366,70,20260227,20260302,Sick,4,Rejected,2026
365,LEV000365,70,20260508,20260513,Annual,6,Rejected,2026
366,LEV000364,70,20260513,20260513,Unpaid,1,Approved,2026
367,LEV000367,70,20260513,20260522,Annual,10,Approved,2026
368,LEV000368,71,20241102,20241103,Sick,2,Approved,2024
369,LEV000369,71,20241129,20241207,Annual,9,Approved,2024
370,LEV000371,72,20260216,20260221,Annual,6,Approved,2026
371,LEV000370,72,20260328,20260329,Annual,2,Approved,2026
372,LEV000373,73,20250925,20250926,Sick,2,Approved,2025
373,LEV000376,73,20251108,20251117,Annual,10,Approved,2025
374,LEV000374,73,20251119,20251126,Annual,8,Approved,2025
375,LEV000372,73,20251121,20251130,Annual,10,Approved,2025
376,LEV000375,73,20251219,20251227,Annual,9,Approved,2025
377,LEV000377,74,20241227,20241229,Annual,3,Rejected,2024
378,LEV000378,74,20250114,20250117,Annual,4,Approved,2025
379,LEV000381,74,20260104,20260112,Annual,9,Approved,2026
380,LEV000380,74,20260423,20260425,Annual,3,Rejected,2026
381,LEV000379,74,20260526,20260602,Annual,8,Approved,2026
382,LEV000382,75,20240601,20240602,Annual,2,Approved,2024
383,LEV000384,75,20240907,20240909,Annual,3,Approved,2024
384,LEV000383,75,20241229,20241231,Annual,3,Approved,2024
385,LEV000385,75,20250712,20250716,Annual,5,Pending,2025
386,LEV000388,75,20260308,20260312,Sick,5,Approved,2026
387,LEV000386,75,20260318,20260323,Annual,6,Pending,2026
388,LEV000387,75,20260327,20260328,Other,2,Approved,2026
389,LEV000389,76,20240417,20240417,Annual,1,Approved,2024
390,LEV000391,76,20240703,20240707,Annual,5,Approved,2024
391,LEV000390,76,20240711,20240718,Annual,8,Approved,2024
392,LEV000392,77,20241027,20241102,Annual,7,Approved,2024
393,LEV000394,77,20260116,20260116,Annual,1,Approved,2026
394,LEV000395,77,20260122,20260127,Annual,6,Approved,2026
395,LEV000393,77,20260429,20260504,Annual,6,Approved,2026
396,LEV000397,79,20240226,20240227,Unpaid,2,Pending,2024
397,LEV000396,79,20240908,20240911,Unpaid,4,Approved,2024
398,LEV000398,79,20250309,20250312,Annual,4,Approved,2025
399,LEV000399,79,20251230,20251231,Annual,2,Approved,2025
400,LEV000400,79,20260306,20260312,Annual,7,Approved,2026
401,LEV000401,80,20241116,20241118,Sick,3,Pending,2024
402,LEV000403,80,20260515,20260524,Annual,10,Approved,2026
403,LEV000402,80,20260602,20260607,Annual,6,Pending,2026
404,LEV000404,81,20240512,20240517,Annual,6,Approved,2024
405,LEV000405,81,20240922,20240929,Annual,8,Approved,2024
406,LEV000408,81,20250126,20250131,Annual,6,Approved,2025
407,LEV000407,81,20250402,20250405,Annual,4,Approved,2025
408,LEV000406,81,20250615,20250617,Sick,3,Approved,2025
409,LEV000409,81,20250727,20250803,Annual,8,Approved,2025
410,LEV000411,81,20250815,20250818,Annual,4,Pending,2025
411,LEV000410,81,20251016,20251020,Annual,5,Approved,2025
412,LEV000413,81,20260112,20260119,Annual,8,Rejected,2026
413,LEV000414,81,20260303,20260311,Annual,9,Approved,2026
414,LEV000412,81,20260411,20260412,Annual,2,Approved,2026
415,LEV000415,82,20250508,20250516,Annual,9,Approved,2025
416,LEV000416,82,20250511,20250515,Annual,5,Rejected,2025
417,LEV000417,82,20250606,20250609,Sick,4,Approved,2025
418,LEV000418,82,20250812,20250813,Sick,2,Rejected,2025
419,LEV000419,82,20260501,20260501,Annual,1,Approved,2026
420,LEV000423,83,20240316,20240325,Annual,10,Approved,2024
421,LEV000421,83,20240703,20240709,Other,7,Approved,2024
422,LEV000422,83,20240816,20240824,Annual,9,Approved,2024
423,LEV000420,83,20241003,20241103,Maternity,32,Approved,2024
424,LEV000424,83,20241107,20241109,Annual,3,Approved,2024
425,LEV000426,83,20250101,20250107,Annual,7,Approved,2025
426,LEV000425,83,20250609,20250610,Annual,2,Approved,2025
427,LEV000427,84,20250815,20250819,Sick,5,Approved,2025
428,LEV000428,84,20260125,20260127,Annual,3,Approved,2026
429,LEV000429,84,20260411,20260420,Annual,10,Approved,2026
430,LEV000430,85,20240717,20240719,Annual,3,Approved,2024
431,LEV000431,85,20250207,20250214,Annual,8,Approved,2025
432,LEV000432,85,20260214,20260222,Annual,9,Approved,2026
433,LEV000435,85,20260413,20260418,Annual,6,Approved,2026
434,LEV000434,85,20260531,20260630,Paternity,31,Approved,2026
435,LEV000433,85,20260629,20260630,Annual,2,Approved,2026
436,LEV000437,86,20240616,20240619,Annual,4,Approved,2024
437,LEV000436,86,20240814,20240815,Sick,2,Rejected,2024
438,LEV000440,86,20250313,20250322,Annual,10,Approved,2025
439,LEV000438,86,20250624,20250624,Annual,1,Approved,2025
440,LEV000439,86,20251016,20251019,Sick,4,Approved,2025
441,LEV000441,86,20260604,20260612,Annual,9,Pending,2026
442,LEV000442,87,20241124,20241125,Sick,2,Approved,2024
443,LEV000443,87,20241221,20241227,Unpaid,7,Approved,2024
444,LEV000444,87,20250401,20250528,Maternity,58,Rejected,2025
445,LEV000446,87,20260221,20260221,Annual,1,Approved,2026
