performance_key,performance_id,employee_key,review_year,review_period,performance_rating,potential_rating,promotion_flag,manager_key
49,PERF000049,21,2024,Annual,4,5,0,16
50,PERF000050,21,2025,Annual,5,5,0,16
51,PERF000051,21,2025,Mid-Year,4,5,0,16
52,PERF000052,22,2024,Annual,3,3,0,3
53,PERF000053,22,2024,Mid-Year,4,5,1,3
54,PERF000054,22,2025,Annual,4,4,0,3
55,PERF000055,22,2025,Mid-Year,4,4,0,3
56,PERF000056,23,2024,Annual,4,3,0,4
57,PERF000057,23,2025,Annual,5,5,0,4
58,PERF000058,24,2025,Annual,5,5,1,
59,PERF000059,24,2025,Mid-Year,4,4,0,
60,PERF000060,25,2024,Annual,5,5,0,81
61,PERF000061,25,2024,Mid-Year,4,4,0,81
62,PERF000062,25,2025,Annual,5,5,0,81
63,PERF000063,26,2024,Annual,4,4,0,45
64,PERF000064,26,2025,Annual,2,2,0,45
65,PERF000065,27,2024,Annual,2,1,0,36
66,PERF000066,27,2024,Mid-Year,4,3,0,36
67,PERF000067,27,2025,Annual,4,4,0,36
68,PERF000068,29,2024,Annual,4,4,0,2
69,PERF000069,29,2024,Mid-Year,4,4,1,2
70,PERF000070,29,2025,Annual,2,2,0,2
71,PERF000071,29,2025,Mid-Year,3,2,0,2
72,PERF000072,30,2024,Annual,4,4,0,82
73,PERF000073,30,2024,Mid-Year,4,4,1,82
74,PERF000074,30,2025,Annual,4,5,1,82
75,PERF000075,31,2025,Annual,3,3,0,55
76,PERF000076,31,2025,Mid-Year,3,4,0,55
77,PERF000077,32,2024,Annual,4,5,1,
78,PERF000078,32,2025,Annual,4,4,1,
79,PERF000079,32,2025,Mid-Year,3,3,0,
80,PERF000080,34,2024,Annual,2,3,0,47
81,PERF000081,34,2024,Mid-Year,3,2,0,47
82,PERF000082,34,2025,Annual,2,3,0,47
83,PERF000083,35,2024,Annual,4,5,0,55
84,PERF000084,35,2024,Mid-Year,3,2,0,55
85,PERF000085,35,2025,Annual,4,5,0,55
86,PERF000086,36,2024,Annual,3,4,0,54
87,PERF000087,36,2025,Annual,2,2,0,54
88,PERF000088,37,2024,Annual,3,3,0,19
89,PERF000089,37,2024,Mid-Year,4,4,0,19
90,PERF000090,37,2025,Annual,4,4,0,19
91,PERF000091,38,2024,Annual,4,3,0,35
92,PERF000092,38,2024,Mid-Year,4,3,0,35
93,PERF000093,38,2025,Annual,4,2,0,35
94,PERF000094,38,2025,Mid-Year,4,4,0,35
95,PERF000095,39,2024,Annual,4,3,0,77
96,PERF000096,39,2024,Mid-Year,3,5,0,77
97,PERF000097,39,2025,Annual,3,3,0,77
98,PERF000098,39,2025,Mid-Year,4,4,0,77
99,PERF000099,40,2024,Annual,3,3,0,40
100,PERF000100,40,2024,Mid-Year,4,5,0,40
101,PERF000101,40,2025,Annual,4,5,0,40
102,PERF000102,41,2024,Annual,2,3,0,65
103,PERF000103,41,2025,Annual,2,2,0,65
104,PERF000104,42,2024,Annual,2,2,0,76
105,PERF000105,42,2024,Mid-Year,2,2,0,76
106,PERF000106,42,2025,Annual,2,3,0,76
107,PERF000107,43,2025,Annual,3,3,0,39
108,PERF000108,44,2024,Annual,4,2,0,24
109,PERF000109,44,2024,Mid-Year,3,4,0,24
110,PERF000110,44,2025,Annual,4,4,0,24
111,PERF000111,45,2024,Annual,3,3,0,71
112,PERF000112,45,2024,Mid-Year,4,5,0,71
113,PERF000113,45,2025,Annual,4,4,0,71
114,PERF000114,45,2025,Mid-Year,3,2,0,71
115,PERF000115,46,2024,Annual,4,3,0,41
116,PERF000116,46,2024,Mid-Year,4,3,0,41
117,PERF000117,46,2025,Annual,3,3,0,41
118,PERF000118,46,2025,Mid-Year,4,4,1,41
119,PERF000119,47,2024,Annual,4,5,0,31
120,PERF000120,47,2024,Mid-Year,3,3,0,31
121,PERF000121,47,2025,Annual,4,4,1,31
122,PERF000122,47,2025,Mid-Year,3,3,0,31
123,PERF000123,48,2025,Annual,2,2,0,10
124,PERF000124,48,2025,Mid-Year,2,2,0,10
125,PERF000125,49,2024,Annual,2,1,0,45
126,PERF000126,49,2025,Annual,4,5,0,45
127,PERF000127,49,2025,Mid-Year,4,3,0,45
128,PERF000128,51,2024,Annual,3,2,0,38
129,PERF000129,51,2025,Annual,4,3,0,38
130,PERF000130,52,2024,Annual,5,4,0,47
131,PERF000131,52,2024,Mid-Year,5,5,0,47
132,PERF000132,53,2024,Annual,4,4,0,9
133,PERF000133,53,2025,Annual,4,4,0,9
134,PERF000134,53,2025,Mid-Year,5,5,0,9
135,PERF000135,54,2025,Annual,5,5,0,55
136,PERF000136,54,2025,Mid-Year,3,4,0,55
137,PERF000137,55,2024,Annual,3,2,0,21
138,PERF000138,55,2025,Annual,2,2,0,21
139,PERF000139,55,2025,Mid-Year,3,3,0,21
140,PERF000140,57,2024,Annual,2,3,0,30
141,PERF000141,57,2025,Annual,3,2,0,30
142,PERF000142,57,2025,Mid-Year,2,1,0,30
143,PERF000143,58,2024,Annual,3,3,0,57
144,PERF000144,58,2025,Annual,2,3,0,57
145,PERF000145,59,2024,Annual,4,4,1,83
146,PERF000146,59,2025,Annual,4,3,0,83
147,PERF000147,59,2025,Mid-Year,5,5,0,83
148,PERF000148,60,2024,Annual,2,2,0,3
149,PERF000149,60,2025,Annual,3,3,0,3
150,PERF000150,61,2024,Annual,5,5,0,30
151,PERF000151,61,2025,Annual,5,5,0,30
152,PERF000152,61,2025,Mid-Year,5,4,1,30
153,PERF000153,62,2024,Annual,4,4,0,61
154,PERF000154,62,2024,Mid-Year,4,4,0,61
155,PERF000155,62,2025,Annual,4,3,0,61
156,PERF000156,62,2025,Mid-Year,3,3,0,61
157,PERF000157,63,2024,Annual,2,1,0,
158,PERF000158,63,2024,Mid-Year,3,2,0,
159,PERF000159,63,2025,Annual,3,3,0,
160,PERF000160,64,2024,Annual,4,4,0,51
161,PERF000161,64,2024,Mid-Year,4,3,0,51
162,PERF000162,64,2025,Annual,4,4,0,51
163,PERF000163,64,2025,Mid-Year,4,4,0,51
164,PERF000164,65,2024,Annual,4,4,1,27
165,PERF000165,65,2024,Mid-Year,4,3,0,27
166,PERF000166,65,2025,Annual,3,3,0,27
167,PERF000167,65,2025,Mid-Year,4,3,0,27
168,PERF000168,66,2024,Annual,4,4,0,67
169,PERF000169,66,2025,Annual,5,5,0,67
170,PERF000170,68,2024,Annual,2,2,0,76
171,PERF000171,68,2025,Annual,3,3,0,76
172,PERF000172,70,2024,Annual,3,4,0,24
173,PERF000173,70,2025,Annual,3,3,0,24
174,PERF000174,71,2024,Annual,5,5,0,12
175,PERF000175,72,2025,Annual,3,3,0,81
176,PERF000176,73,2025,Annual,3,3,0,39
177,PERF000177,74,2024,Annual,5,5,1,63
178,PERF000178,74,2024,Mid-Year,3,4,0,63
179,PERF000179,74,2025,Annual,3,3,0,63
180,PERF000180,75,2024,Annual,5,4,0,72
181,PERF000181,75,2025,Annual,4,4,0,72
182,PERF000182,77,2024,Annual,4,4,0,65
183,PERF000183,77,2024,Mid-Year,3,2,0,65
184,PERF000184,77,2025,Annual,3,3,0,65
185,PERF000185,79,2024,Annual,3,3,0,78
186,PERF000186,79,2024,Mid-Year,3,3,0,78
187,PERF000187,79,2025,Annual,2,2,0,78
188,PERF000188,80,2024,Annual,5,5,1,18
189,PERF000189,80,2024,Mid-Year,5,5,0,18
190,PERF000190,80,2025,Annual,4,3,0,18
191,PERF000191,81,2024,Annual,3,1,0,4
192,PERF000192,81,2025,Annual,4,3,0,4
193,PERF000193,81,2025,Mid-Year,4,4,0,4
194,PERF000194,82,2025,Annual,4,3,0,51
195,PERF000195,82,2025,Mid-Year,3,3,0,51
196,PERF000196,83,2024,Annual,3,2,0,50
197,PERF000197,83,2025,Annual,3,3,0,50
198,PERF000198,84,2025,Annual,3,4,0,36
199,PERF000199,84,2025,Mid-Year,4,4,1,36
200,PERF000200,85,2024,Annual,4,3,0,12
201,PERF000201,85,2024,Mid-Year,4,3,0,12
202,PERF000202,85,2025,Annual,4,3,0,12
203,PERF000203,85,2025,Mid-Year,3,3,0,12
204,PERF000204,86,2024,Annual,3,2,0,48
205,PERF000205,86,2025,Annual,2,2,0,48
206,PERF000206,87,2024,Annual,3,4,0,76
207,PERF000207,87,2025,Annual,3,3,0,76
208,PERF000208,87,2025,Mid-Year,3,5,0,76
209,PERF000209,88,2024,Annual,4,5,0,63
210,PERF000210,88,2025,Annual,3,3,0,63
211,PERF000211,88,2025,Mid-Year,5,5,0,63
212,PERF000212,89,2024,Annual,4,3,0,77
213,PERF000213,89,2024,Mid-Year,3,3,0,77
214,PERF000214,89,2025,Annual,4,4,0,77
215,PERF000215,90,2024,Annual,4,4,0,35
216,PERF000216,90,2024,Mid-Year,5,5,0,35
217,PERF000217,90,2025,Annual,4,3,0,35
218,PERF000218,91,2024,Annual,3,2,0,54
219,PERF000219,91,2025,Annual,2,2,0,54
220,PERF000220,92,2024,Annual,4,5,0,81
221,PERF000221,92,2025,Annual,4,4,0,81
222,PERF000222,93,2025,Annual,2,2,0,74
223,PERF000223,94,2024,Annual,3,2,0,76
224,PERF000224,94,2025,Annual,3,3,0,76
225,PERF000225,94,2025,Mid-Year,2,2,0,76
226,PERF000226,95,2024,Annual,4,4,0,71
227,PERF000227,95,2025,Annual,3,3,0,71
228,PERF000228,95,2025,Mid-Year,3,4,0,71
229,PERF000229,96,2024,Annual,4,3,0,10
230,PERF000230,96,2024,Mid-Year,5,5,0,10
231,PERF000231,96,2025,Annual,4,5,0,10
232,PERF000232,97,2025,Annual,4,5,0,82
233,PERF000233,99,2024,Annual,4,4,0,63
234,PERF000234,99,2024,Mid-Year,3,2,0,63
235,PERF000235,99,2025,Annual,3,4,0,63
236,PERF000236,100,2024,Annual,5,5,0,42
237,PERF000237,100,2025,Annual,5,4,1,42
238,PERF000238,101,2024,Annual,2,2,0,27
239,PERF000239,101,2025,Annual,2,2,0,27
240,PERF000240,101,2025,Mid-Year,2,2,0,27
241,PERF000241,102,2024,Annual,2,2,0,77
242,PERF000242,102,2024,Mid-Year,2,1,0,77
243,PERF000243,102,2025,Annual,3,3,0,77
244,PERF000244,102,2025,Mid-Year,2,3,0,77
245,PERF000245,103,2024,Annual,3,3,0,9
246,PERF000246,103,2025,Annual,4,3,0,9
247,PERF000247,103,2025,Mid-Year,3,4,0,9
248,PERF000248,104,2024,Annual,2,3,0,67
249,PERF000249,104,2024,Mid-Year,1,2,0,67
250,PERF000250,104,2025,Annual,2,3,0,67
251,PERF000251,105,2025,Annual,3,3,0,11
252,PERF000252,105,2025,Mid-Year,3,2,0,11
253,PERF000253,106,2024,Annual,2,3,0,79
254,PERF000254,106,2025,Annual,3,3,0,79
255,PERF000255,107,2025,Annual,4,5,0,74
256,PERF000256,108,2024,Annual,3,4,0,16
257,PERF000257,108,2025,Annual,5,4,0,16
258,PERF000258,108,2025,Mid-Year,3,4,0,16
259,PERF000259,109,2024,Annual,3,4,0,
260,PERF000260,109,2024,Mid-Year,3,4,0,
261,PERF000261,109,2025,Annual,4,5,0,
262,PERF000262,110,2024,Annual,4,5,0,19
263,PERF000263,110,2024,Mid-Year,4,4,0,19
264,PERF000264,110,2025,Annual,3,2,0,19
265,PERF000265,111,2024,Annual,4,4,0,22
266,PERF000266,111,2025,Annual,3,2,0,22
267,PERF000267,112,2024,Annual,4,4,0,70
268,PERF000268,112,2025,Annual,4,5,0,70
269,PERF000269,112,2025,Mid-Year,4,4,0,70
270,PERF000270,113,2024,Annual,5,5,0,42
271,PERF000271,113,2024,Mid-Year,3,3,0,42
272,PERF000272,113,2025,Annual,3,3,0,42
273,PERF000273,113,2025,Mid-Year,4,3,0,42
274,PERF000274,115,2024,Annual,3,2,0,58
275,PERF000275,115,2024,Mid-Year,3,3,0,58
276,PERF000276,115,2025,Annual,2,2,0,58
277,PERF000277,116,2025,Annual,3,3,0,54
278,PERF000278,116,2025,Mid-Year,1,1,0,54
279,PERF000279,117,2024,Annual,4,4,0,45
280,PERF000280,117,2024,Mid-Year,5,5,0,45
281,PERF000281,117,2025,Annual,5,5,0,45
282,PERF000282,118,2024,Annual,4,4,1,68
283,PERF000283,118,2024,Mid-Year,4,4,0,68
284,PERF000284,118,2025,Annual,3,3,0,68
285,PERF000285,118,2025,Mid-Year,4,4,0,68
286,PERF000286,119,2025,Annual,3,3,0,14
287,PERF000287,120,2024,Annual,4,4,0,78
288,PERF000288,120,2024,Mid-Year,4,5,0,78
289,PERF000289,120,2025,Annual,3,3,0,78
290,PERF000290,120,2025,Mid-Year,3,4,0,78
291,PERF000291,121,2024,Annual,4,3,0,23
292,PERF000292,121,2025,Annual,4,4,0,23
293,PERF000293,121,2025,Mid-Year,3,3,0,23
294,PERF000294,122,2024,Annual,3,3,0,16
295,PERF000295,122,2025,Annual,4,4,0,16
296,PERF000296,122,2025,Mid-Year,3,3,0,16
297,PERF000297,123,2024,Annual,1,2,0,48
298,PERF000298,123,2025,Annual,1,1,0,48
299,PERF000299,123,2025,Mid-Year,1,1,0,48
300,PERF000300,125,2024,Annual,5,4,1,34
301,PERF000301,125,2024,Mid-Year,4,4,0,34
302,PERF000302,125,2025,Annual,5,5,0,34
303,PERF000303,126,2024,Annual,4,4,0,61
304,PERF000304,126,2025,Annual,4,5,0,61
305,PERF000305,127,2024,Annual,3,4,0,7
306,PERF000306,127,2025,Annual,4,5,0,7
307,PERF000307,128,2024,Annual,3,4,0,
308,PERF000308,128,2025,Annual,3,3,0,
309,PERF000309,129,2024,Annual,3,3,0,15
310,PERF000310,129,2025,Annual,2,3,0,15
311,PERF000311,129,2025,Mid-Year,2,2,0,15
312,PERF000312,130,2024,Annual,4,3,0,70
313,PERF000313,130,2024,Mid-Year,2,2,0,70
314,PERF000314,131,2025,Annual,4,5,0,83
315,PERF000315,131,2025,Mid-Year,2,3,0,83
316,PERF000316,132,2024,Annual,3,3,0,3
317,PERF000317,132,2025,Annual,3,2,0,3
318,PERF000318,132,2025,Mid-Year,4,4,1,3
319,PERF000319,134,2024,Annual,4,5,0,17
320,PERF000320,134,2025,Annual,5,5,1,17
321,PERF000321,135,2024,Annual,4,3,0,46
322,PERF000322,135,2025,Annual,4,3,0,46
323,PERF000323,136,2024,Annual,4,4,0,51
324,PERF000324,136,2024,Mid-Year,5,4,0,51
325,PERF000325,136,2025,Annual,5,4,0,51
326,PERF000326,136,2025,Mid-Year,4,4,0,51
327,PERF000327,137,2025,Annual,4,5,0,51
328,PERF000328,137,2025,Mid-Year,3,4,0,51
329,PERF000329,138,2024,Annual,4,4,0,11
330,PERF000330,138,2025,Annual,4,4,0,11
331,PERF000331,139,2024,Annual,5,5,0,67
332,PERF000332,139,2024,Mid-Year,5,5,0,67
333,PERF000333,139,2025,Annual,5,5,0,67
334,PERF000334,140,2024,Annual,4,3,0,10
335,PERF000335,140,2024,Mid-Year,4,4,0,10
336,PERF000336,140,2025,Annual,3,3,0,10
337,PERF000337,140,2025,Mid-Year,4,5,0,10
338,PERF000338,141,2025,Annual,4,4,0,
339,PERF000339,142,2024,Annual,3,3,0,43
340,PERF000340,142,2024,Mid-Year,2,2,0,43
341,PERF000341,142,2025,Annual,3,2,0,43
342,PERF000342,143,2024,Annual,4,4,0,53
343,PERF000343,143,2024,Mid-Year,3,3,0,53
344,PERF000344,143,2025,Annual,4,4,0,53
345,PERF000345,143,2025,Mid-Year,4,5,0,53
346,PERF000346,144,2025,Annual,4,4,0,1
347,PERF000347,145,2024,Annual,2,3,0,16
348,PERF000348,145,2025,Annual,4,5,1,16
349,PERF000349,146,2024,Annual,3,3,0,67
350,PERF000350,146,2025,Annual,4,4,0,67
351,PERF000351,147,2024,Annual,3,1,0,13
352,PERF000352,147,2024,Mid-Year,2,2,0,13
353,PERF000353,147,2025,Annual,3,3,0,13
354,PERF000354,148,2024,Annual,3,3,0,23
355,PERF000355,148,2025,Annual,4,4,0,23
356,PERF000356,149,2024,Annual,4,4,0,5
357,PERF000357,149,2025,Annual,4,5,0,5
358,PERF000358,149,2025,Mid-Year,4,4,1,5
359,PERF000359,150,2024,Annual,3,3,0,34
360,PERF000360,150,2025,Annual,2,2,0,34
361,PERF000361,152,2024,Annual,3,3,0,26
362,PERF000362,152,2025,Annual,3,2,0,26
363,PERF000363,152,2025,Mid-Year,3,2,0,26
364,PERF000364,153,2024,Annual,3,3,0,42
365,PERF000365,153,2025,Annual,3,2,0,42
366,PERF000366,154,2024,Annual,3,4,0,27
367,PERF000367,154,2025,Annual,4,4,1,27
368,PERF000368,154,2025,Mid-Year,3,4,0,27
369,PERF000369,155,2024,Annual,3,4,0,11
370,PERF000370,155,2025,Annual,4,3,0,11
371,PERF000371,156,2024,Annual,3,2,0,41
372,PERF000372,156,2024,Mid-Year,3,3,0,41
373,PERF000373,156,2025,Annual,3,3,0,41
374,PERF000374,157,2024,Annual,3,3,0,79
375,PERF000375,157,2024,Mid-Year,4,4,0,79
376,PERF000376,157,2025,Annual,3,3,0,79
377,PERF000377,158,2024,Annual,3,3,0,6
378,PERF000378,158,2025,Annual,2,1,0,6
379,PERF000379,158,2025,Mid-Year,2,1,0,6
380,PERF000380,159,2024,Annual,5,5,0,70
381,PERF000381,159,2025,Annual,5,5,0,70
382,PERF000382,159,2025,Mid-Year,5,5,0,70
383,PERF000383,160,2024,Annual,5,5,1,30
384,PERF000384,160,2025,Annual,5,4,0,30
385,PERF000385,160,2025,Mid-Year,5,5,0,30
386,PERF000386,161,2024,Annual,4,4,0,3
387,PERF000387,161,2025,Annual,3,5,0,3
388,PERF000388,162,2024,Annual,5,4,0,75
389,PERF000389,162,2025,Annual,4,3,0,75
390,PERF000390,163,2024,Annual,3,4,0,43
391,PERF000391,163,2024,Mid-Year,4,5,0,43
392,PERF000392,163,2025,Annual,3,4,0,43
393,PERF000393,164,2024,Annual,3,2,0,35
394,PERF000394,165,2024,Annual,3,3,0,
395,PERF000395,165,2025,Annual,3,3,0,
396,PERF000396,166,2024,Annual,5,5,0,17
397,PERF000397,166,2025,Annual,5,5,0,17
398,PERF000398,167,2024,Annual,2,2,0,41
399,PERF000399,167,2025,Annual,4,5,0,41
400,PERF000400,168,2024,Annual,4,5,0,40
401,PERF000401,168,2025,Annual,3,3,0,40
402,PERF000402,168,2025,Mid-Year,4,3,0,40
403,PERF000403,169,2024,Annual,3,4,0,41
404,PERF000404,169,2025,Annual,3,2,0,41
405,PERF000405,169,2025,Mid-Year,2,2,0,41
406,PERF000406,170,2024,Annual,2,1,0,17
407,PERF000407,170,2025,Annual,3,3,0,17
408,PERF000408,170,2025,Mid-Year,4,3,0,17
409,PERF000409,171,2024,Annual,4,4,0,78
410,PERF000410,171,2024,Mid-Year,3,3,0,78
411,PERF000411,171,2025,Annual,4,3,0,78
412,PERF000412,172,2024,Annual,3,3,0,79
413,PERF000413,172,2025,Annual,3,4,0,79
414,PERF000414,173,2024,Annual,4,4,0,42
415,PERF000415,173,2025,Annual,3,2,0,42
416,PERF000416,173,2025,Mid-Year,4,3,0,42
417,PERF000417,174,2024,Annual,4,5,0,74
418,PERF000418,174,2024,Mid-Year,5,5,0,74
419,PERF000419,174,2025,Annual,5,5,0,74
420,PERF000420,174,2025,Mid-Year,5,5,0,74
421,PERF000421,175,2024,Annual,2,3,0,34
422,PERF000422,175,2025,Annual,3,3,0,34
423,PERF000423,176,2024,Annual,5,5,0,29
424,PERF000424,176,2025,Annual,4,4,0,29
425,PERF000425,177,2025,Annual,2,1,0,76
426,PERF000426,178,2024,Annual,2,2,0,65
427,PERF000427,178,2025,Annual,2,1,0,65
428,PERF000428,179,2024,Annual,3,3,0,8
429,PERF000429,179,2024,Mid-Year,3,2,0,8
430,PERF000430,179,2025,Annual,3,2,0,8
431,PERF000431,180,2024,Annual,4,5,0,66
432,PERF000432,180,2025,Annual,4,4,0,66
433,PERF000433,180,2025,Mid-Year,4,4,0,66
434,PERF000434,181,2024,Annual,4,3,0,28
435,PERF000435,181,2025,Annual,3,3,0,28
436,PERF000436,181,2025,Mid-Year,4,5,0,28
437,PERF000437,182,2025,Annual,4,5,1,35
438,PERF000438,182,2025,Mid-Year,3,3,0,35
439,PERF000439,183,2024,Annual,5,5,0,30
440,PERF000440,183,2025,Annual,5,5,0,30
441,PERF000441,183,2025,Mid-Year,4,4,0,30
442,PERF000442,184,2024,Annual,2,2,0,11
443,PERF000443,184,2024,Mid-Year,1,1,0,11
444,PERF000444,184,2025,Annual,2,1,0,11
445,PERF000445,185,2024,Annual,3,3,0,76
446,PERF000446,185,2025,Annual,4,4,1,76
447,PERF000447,185,2025,Mid-Year,3,3,0,76
448,PERF000448,186,2024,Annual,2,1,0,73
449,PERF000449,186,2024,Mid-Year,3,3,0,73
450,PERF000450,186,2025,Annual,4,4,0,73
451,PERF000451,187,2024,Annual,4,4,0,14
452,PERF000452,187,2024,Mid-Year,4,4,0,14
453,PERF000453,187,2025,Annual,4,5,0,14
454,PERF000454,188,2024,Annual,3,2,0,22
455,PERF000455,188,2024,Mid-Year,3,3,0,22
456,PERF000456,189,2024,Annual,3,2,0,43
457,PERF000457,189,2025,Annual,3,3,0,43
458,PERF000458,190,2024,Annual,5,5,0,57
459,PERF000459,190,2024,Mid-Year,4,4,1,57
460,PERF000460,191,2024,Annual,3,3,0,74
461,PERF000461,192,2024,Annual,5,5,0,57
462,PERF000462,192,2024,Mid-Year,5,5,0,57
463,PERF000463,192,2025,Annual,5,5,0,57
464,PERF000464,192,2025,Mid-Year,4,4,0,57
465,PERF000465,193,2024,Annual,4,4,0,17
466,PERF000466,193,2024,Mid-Year,3,2,0,17
467,PERF000467,193,2025,Annual,3,4,0,17
468,PERF000468,194,2024,Annual,5,5,0,52
469,PERF000469,194,2024,Mid-Year,5,4,0,52
470,PERF000470,194,2025,Annual,4,4,1,52
471,PERF000471,195,2024,Annual,2,2,0,16
472,PERF000472,195,2024,Mid-Year,3,3,0,16
473,PERF000473,195,2025,Annual,3,3,0,16
474,PERF000474,198,2024,Annual,4,4,0,17
475,PERF000475,198,2025,Annual,4,5,0,17
476,PERF000476,199,2024,Annual,5,5,0,7
477,PERF000477,199,2025,Annual,5,5,0,7
478,PERF000478,200,2024,Annual,3,3,0,30
479,PERF000479,201,2024,Annual,3,3,0,57
480,PERF000480,201,2025,Annual,3,3,0,57
481,PERF000481,201,2025,Mid-Year,3,4,0,57
482,PERF000482,202,2024,Annual,3,2,0,54
483,PERF000483,202,2025,Annual,4,3,0,54
484,PERF000484,203,2024,Annual,3,3,0,3
485,PERF000485,203,2025,Annual,3,2,0,3
486,PERF000486,204,2024,Annual,4,4,0,61
487,PERF000487,204,2025,Annual,4,4,0,61
488,PERF000488,204,2025,Mid-Year,4,4,0,61
489,PERF000489,205,2024,Annual,3,4,0,41
490,PERF000490,205,2024,Mid-Year,2,2,0,41
491,PERF000491,205,2025,Annual,1,1,0,41
492,PERF000492,205,2025,Mid-Year,2,2,0,41
493,PERF000493,206,2024,Annual,2,1,0,46
494,PERF000494,206,2025,Annual,2,3,0,46
495,PERF000495,206,2025,Mid-Year,2,3,0,46
496,PERF000496,207,2024,Annual,4,3,0,11
497,PERF000497,207,2024,Mid-Year,4,5,0,11
498,PERF000498,207,2025,Annual,3,3,0,11
499,PERF000499,207,2025,Mid-Year,4,4,0,11
500,PERF000500,208,2024,Annual,3,3,0,83
501,PERF000501,208,2025,Annual,4,4,0,83
502,PERF000502,208,2025,Mid-Year,4,3,0,83
503,PERF000503,209,2024,Annual,4,4,0,22
504,PERF000504,209,2025,Annual,3,3,0,22
505,PERF000505,210,2025,Annual,4,3,0,73
506,PERF000506,211,2024,Annual,5,5,0,25
507,PERF000507,211,2025,Annual,5,5,0,25
508,PERF000508,212,2025,Annual,3,3,0,38
509,PERF000509,213,2024,Annual,3,3,0,50
510,PERF000510,213,2024,Mid-Year,3,2,0,50
511,PERF000511,213,2025,Annual,3,2,0,50
512,PERF000512,213,2025,Mid-Year,3,3,0,50
513,PERF000513,214,2024,Annual,3,3,0,1
514,PERF000514,214,2025,Annual,3,1,0,1
515,PERF000515,214,2025,Mid-Year,4,4,0,1
516,PERF000516,215,2024,Annual,4,3,0,5
517,PERF000517,215,2024,Mid-Year,4,4,0,5
518,PERF000518,215,2025,Annual,4,4,0,5
519,PERF000519,216,2024,Annual,4,5,1,47
520,PERF000520,217,2024,Annual,2,3,0,17
521,PERF000521,217,2025,Annual,2,2,0,17
522,PERF000522,217,2025,Mid-Year,2,2,0,17
523,PERF000523,218,2024,Annual,3,2,0,
524,PERF000524,218,2024,Mid-Year,2,2,0,
525,PERF000525,218,2025,Annual,2,2,0,
526,PERF000526,219,2024,Annual,5,4,0,49
527,PERF000527,219,2024,Mid-Year,5,5,0,49
528,PERF000528,219,2025,Annual,4,3,0,49
529,PERF000529,220,2024,Annual,4,4,0,10
530,PERF000530,220,2024,Mid-Year,4,4,0,10
531,PERF000531,220,2025,Annual,4,4,0,10
532,PERF000532,221,2024,Annual,5,5,0,56
533,PERF000533,221,2024,Mid-Year,4,4,0,56
534,PERF000534,221,2025,Annual,4,4,0,56
535,PERF000535,221,2025,Mid-Year,4,4,0,56
536,PERF000536,222,2025,Annual,2,3,0,27
537,PERF000537,222,2025,Mid-Year,3,3,0,27
