attendance_key,attendance_id,employee_key,attendance_month_key,working_days,present_days,absent_days,late_arrivals,remote_work_days,overtime_hours,attendance_rate,absence_rate
72,ATT000072,3,20241201,22,18,4,1,11,7.6,0.8182,0.1818
73,ATT000073,3,20250101,23,20,3,0,18,8.1,0.8696,0.1304
74,ATT000074,3,20250201,20,19,1,0,18,1.9,0.95,0.05
75,ATT000075,3,20250301,21,19,2,2,16,0.0,0.9048,0.0952
76,ATT000076,3,20250401,22,22,0,0,20,6.4,1.0,0.0
77,ATT000077,3,20250501,22,22,0,1,19,13.3,1.0,0.0
78,ATT000078,3,20250601,21,20,1,1,19,10.3,0.9524,0.0476
79,ATT000079,3,20250701,23,22,1,2,21,11.1,0.9565,0.0435
80,ATT000080,3,20250801,21,19,2,0,14,0.0,0.9048,0.0952
81,ATT000081,3,20250901,22,20,2,0,15,7.3,0.9091,0.0909
82,ATT000082,3,20251001,23,19,4,0,13,5.7,0.8261,0.1739
83,ATT000083,3,20251101,20,16,4,1,10,4.3,0.8,0.2
84,ATT000084,3,20251201,23,21,2,0,18,0.0,0.913,0.087
85,ATT000085,3,20260101,22,20,2,1,16,10.8,0.9091,0.0909
86,ATT000086,3,20260201,20,19,1,1,16,8.4,0.95,0.05
87,ATT000087,3,20260301,22,20,2,0,15,13.3,0.9091,0.0909
88,ATT000088,3,20260401,22,21,1,1,15,0.0,0.9545,0.0455
89,ATT000089,3,20260501,21,20,1,1,19,3.5,0.9524,0.0476
90,ATT000090,3,20260601,22,20,2,0,15,0.4,0.9091,0.0909
91,ATT000091,4,20240101,23,17,6,4,6,4.4,0.7391,0.2609
92,ATT000092,4,20240201,21,17,4,1,7,12.8,0.8095,0.1905
93,ATT000093,4,20240301,21,10,11,3,0,10.9,0.4762,0.5238
94,ATT000094,4,20240401,22,20,2,0,11,7.2,0.9091,0.0909
95,ATT000095,4,20240501,23,22,1,1,10,3.0,0.9565,0.0435
96,ATT000096,4,20240601,20,17,3,1,7,1.3,0.85,0.15
97,ATT000097,4,20240701,23,14,9,2,6,6.4,0.6087,0.3913
98,ATT000098,4,20240801,22,18,4,1,7,9.3,0.8182,0.1818
99,ATT000099,4,20240901,21,17,4,2,6,4.6,0.8095,0.1905
100,ATT000100,4,20241001,23,16,7,1,4,10.6,0.6957,0.3043
101,ATT000101,4,20241101,21,17,4,1,7,13.0,0.8095,0.1905
102,ATT000102,4,20241201,22,20,2,1,8,11.0,0.9091,0.0909
103,ATT000103,4,20250101,23,20,3,1,10,7.5,0.8696,0.1304
104,ATT000104,4,20250201,20,16,4,0,3,1.4,0.8,0.2
105,ATT000105,4,20250301,21,15,6,1,9,9.6,0.7143,0.2857
106,ATT000106,4,20250401,22,15,7,1,8,7.8,0.6818,0.3182
107,ATT000107,4,20250501,22,19,3,2,12,6.0,0.8636,0.1364
108,ATT000108,4,20250601,21,17,4,1,6,9.1,0.8095,0.1905
109,ATT000109,4,20250701,23,21,2,2,7,2.3,0.913,0.087
110,ATT000110,4,20250801,21,16,5,2,6,5.2,0.7619,0.2381
111,ATT000111,4,20250901,22,16,6,1,6,2.5,0.7273,0.2727
112,ATT000112,4,20251001,23,16,7,2,5,0.4,0.6957,0.3043
113,ATT000113,4,20251101,20,18,2,4,9,1.0,0.9,0.1
114,ATT000114,4,20251201,23,20,3,1,12,5.8,0.8696,0.1304
115,ATT000115,4,20260101,22,19,3,6,10,7.9,0.8636,0.1364
116,ATT000116,4,20260201,20,14,6,1,7,0.0,0.7,0.3
117,ATT000117,4,20260301,22,20,2,1,8,0.9,0.9091,0.0909
118,ATT000118,4,20260401,22,18,4,0,11,6.9,0.8182,0.1818
119,ATT000119,4,20260501,21,17,4,3,5,9.5,0.8095,0.1905
120,ATT000120,4,20260601,22,17,5,0,10,3.9,0.7727,0.2273
121,ATT000121,5,20240101,23,22,1,2,2,0.0,0.9565,0.0435
122,ATT000122,5,20240201,21,20,1,0,3,6.1,0.9524,0.0476
123,ATT000123,5,20240301,21,19,2,0,1,5.3,0.9048,0.0952
124,ATT000124,5,20240401,22,21,1,0,2,7.2,0.9545,0.0455
125,ATT000125,5,20240501,23,21,2,0,2,8.5,0.913,0.087
126,ATT000126,5,20240601,20,20,0,1,0,3.3,1.0,0.0
127,ATT000127,5,20240701,23,23,0,0,0,6.3,1.0,0.0
128,ATT000128,5,20240801,22,20,2,0,4,9.1,0.9091,0.0909
129,ATT000129,5,20240901,21,18,3,0,3,1.9,0.8571,0.1429
130,ATT000130,5,20241001,23,20,3,0,0,1.0,0.8696,0.1304
131,ATT000131,5,20241101,21,21,0,0,0,7.2,1.0,0.0
132,ATT000132,5,20241201,22,19,3,0,0,9.8,0.8636,0.1364
133,ATT000133,5,20250101,23,21,2,0,1,5.4,0.913,0.087
134,ATT000134,5,20250201,20,19,1,0,0,2.4,0.95,0.05
135,ATT000135,5,20250301,21,18,3,3,3,2.9,0.8571,0.1429
136,ATT000136,5,20250401,22,21,1,0,0,7.1,0.9545,0.0455
137,ATT000137,5,20250501,22,20,2,0,4,9.8,0.9091,0.0909
138,ATT000138,5,20250601,21,21,0,1,0,7.4,1.0,0.0
139,ATT000139,5,20250701,23,19,4,2,3,3.4,0.8261,0.1739
140,ATT000140,5,20250801,21,18,3,0,4,8.2,0.8571,0.1429
141,ATT000141,5,20250901,22,22,0,0,2,6.4,1.0,0.0
142,ATT000142,5,20251001,23,23,0,0,0,5.9,1.0,0.0
143,ATT000143,5,20251101,20,20,0,2,2,8.1,1.0,0.0
144,ATT000144,5,20251201,23,20,3,0,2,8.2,0.8696,0.1304
145,ATT000145,5,20260101,22,19,3,0,0,3.2,0.8636,0.1364
146,ATT000146,5,20260201,20,19,1,0,0,18.2,0.95,0.05
147,ATT000147,5,20260301,22,18,4,0,0,0.0,0.8182,0.1818
148,ATT000148,5,20260401,22,19,3,1,1,0.2,0.8636,0.1364
149,ATT000149,5,20260501,21,21,0,0,4,3.8,1.0,0.0
150,ATT000150,5,20260601,22,18,4,0,4,0.0,0.8182,0.1818
151,ATT000151,6,20240101,23,22,1,0,3,6.9,0.9565,0.0435
152,ATT000152,6,20240201,21,20,1,0,2,7.7,0.9524,0.0476
153,ATT000153,6,20240301,21,20,1,1,4,7.2,0.9524,0.0476
154,ATT000154,6,20240401,22,20,2,0,1,0.0,0.9091,0.0909
155,ATT000155,6,20240501,23,23,0,0,7,2.6,1.0,0.0
156,ATT000156,6,20240601,20,20,0,0,3,0.0,1.0,0.0
157,ATT000157,6,20240701,23,23,0,0,1,6.2,1.0,0.0
158,ATT000158,6,20240801,22,22,0,0,4,2.1,1.0,0.0
159,ATT000159,6,20240901,21,21,0,1,0,2.6,1.0,0.0
160,ATT000160,6,20241001,23,23,0,1,2,7.5,1.0,0.0
161,ATT000161,6,20241101,21,21,0,0,5,0.0,1.0,0.0
162,ATT000162,6,20241201,22,22,0,0,1,8.5,1.0,0.0
163,ATT000163,6,20250101,23,20,3,1,0,7.1,0.8696,0.1304
164,ATT000164,6,20250201,20,18,2,0,2,4.7,0.9,0.1
165,ATT000165,6,20250301,21,20,1,0,0,5.5,0.9524,0.0476
166,ATT000166,6,20250401,22,22,0,0,0,6.8,1.0,0.0
167,ATT000167,6,20250501,22,22,0,0,1,3.5,1.0,0.0
168,ATT000168,6,20250601,21,20,1,0,2,7.6,0.9524,0.0476
169,ATT000169,6,20250701,23,21,2,0,0,0.0,0.913,0.087
170,ATT000170,6,20250801,21,21,0,0,2,0.0,1.0,0.0
171,ATT000171,6,20250901,22,22,0,0,4,0.0,1.0,0.0
172,ATT000172,6,20251001,23,20,3,0,2,2.4,0.8696,0.1304
173,ATT000173,6,20251101,20,18,2,0,1,2.8,0.9,0.1
174,ATT000174,6,20251201,23,21,2,0,2,0.7,0.913,0.087
175,ATT000175,6,20260101,22,20,2,0,2,0.0,0.9091,0.0909
176,ATT000176,6,20260201,20,20,0,1,2,11.7,1.0,0.0
177,ATT000177,6,20260301,22,22,0,1,5,0.0,1.0,0.0
178,ATT000178,6,20260401,22,21,1,0,0,1.8,0.9545,0.0455
179,ATT000179,6,20260501,21,20,1,0,1,0.7,0.9524,0.0476
180,ATT000180,6,20260601,22,21,1,0,2,0.8,0.9545,0.0455
181,ATT000181,7,20240101,23,21,2,0,8,2.7,0.913,0.087
182,ATT000182,7,20240201,21,17,4,0,10,0.0,0.8095,0.1905
183,ATT000183,7,20240301,21,16,5,2,2,2.6,0.7619,0.2381
184,ATT000184,7,20240401,22,20,2,1,5,6.9,0.9091,0.0909
185,ATT000185,7,20240501,23,20,3,0,9,2.5,0.8696,0.1304
186,ATT000186,7,20240601,20,16,4,0,6,3.8,0.8,0.2
187,ATT000187,7,20240701,23,15,8,0,8,0.0,0.6522,0.3478
188,ATT000188,7,20240801,22,18,4,1,9,10.5,0.8182,0.1818
189,ATT000189,7,20240901,21,19,2,0,7,5.3,0.9048,0.0952
190,ATT000190,7,20241001,23,23,0,1,10,1.4,1.0,0.0
191,ATT000191,7,20241101,21,16,5,2,4,4.6,0.7619,0.2381
192,ATT000192,7,20241201,22,19,3,6,14,0.0,0.8636,0.1364
193,ATT000193,7,20250101,23,21,2,1,10,7.7,0.913,0.087
194,ATT000194,7,20250201,20,20,0,0,4,0.9,1.0,0.0
195,ATT000195,7,20250301,21,17,4,0,11,8.1,0.8095,0.1905
196,ATT000196,7,20250401,22,20,2,0,5,2.8,0.9091,0.0909
197,ATT000197,7,20250501,22,20,2,0,2,5.9,0.9091,0.0909
198,ATT000198,7,20250601,21,18,3,0,11,2.0,0.8571,0.1429
199,ATT000199,7,20250701,23,18,5,0,10,0.0,0.7826,0.2174
200,ATT000200,7,20250801,21,16,5,3,5,0.0,0.7619,0.2381
201,ATT000201,7,20250901,22,20,2,1,10,2.4,0.9091,0.0909
202,ATT000202,7,20251001,23,20,3,2,10,0.0,0.8696,0.1304
203,ATT000203,7,20251101,20,16,4,0,5,3.6,0.8,0.2
204,ATT000204,7,20251201,23,20,3,0,7,5.0,0.8696,0.1304
205,ATT000205,7,20260101,22,20,2,1,7,3.1,0.9091,0.0909
206,ATT000206,7,20260201,20,16,4,3,4,1.7,0.8,0.2
207,ATT000207,7,20260301,22,19,3,1,11,0.0,0.8636,0.1364
208,ATT000208,7,20260401,22,21,1,2,8,2.1,0.9545,0.0455
209,ATT000209,7,20260501,21,16,5,1,5,4.2,0.7619,0.2381
210,ATT000210,7,20260601,22,18,4,1,2,0.1,0.8182,0.1818
211,ATT000211,8,20240101,23,20,3,0,12,5.2,0.8696,0.1304
212,ATT000212,8,20240201,21,19,2,1,10,5.1,0.9048,0.0952
213,ATT000213,8,20240301,21,20,1,1,7,7.7,0.9524,0.0476
214,ATT000214,8,20240401,22,19,3,0,13,8.2,0.8636,0.1364
215,ATT000215,8,20240501,23,23,0,0,8,4.9,1.0,0.0
216,ATT000216,8,20240601,20,19,1,0,9,8.9,0.95,0.05
217,ATT000217,8,20240701,23,22,1,2,12,1.7,0.9565,0.0435
218,ATT000218,8,20240801,22,20,2,0,4,2.7,0.9091,0.0909
219,ATT000219,8,20240901,21,20,1,0,3,9.5,0.9524,0.0476
220,ATT000220,8,20241001,23,22,1,0,9,3.5,0.9565,0.0435
221,ATT000221,8,20241101,21,20,1,0,14,3.6,0.9524,0.0476
222,ATT000222,8,20241201,22,21,1,1,13,6.5,0.9545,0.0455
223,ATT000223,8,20250101,23,22,1,1,10,7.2,0.9565,0.0435
224,ATT000224,8,20250201,20,20,0,0,10,0.1,1.0,0.0
225,ATT000225,8,20250301,21,19,2,0,10,14.3,0.9048,0.0952
226,ATT000226,8,20250401,22,21,1,0,15,0.0,0.9545,0.0455
227,ATT000227,8,20250501,22,21,1,0,1,5.0,0.9545,0.0455
228,ATT000228,8,20250601,21,20,1,2,6,8.0,0.9524,0.0476
229,ATT000229,8,20250701,23,22,1,0,6,13.2,0.9565,0.0435
230,ATT000230,8,20250801,21,20,1,2,8,10.2,0.9524,0.0476
231,ATT000231,8,20250901,22,20,2,0,3,9.0,0.9091,0.0909
232,ATT000232,8,20251001,23,23,0,0,15,0.0,1.0,0.0
233,ATT000233,8,20251101,20,20,0,0,11,4.3,1.0,0.0
234,ATT000234,8,20251201,23,23,0,1,11,11.6,1.0,0.0
235,ATT000235,8,20260101,22,22,0,0,7,9.9,1.0,0.0
236,ATT000236,8,20260201,20,19,1,1,14,6.5,0.95,0.05
237,ATT000237,8,20260301,22,19,3,0,7,3.3,0.8636,0.1364
238,ATT000238,8,20260401,22,21,1,0,4,4.9,0.9545,0.0455
239,ATT000239,8,20260501,21,19,2,1,9,3.9,0.9048,0.0952
240,ATT000240,8,20260601,22,22,0,2,10,6.3,1.0,0.0
241,ATT000241,9,20240101,23,20,3,4,14,9.2,0.8696,0.1304
242,ATT000242,9,20240201,21,18,3,2,7,8.4,0.8571,0.1429
243,ATT000243,10,20250501,22,22,0,0,14,4.4,1.0,0.0
244,ATT000244,10,20250601,21,20,1,0,17,3.4,0.9524,0.0476
245,ATT000245,10,20250701,23,21,2,0,17,0.0,0.913,0.087
246,ATT000246,10,20250801,21,19,2,0,17,8.3,0.9048,0.0952
247,ATT000247,10,20250901,22,21,1,0,20,5.1,0.9545,0.0455
248,ATT000248,10,20251001,23,20,3,0,18,8.1,0.8696,0.1304
249,ATT000249,10,20251101,20,20,0,0,17,6.9,1.0,0.0
250,ATT000250,10,20251201,23,21,2,1,18,1.0,0.913,0.087
251,ATT000251,10,20260101,22,19,3,0,19,4.5,0.8636,0.1364
252,ATT000252,10,20260201,20,20,0,1,14,1.0,1.0,0.0
253,ATT000253,10,20260301,22,20,2,0,20,1.4,0.9091,0.0909
254,ATT000254,10,20260401,22,19,3,2,18,4.7,0.8636,0.1364
255,ATT000255,10,20260501,21,20,1,0,16,2.9,0.9524,0.0476
256,ATT000256,10,20260601,22,17,5,0,11,4.2,0.7727,0.2273
257,ATT000257,11,20240401,22,19,3,1,16,12.8,0.8636,0.1364
258,ATT000258,11,20240501,23,20,3,0,18,0.0,0.8696,0.1304
259,ATT000259,11,20240601,20,17,3,1,12,3.7,0.85,0.15
260,ATT000260,11,20240701,23,21,2,0,19,1.3,0.913,0.087
261,ATT000261,11,20240801,22,20,2,3,16,4.1,0.9091,0.0909
262,ATT000262,11,20240901,21,20,1,0,15,2.9,0.9524,0.0476
263,ATT000263,11,20241001,23,21,2,1,17,1.7,0.913,0.087
264,ATT000264,11,20241101,21,19,2,1,14,1.6,0.9048,0.0952
265,ATT000265,11,20241201,22,21,1,0,15,0.0,0.9545,0.0455
266,ATT000266,11,20250101,23,23,0,1,20,0.0,1.0,0.0
267,ATT000267,11,20250201,20,19,1,1,16,0.0,0.95,0.05
268,ATT000268,11,20250301,21,21,0,0,13,0.0,1.0,0.0
269,ATT000269,11,20250401,22,22,0,1,19,2.3,1.0,0.0
270,ATT000270,11,20250501,22,19,3,0,16,2.2,0.8636,0.1364
271,ATT000271,11,20250601,21,21,0,0,16,8.5,1.0,0.0
272,ATT000272,11,20250701,23,22,1,2,17,2.9,0.9565,0.0435
273,ATT000273,11,20250801,21,21,0,0,17,10.8,1.0,0.0
274,ATT000274,11,20250901,22,21,1,1,20,10.7,0.9545,0.0455
275,ATT000275,11,20251001,23,22,1,2,16,0.0,0.9565,0.0435
276,ATT000276,11,20251101,20,18,2,1,17,11.7,0.9,0.1
277,ATT000277,11,20251201,23,22,1,1,21,0.0,0.9565,0.0435
278,ATT000278,11,20260101,22,21,1,0,16,0.0,0.9545,0.0455
279,ATT000279,11,20260201,20,19,1,0,19,0.7,0.95,0.05
280,ATT000280,11,20260301,22,21,1,1,18,9.4,0.9545,0.0455
281,ATT000281,11,20260401,22,20,2,0,19,1.3,0.9091,0.0909
282,ATT000282,11,20260501,21,19,2,0,15,3.0,0.9048,0.0952
283,ATT000283,11,20260601,22,20,2,0,16,8.4,0.9091,0.0909
284,ATT000284,12,20240101,23,18,5,0,2,10.0,0.7826,0.2174
285,ATT000285,12,20240201,21,21,0,2,4,1.2,1.0,0.0
286,ATT000286,12,20240301,21,17,4,0,0,0.0,0.8095,0.1905
287,ATT000287,12,20240401,22,20,2,1,3,0.0,0.9091,0.0909
288,ATT000288,12,20240501,23,15,8,2,2,7.6,0.6522,0.3478
289,ATT000289,12,20240601,20,20,0,0,6,0.0,1.0,0.0
290,ATT000290,12,20240701,23,20,3,1,3,4.2,0.8696,0.1304
291,ATT000291,12,20240801,22,21,1,3,5,0.0,0.9545,0.0455
292,ATT000292,12,20240901,21,20,1,0,1,1.1,0.9524,0.0476
293,ATT000293,12,20241001,23,21,2,2,1,17.2,0.913,0.087
294,ATT000294,12,20241101,21,19,2,2,0,17.0,0.9048,0.0952
295,ATT000295,12,20241201,22,20,2,2,0,4.5,0.9091,0.0909
296,ATT000296,12,20250101,23,19,4,2,0,5.3,0.8261,0.1739
297,ATT000297,12,20250201,20,18,2,2,4,2.9,0.9,0.1
298,ATT000298,12,20250301,21,19,2,1,0,6.4,0.9048,0.0952
299,ATT000299,12,20250401,22,16,6,0,3,0.0,0.7273,0.2727
300,ATT000300,12,20250501,22,19,3,0,0,1.2,0.8636,0.1364
301,ATT000301,12,20250601,21,20,1,0,2,1.3,0.9524,0.0476
302,ATT000302,12,20250701,23,19,4,1,3,11.9,0.8261,0.1739
303,ATT000303,12,20250801,21,19,2,0,4,0.0,0.9048,0.0952
304,ATT000304,12,20250901,22,20,2,1,0,6.7,0.9091,0.0909
305,ATT000305,12,20251001,23,20,3,1,0,5.1,0.8696,0.1304
306,ATT000306,12,20251101,20,19,1,0,2,6.8,0.95,0.05
307,ATT000307,12,20251201,23,21,2,1,0,5.4,0.913,0.087
308,ATT000308,12,20260101,22,22,0,1,2,8.7,1.0,0.0
309,ATT000309,12,20260201,20,18,2,2,2,0.0,0.9,0.1
310,ATT000310,12,20260301,22,21,1,2,2,4.7,0.9545,0.0455
311,ATT000311,12,20260401,22,19,3,2,1,1.1,0.8636,0.1364
312,ATT000312,12,20260501,21,17,4,1,0,10.7,0.8095,0.1905
313,ATT000313,12,20260601,22,18,4,1,1,7.8,0.8182,0.1818
314,ATT000314,13,20240101,23,22,1,2,18,7.6,0.9565,0.0435
315,ATT000315,13,20240201,21,21,0,0,18,0.8,1.0,0.0
316,ATT000316,13,20240301,21,19,2,0,16,2.8,0.9048,0.0952
317,ATT000317,13,20240401,22,19,3,1,16,3.0,0.8636,0.1364
318,ATT000318,13,20240501,23,22,1,0,17,0.0,0.9565,0.0435
319,ATT000319,13,20240601,20,16,4,0,15,3.2,0.8,0.2
320,ATT000320,13,20240701,23,22,1,1,20,0.0,0.9565,0.0435
321,ATT000321,13,20240801,22,22,0,1,16,4.0,1.0,0.0
322,ATT000322,13,20240901,21,20,1,0,18,3.6,0.9524,0.0476
323,ATT000323,13,20241001,23,22,1,0,16,0.0,0.9565,0.0435
324,ATT000324,13,20241101,21,20,1,0,15,0.0,0.9524,0.0476
325,ATT000325,13,20241201,22,20,2,1,19,0.0,0.9091,0.0909
326,ATT000326,13,20250101,23,21,2,0,14,6.7,0.913,0.087
327,ATT000327,13,20250201,20,18,2,1,13,1.5,0.9,0.1
328,ATT000328,13,20250301,21,19,2,0,13,5.1,0.9048,0.0952
329,ATT000329,13,20250401,22,20,2,0,15,7.7,0.9091,0.0909
330,ATT000330,13,20250501,22,22,0,1,20,5.4,1.0,0.0
331,ATT000331,13,20250601,21,21,0,0,19,4.5,1.0,0.0
332,ATT000332,13,20250701,23,21,2,0,18,3.3,0.913,0.087
333,ATT000333,13,20250801,21,20,1,0,17,5.4,0.9524,0.0476
334,ATT000334,13,20250901,22,21,1,0,17,0.6,0.9545,0.0455
335,ATT000335,13,20251001,23,21,2,1,18,4.5,0.913,0.087
336,ATT000336,13,20251101,20,19,1,1,18,0.9,0.95,0.05
337,ATT000337,13,20251201,23,23,0,0,20,0.0,1.0,0.0
338,ATT000338,13,20260101,22,20,2,0,18,1.7,0.9091,0.0909
339,ATT000339,13,20260201,20,17,3,1,15,0.0,0.85,0.15
340,ATT000340,13,20260301,22,20,2,0,15,3.8,0.9091,0.0909
341,ATT000341,13,20260401,22,22,0,1,17,0.0,1.0,0.0
342,ATT000342,13,20260501,21,20,1,0,18,6.2,0.9524,0.0476
343,ATT000343,13,20260601,22,21,1,0,19,6.5,0.9545,0.0455
344,ATT000344,14,20240101,23,20,3,0,17,1.0,0.8696,0.1304
345,ATT000345,14,20240201,21,21,0,0,15,8.4,1.0,0.0
346,ATT000346,14,20240301,21,19,2,0,14,2.1,0.9048,0.0952
347,ATT000347,14,20240401,22,21,1,0,18,4.8,0.9545,0.0455
348,ATT000348,14,20240501,23,22,1,1,17,4.8,0.9565,0.0435
349,ATT000349,14,20240601,20,19,1,0,10,6.3,0.95,0.05
350,ATT000350,14,20240701,23,23,0,0,20,7.0,1.0,0.0
351,ATT000351,14,20240801,22,22,0,0,18,6.9,1.0,0.0
352,ATT000352,14,20240901,21,21,0,0,16,3.1,1.0,0.0
353,ATT000353,14,20241001,23,21,2,0,16,0.0,0.913,0.087
354,ATT000354,14,20241101,21,21,0,1,19,6.4,1.0,0.0
355,ATT000355,14,20241201,22,21,1,0,21,9.6,0.9545,0.0455
356,ATT000356,14,20250101,23,23,0,0,21,5.2,1.0,0.0
357,ATT000357,14,20250201,20,19,1,0,14,5.5,0.95,0.05
358,ATT000358,14,20250301,21,20,1,0,16,3.6,0.9524,0.0476
359,ATT000359,14,20250401,22,21,1,1,17,5.8,0.9545,0.0455
360,ATT000360,14,20250501,22,21,1,0,17,0.0,0.9545,0.0455
361,ATT000361,14,20250601,21,20,1,0,18,4.4,0.9524,0.0476
362,ATT000362,14,20250701,23,20,3,1,19,4.5,0.8696,0.1304
363,ATT000363,14,20250801,21,21,0,0,21,2.6,1.0,0.0
364,ATT000364,14,20250901,22,21,1,0,13,0.1,0.9545,0.0455
365,ATT000365,14,20251001,23,21,2,0,16,0.0,0.913,0.087
366,ATT000366,14,20251101,20,17,3,0,17,6.3,0.85,0.15
367,ATT000367,14,20251201,23,22,1,0,18,6.8,0.9565,0.0435
368,ATT000368,14,20260101,22,21,1,0,17,2.4,0.9545,0.0455
369,ATT000369,14,20260201,20,19,1,0,15,1.7,0.95,0.05
370,ATT000370,14,20260301,22,21,1,0,20,0.6,0.9545,0.0455
371,ATT000371,14,20260401,22,22,0,0,16,0.0,1.0,0.0
