employee_id,age,gender,department,job_role,job_level,location,work_mode,tenure_years,annual_salary,salary_band,absence_rate,late_arrivals,training_hours,training_completion_flag,training_completion_rate,performance_rating,potential_rating,promotion_flag,attrition_flag
EMP0111,25,Female,IT,Junior Software Developer,Junior,Edinburgh,Office,7.25,29000,Under 30K,0.025,5,3.4,0,0.0,3,2,0,0
EMP0112,39,Not disclosed,Customer Support,Customer Support Specialist,Mid,Birmingham,Office,1.62,40000,40K-50K,0.0767,9,37.0,1,0.8,4,4,0,0
EMP0113,42,Male,IT,IT Manager,Manager,London,Office,5.31,90000,80K-100K,0.1014,14,28.2,1,0.75,4,3,0,0
EMP0114,38,Male,Finance,Finance Analyst,Mid,Birmingham,Hybrid,0.45,45500,40K-50K,0.0542,3,14.8,1,1.0,,,0,0
EMP0115,39,Male,Operations,Operations Assistant,Junior,Birmingham,Remote,7.08,28000,Under 30K,0.0368,2,27.7,1,0.6667,2,2,0,0
EMP0116,63,Not disclosed,Marketing,Marketing Manager,Manager,Manchester,Remote,0.82,87000,80K-100K,0.0501,3,34.3,1,1.0,1,1,0,0
EMP0117,38,Male,Sales,Senior Account Executive,Senior,London,Remote,8.22,64000,50K-65K,0.1359,34,34.8,1,0.6667,5,5,0,0
EMP0118,47,Female,Sales,Sales Executive,Mid,Leeds,Hybrid,4.62,46500,40K-50K,0.1087,26,13.4,1,1.0,4,4,0,0
EMP0119,30,Male,Operations,Operations Manager,Manager,Birmingham,Hybrid,1.39,61500,50K-65K,0.0981,13,18.8,0,0.0,3,3,0,0
EMP0120,25,Male,Operations,Operations Assistant,Junior,London,Remote,6.62,29000,Under 30K,0.0187,5,43.1,1,0.6667,3,4,0,0
EMP0121,30,Female,IT,Data Analyst,Mid,Birmingham,Remote,5.91,38500,30K-40K,0.1377,37,40.6,1,1.0,3,3,0,0
EMP0122,49,Female,Legal,Legal Assistant,Junior,London,Hybrid,5.98,40500,40K-50K,0.1274,28,3.6,1,1.0,3,3,0,0
EMP0123,35,Female,Operations,Operations Assistant,Junior,Bristol,Remote,8.97,30000,30K-40K,0.0833,18,29.3,1,1.0,1,1,0,0
EMP0124,58,Female,Customer Support,Senior Support Specialist,Senior,Leeds,Office,3.01,49000,40K-50K,0.2237,25,17.0,1,1.0,,,0,1
EMP0125,45,Female,Finance,Accounts Assistant,Junior,London,Hybrid,2.52,29500,Under 30K,0.0928,17,29.8,1,0.5,5,5,0,0
EMP0126,39,Male,Operations,Senior Operations Specialist,Senior,Bristol,Remote,6.72,52000,50K-65K,0.1961,51,14.6,1,1.0,4,5,0,0
EMP0127,22,Male,Finance,Accounts Assistant,Junior,Leeds,Office,8.85,30500,30K-40K,0.0513,12,13.7,1,1.0,4,5,0,0
EMP0128,30,Female,Operations,Operations Director,Director,London,Office,4.16,100000,100K+,0.0575,17,5.3,1,1.0,3,3,0,0
EMP0129,25,Male,Customer Support,Senior Support Specialist,Senior,London,Hybrid,1.77,60500,50K-65K,0.1,21,20.3,1,1.0,2,2,0,0
EMP0130,28,Female,Customer Support,Customer Support Specialist,Mid,London,Office,4.53,45000,40K-50K,0.0325,4,27.7,1,0.6667,2,2,0,1
EMP0131,34,Male,HR,HR Business Partner,Senior,Edinburgh,Remote,0.72,61500,50K-65K,0.1082,10,18.8,1,1.0,2,3,0,0
EMP0132,33,Male,Sales,Sales Development Representative,Junior,Birmingham,Hybrid,8.08,32500,30K-40K,0.0478,18,35.7,0,0.3333,4,4,1,0
EMP0133,37,Female,HR,HR Advisor,Mid,Birmingham,Hybrid,0.45,32500,30K-40K,0.0152,2,14.8,0,0.0,,,0,0
EMP0134,46,Female,HR,HR Business Partner,Senior,Birmingham,Hybrid,5.8,44500,40K-50K,0.0948,21,32.7,0,0.3333,5,5,1,0
EMP0135,44,Male,Finance,Finance Manager,Manager,London,Remote,9.46,90500,80K-100K,0.0539,14,28.7,0,0.25,4,3,0,0
EMP0136,37,Female,Customer Support,Customer Support Manager,Manager,Manchester,Hybrid,9.2,61500,50K-65K,0.0214,7,36.9,1,1.0,4,4,0,0
EMP0137,53,Female,Customer Support,Senior Support Specialist,Senior,Edinburgh,Remote,0.8,52000,50K-65K,0.0457,8,31.2,1,1.0,3,4,0,0
EMP0138,37,Female,IT,Junior Software Developer,Junior,Bristol,Office,4.13,35000,30K-40K,0.0856,22,23.0,1,1.0,4,4,0,0
EMP0139,50,Female,Customer Support,Customer Support Specialist,Mid,Birmingham,Office,5.79,33500,30K-40K,0.0515,6,26.3,1,0.6667,5,5,0,0
EMP0140,31,Female,IT,Data Analyst,Mid,Manchester,Remote,2.03,51500,50K-65K,0.0411,12,18.1,1,0.6667,4,5,0,0
EMP0141,36,Male,Legal,Legal Manager,Manager,London,Remote,1.37,106000,100K+,0.1041,14,7.1,1,1.0,4,4,0,0
EMP0142,32,Female,Sales,Sales Development Representative,Junior,Bristol,Office,9.38,30000,30K-40K,0.1316,33,3.2,1,1.0,3,2,0,0
EMP0143,35,Female,Sales,Sales Executive,Mid,Manchester,Office,4.55,46000,40K-50K,0.0104,1,36.7,1,0.75,4,5,0,0
EMP0144,34,Female,Sales,Senior Account Executive,Senior,Bristol,Office,1.38,64000,50K-65K,0.1245,14,11.2,1,0.5,4,4,0,0
EMP0145,37,Male,Legal,Legal Assistant,Junior,Leeds,Remote,6.18,32500,30K-40K,0.0855,23,41.0,1,0.6,4,5,1,0
EMP0146,26,Male,Customer Support,Customer Support Specialist,Mid,Bristol,Office,1.6,37000,30K-40K,0.0747,14,15.8,0,0.3333,4,4,0,0
EMP0147,28,Female,Operations,Operations Assistant,Junior,London,Office,9.12,26500,Under 30K,0.115,25,34.3,1,0.75,3,3,0,0
EMP0148,45,Male,IT,Junior Software Developer,Junior,Bristol,Hybrid,5.18,34500,30K-40K,0.0768,20,52.3,1,0.75,4,4,0,0
EMP0149,37,Female,IT,Junior Software Developer,Junior,London,Hybrid,5.47,39500,30K-40K,0.101,28,14.7,1,0.6667,4,4,1,0
EMP0150,53,Female,Finance,Finance Analyst,Mid,Birmingham,Remote,5.22,34000,30K-40K,0.0527,13,32.0,1,1.0,2,2,0,0
EMP0151,36,Male,Sales,Sales Development Representative,Junior,Edinburgh,Office,0.34,30000,30K-40K,0.1676,4,7.0,1,0.5,,,0,0
EMP0152,32,Not disclosed,Marketing,Senior Marketing Specialist,Senior,Edinburgh,Office,2.92,48500,40K-50K,0.1312,34,32.4,1,1.0,3,2,0,0
EMP0153,26,Female,IT,Senior Data Engineer,Senior,Birmingham,Hybrid,7.54,63500,50K-65K,0.1352,30,31.7,1,0.75,3,2,0,1
EMP0154,37,Female,Sales,Sales Executive,Mid,Manchester,Hybrid,8.06,47000,40K-50K,0.0737,19,20.9,0,0.3333,3,4,0,0
EMP0155,25,Female,IT,Data Analyst,Mid,Birmingham,Office,7.74,43000,40K-50K,0.1092,23,19.0,0,0.0,4,3,0,1
EMP0156,31,Female,Finance,Senior Finance Analyst,Senior,London,Office,8.0,71500,65K-80K,0.0497,12,1.2,0,0.0,3,3,0,0
EMP0157,31,Male,IT,Junior Software Developer,Junior,Leeds,Office,8.46,26500,Under 30K,0.0681,13,7.1,0,0.0,3,3,0,0
EMP0158,39,Female,Marketing,Senior Marketing Specialist,Senior,Manchester,Hybrid,7.0,64000,50K-65K,0.0677,22,41.3,1,1.0,2,1,0,0
EMP0159,30,Female,Customer Support,Senior Support Specialist,Senior,Manchester,Hybrid,3.5,59500,50K-65K,0.1023,26,20.6,0,0.0,5,5,0,0
EMP0160,33,Female,IT,Data Analyst,Mid,London,Remote,5.67,45000,40K-50K,0.1263,26,20.0,1,0.5,5,5,0,0
EMP0161,39,Male,Sales,Sales Development Representative,Junior,London,Hybrid,6.54,30500,30K-40K,0.2078,41,7.4,1,1.0,3,5,0,0
EMP0162,43,Female,Legal,Legal Assistant,Junior,Edinburgh,Hybrid,6.4,33500,30K-40K,0.1105,21,30.7,1,1.0,4,3,0,0
EMP0163,46,Female,Sales,Sales Development Representative,Junior,Manchester,Office,7.69,30500,30K-40K,0.0641,22,6.0,1,1.0,3,4,0,0
EMP0164,30,Female,Operations,Operations Analyst,Mid,Manchester,Office,1.1,41500,40K-50K,0.2,20,2.4,0,0.0,3,2,0,1
EMP0165,39,Female,HR,HR Manager,Manager,Manchester,Remote,2.83,76000,65K-80K,0.0943,20,33.1,1,1.0,3,3,0,0
EMP0166,30,Female,HR,HR Advisor,Mid,Edinburgh,Office,8.96,31500,30K-40K,0.1241,23,28.2,1,1.0,5,5,0,0
EMP0167,31,Male,Finance,Accounts Assistant,Junior,Edinburgh,Hybrid,3.44,33500,30K-40K,0.1015,27,24.0,1,0.6667,4,5,0,0
EMP0168,45,Male,Sales,Sales Development Representative,Junior,London,Office,2.4,35500,30K-40K,0.0953,18,11.5,0,0.0,4,3,0,0
EMP0169,41,Female,Finance,Finance Manager,Manager,London,Hybrid,4.24,104500,100K+,0.0139,7,60.9,1,0.8,2,2,0,0
EMP0170,44,Male,HR,HR Business Partner,Senior,London,Office,8.75,66000,65K-80K,0.0855,30,34.5,1,0.5,4,3,0,0
EMP0171,47,Male,Operations,Senior Operations Specialist,Senior,Bristol,Hybrid,8.51,58500,50K-65K,0.1252,23,24.4,1,1.0,4,3,0,0
EMP0172,23,Male,IT,Data Analyst,Mid,Manchester,Remote,5.02,37500,30K-40K,0.0257,7,8.0,1,1.0,3,4,0,0
EMP0173,30,Male,IT,Data Analyst,Mid,London,Hybrid,6.59,41500,40K-50K,0.1638,30,41.4,1,0.75,4,3,0,0
EMP0174,38,Female,HR,HR Assistant,Junior,Manchester,Hybrid,6.57,27500,Under 30K,0.1201,22,18.2,1,1.0,5,5,0,1
EMP0175,34,Female,Finance,Accounts Assistant,Junior,Manchester,Hybrid,5.01,32000,30K-40K,0.1571,25,1.4,1,1.0,3,3,0,0
EMP0176,34,Female,Customer Support,Customer Support Advisor,Junior,Bristol,Office,9.4,28500,Under 30K,0.0718,15,13.3,1,1.0,4,4,0,0
EMP0177,31,Female,Sales,Sales Development Representative,Junior,Leeds,Remote,0.85,24500,Under 30K,0.0763,5,23.7,1,0.6667,2,1,0,0
EMP0178,35,Female,IT,Junior Software Developer,Junior,Birmingham,Office,6.7,28000,Under 30K,0.0488,15,29.6,1,0.6667,2,1,0,0
EMP0179,22,Female,Customer Support,Customer Support Manager,Manager,Bristol,Hybrid,7.18,59000,50K-65K,0.0369,7,41.3,1,1.0,3,2,0,0
EMP0180,32,Female,Operations,Senior Operations Specialist,Senior,Manchester,Remote,9.48,47000,40K-50K,0.0826,15,16.5,1,0.6667,4,4,0,0
EMP0181,30,Male,Operations,Senior Operations Specialist,Senior,Manchester,Office,5.32,57500,50K-65K,0.0599,12,25.3,1,1.0,4,5,0,0
EMP0182,37,Male,Operations,Senior Operations Specialist,Senior,Birmingham,Hybrid,1.51,56000,50K-65K,0.0684,9,6.3,1,1.0,3,3,0,0
EMP0183,54,Male,IT,Data Analyst,Mid,Bristol,Hybrid,2.9,52500,50K-65K,0.105,22,27.9,1,1.0,4,4,0,0
EMP0184,46,Female,IT,Data Analyst,Mid,London,Office,9.04,41500,40K-50K,0.109,30,16.7,1,0.5,2,1,0,0
