training_key,training_id,employee_key,assigned_date_key,completion_date_key,course_name,course_category,completion_status,completion_flag,training_hours,training_score
43,TRN000044,15,20250316,20250325,Data Protection Training,Compliance,Completed,1,7.7,95.1
44,TRN000043,15,20250718,,Data Protection Training,Compliance,In Progress,0,2.8,
45,TRN000046,16,20240510,,Communication Skills,Soft Skills,In Progress,0,2.8,
46,TRN000047,16,20241204,,Presentation Skills,Soft Skills,Not Started,0,15.6,
47,TRN000045,16,20260612,,Leading High Performing Teams,Leadership,In Progress,0,7.1,
48,TRN000049,17,20250201,20250204,Power BI Fundamentals,Technical,Completed,1,8.2,91.0
49,TRN000048,17,20250329,,Communication Skills,Soft Skills,In Progress,0,10.2,
50,TRN000052,18,20240215,20240226,SQL for Analysts,Technical,Completed,1,7.9,45.9
51,TRN000050,18,20240229,20240304,Information Security Awareness,Compliance,Completed,1,8.9,85.4
52,TRN000051,18,20240331,20240410,Financial Controls,Finance,Completed,1,11.4,91.8
53,TRN000053,19,20260406,20260516,Employee Relations Essentials,HR,Completed,1,13.1,69.3
54,TRN000055,20,20240313,,Financial Controls,Finance,In Progress,0,2.9,
55,TRN000054,20,20240515,,Budget Management,Finance,Overdue,0,2.2,
56,TRN000059,21,20240417,,Stakeholder Management,Soft Skills,Not Started,0,11.4,
57,TRN000058,21,20250429,,Financial Controls,Finance,Not Started,0,3.5,
58,TRN000057,21,20260304,20260412,First Line Manager Training,Leadership,Completed,1,9.9,89.1
59,TRN000056,21,20260507,20260612,Budget Management,Finance,Completed,1,5.2,82.7
60,TRN000062,22,20240526,20240706,Python for Data Analysis,Technical,Completed,1,5.6,88.4
61,TRN000061,22,20240811,20240914,Inclusive Hiring,HR,Completed,1,7.9,82.1
62,TRN000060,22,20250329,20250504,SQL for Analysts,Technical,Completed,1,4.5,82.1
63,TRN000063,23,20240501,20240603,Employee Relations Essentials,HR,Completed,1,8.6,87.4
64,TRN000064,23,20241228,,Employee Relations Essentials,HR,Overdue,0,3.4,
65,TRN000065,23,20260315,20260327,Information Security Awareness,Compliance,Completed,1,12.2,84.8
66,TRN000066,23,20260628,20260630,Cloud Data Fundamentals,Technical,Completed,1,1.1,91.0
67,TRN000069,24,20250626,20250802,SQL for Analysts,Technical,Completed,1,3.3,86.6
68,TRN000068,24,20250731,,Budget Management,Finance,In Progress,0,9.2,
69,TRN000067,24,20260507,20260522,Power BI Fundamentals,Technical,Completed,1,3.3,76.0
70,TRN000070,25,20240912,20240916,Cloud Data Fundamentals,Technical,Completed,1,7.9,71.8
71,TRN000073,25,20240916,20240926,Cloud Data Fundamentals,Technical,Completed,1,8.1,61.3
72,TRN000072,25,20251012,20251030,Budget Management,Finance,Completed,1,8.4,83.2
73,TRN000071,25,20260224,,Coaching Skills,Leadership,Overdue,0,9.9,
74,TRN000074,26,20241111,20241222,Presentation Skills,Soft Skills,Completed,1,14.3,61.9
75,TRN000075,26,20260502,,First Line Manager Training,Leadership,Overdue,0,2.8,
76,TRN000077,27,20260318,20260421,Data Protection Training,Compliance,Completed,1,4.4,59.6
77,TRN000076,27,20260326,20260418,Data Protection Training,Compliance,Completed,1,4.1,97.0
78,TRN000078,27,20260425,20260531,Python for Data Analysis,Technical,Completed,1,10.1,53.9
79,TRN000079,28,20260416,20260430,Employee Relations Essentials,HR,Completed,1,4.0,89.9
80,TRN000080,28,20260429,,Inclusive Hiring,HR,Not Started,0,4.8,
81,TRN000082,28,20260515,20260519,SQL for Analysts,Technical,Completed,1,4.4,76.8
82,TRN000081,28,20260516,,SQL for Analysts,Technical,Overdue,0,10.9,
83,TRN000083,29,20250923,20251031,Coaching Skills,Leadership,Completed,1,5.7,78.3
84,TRN000084,29,20251028,,Data Protection Training,Compliance,Overdue,0,3.3,
85,TRN000086,30,20240325,,Communication Skills,Soft Skills,Overdue,0,3.2,
86,TRN000085,30,20260620,20260627,Presentation Skills,Soft Skills,Completed,1,12.5,84.4
87,TRN000088,31,20250829,20250905,Inclusive Hiring,HR,Completed,1,8.3,79.9
88,TRN000087,31,20260101,20260106,First Line Manager Training,Leadership,Completed,1,12.4,63.1
89,TRN000089,31,20260426,,Employee Relations Essentials,HR,Not Started,0,11.6,
90,TRN000090,32,20240428,,Communication Skills,Soft Skills,Overdue,0,2.1,
91,TRN000091,33,20260607,20260630,Employee Relations Essentials,HR,Completed,1,9.2,79.6
92,TRN000094,34,20240623,20240710,Communication Skills,Soft Skills,Completed,1,15.1,81.0
93,TRN000092,34,20250518,,Employee Relations Essentials,HR,In Progress,0,13.2,
94,TRN000093,34,20260124,20260309,Presentation Skills,Soft Skills,Completed,1,2.1,86.1
95,TRN000096,35,20240413,20240510,Budget Management,Finance,Completed,1,9.0,70.2
96,TRN000095,35,20260329,20260505,Information Security Awareness,Compliance,Completed,1,3.0,62.6
97,TRN000097,36,20240120,20240228,Budget Management,Finance,Completed,1,5.3,85.6
98,TRN000099,36,20240630,20240721,Workplace Health and Safety,Compliance,Completed,1,11.8,83.7
99,TRN000098,36,20250512,20250516,Inclusive Hiring,HR,Completed,1,1.4,55.4
100,TRN000100,36,20260209,20260215,Leading High Performing Teams,Leadership,Completed,1,15.2,78.0
101,TRN000102,37,20240930,20241022,First Line Manager Training,Leadership,Completed,1,15.6,70.1
102,TRN000101,37,20250629,,Workplace Health and Safety,Compliance,Not Started,0,9.5,
103,TRN000103,38,20240611,,Financial Controls,Finance,Overdue,0,15.2,
104,TRN000105,38,20250222,20250326,Python for Data Analysis,Technical,Completed,1,10.2,71.9
105,TRN000104,38,20260106,20260211,Workplace Health and Safety,Compliance,Completed,1,3.3,82.4
106,TRN000106,39,20240701,20240707,Leading High Performing Teams,Leadership,Completed,1,9.8,97.8
107,TRN000107,40,20260313,,Financial Controls,Finance,In Progress,0,11.1,
108,TRN000111,41,20240121,,Cloud Data Fundamentals,Technical,Overdue,0,9.9,
109,TRN000110,41,20241228,20250108,Budget Management,Finance,Completed,1,1.2,68.1
110,TRN000109,41,20250827,20250914,Stakeholder Management,Soft Skills,Completed,1,3.7,79.8
111,TRN000108,41,20251027,20251110,Presentation Skills,Soft Skills,Completed,1,3.7,75.0
112,TRN000112,41,20260502,20260519,First Line Manager Training,Leadership,Completed,1,2.4,73.8
113,TRN000114,42,20250106,20250117,Data Protection Training,Compliance,Completed,1,5.6,78.4
114,TRN000113,42,20260202,20260206,Workplace Health and Safety,Compliance,Completed,1,1.6,77.2
115,TRN000117,43,20250619,20250705,Workplace Health and Safety,Compliance,Completed,1,9.1,82.3
116,TRN000116,43,20250722,20250819,Leading High Performing Teams,Leadership,Completed,1,7.2,88.0
117,TRN000118,43,20251229,20260131,Coaching Skills,Leadership,Completed,1,8.6,46.9
118,TRN000115,43,20260222,20260403,Coaching Skills,Leadership,Completed,1,1.7,73.7
119,TRN000120,44,20240305,,First Line Manager Training,Leadership,In Progress,0,14.1,
120,TRN000119,44,20260515,,Cloud Data Fundamentals,Technical,In Progress,0,11.5,
121,TRN000124,45,20240502,20240512,Stakeholder Management,Soft Skills,Completed,1,7.4,57.5
122,TRN000123,45,20250328,20250508,Financial Controls,Finance,Completed,1,6.6,100.0
123,TRN000122,45,20250412,20250520,Budget Management,Finance,Completed,1,4.7,80.2
124,TRN000121,45,20251120,20251218,Budget Management,Finance,Completed,1,11.0,74.6
125,TRN000125,46,20241221,20241229,Budget Management,Finance,Completed,1,4.6,90.8
126,TRN000128,47,20240203,20240309,Communication Skills,Soft Skills,Completed,1,9.6,85.2
127,TRN000129,47,20240329,20240401,Financial Controls,Finance,Completed,1,2.0,89.7
128,TRN000127,47,20240923,20241009,Presentation Skills,Soft Skills,Completed,1,5.6,57.0
129,TRN000126,47,20260523,,Stakeholder Management,Soft Skills,In Progress,0,14.3,
130,TRN000134,48,20250710,20250728,Inclusive Hiring,HR,Completed,1,14.0,81.5
131,TRN000133,48,20250731,20250817,First Line Manager Training,Leadership,Completed,1,13.9,82.9
132,TRN000131,48,20250829,20250924,SQL for Analysts,Technical,Completed,1,1.8,84.9
133,TRN000132,48,20250911,,SQL for Analysts,Technical,In Progress,0,10.8,
134,TRN000130,48,20250927,,Communication Skills,Soft Skills,Not Started,0,12.1,
135,TRN000136,49,20240729,20240911,Cloud Data Fundamentals,Technical,Completed,1,12.7,69.6
136,TRN000138,49,20250102,,Cloud Data Fundamentals,Technical,In Progress,0,11.1,
137,TRN000135,49,20260222,20260314,Communication Skills,Soft Skills,Completed,1,12.5,81.2
138,TRN000137,49,20260309,,Workplace Health and Safety,Compliance,Not Started,0,1.5,
139,TRN000140,50,20240317,20240419,Data Protection Training,Compliance,Completed,1,7.8,77.6
140,TRN000139,50,20240418,,Financial Controls,Finance,Overdue,0,14.2,
141,TRN000141,51,20241007,20241031,Budget Management,Finance,Completed,1,12.7,81.7
142,TRN000142,52,20250503,20250604,Power BI Fundamentals,Technical,Completed,1,4.0,63.1
143,TRN000145,53,20240102,20240211,Budget Management,Finance,Completed,1,15.2,62.5
144,TRN000144,53,20241002,,Presentation Skills,Soft Skills,Overdue,0,15.8,
145,TRN000143,53,20260202,,Information Security Awareness,Compliance,Overdue,0,8.3,
146,TRN000146,54,20260531,20260616,Communication Skills,Soft Skills,Completed,1,15.4,64.6
147,TRN000147,55,20241024,,Communication Skills,Soft Skills,Not Started,0,12.3,
148,TRN000148,55,20250101,,Employee Relations Essentials,HR,Not Started,0,13.1,
149,TRN000149,56,20240101,,Presentation Skills,Soft Skills,Overdue,0,10.1,
150,TRN000150,56,20240107,20240125,First Line Manager Training,Leadership,Completed,1,10.0,73.6
151,TRN000151,57,20251219,20260109,Inclusive Hiring,HR,Completed,1,11.3,62.7
152,TRN000152,57,20260501,,Financial Controls,Finance,In Progress,0,8.5,
153,TRN000153,58,20250203,,Stakeholder Management,Soft Skills,In Progress,0,13.9,
154,TRN000154,58,20260421,20260428,Employee Relations Essentials,HR,Completed,1,7.1,76.9
155,TRN000155,59,20241129,20241206,First Line Manager Training,Leadership,Completed,1,6.4,92.6
156,TRN000156,59,20260308,20260326,Financial Controls,Finance,Completed,1,1.9,81.9
157,TRN000157,60,20250907,20250926,Presentation Skills,Soft Skills,Completed,1,7.2,74.8
158,TRN000158,61,20240318,20240327,Inclusive Hiring,HR,Completed,1,10.4,52.3
159,TRN000162,62,20250129,,Employee Relations Essentials,HR,Not Started,0,1.6,
160,TRN000161,62,20250506,20250530,Employee Relations Essentials,HR,Completed,1,6.2,80.8
161,TRN000159,62,20250606,20250622,First Line Manager Training,Leadership,Completed,1,13.9,87.5
162,TRN000160,62,20260110,20260113,Workplace Health and Safety,Compliance,Completed,1,12.2,68.9
163,TRN000165,63,20250329,20250420,Inclusive Hiring,HR,Completed,1,1.0,82.6
164,TRN000164,63,20250612,,Presentation Skills,Soft Skills,Not Started,0,8.3,
165,TRN000163,63,20260413,20260424,Communication Skills,Soft Skills,Completed,1,11.3,65.5
166,TRN000167,64,20240121,20240216,Stakeholder Management,Soft Skills,Completed,1,8.6,90.1
167,TRN000166,64,20250420,20250523,Presentation Skills,Soft Skills,Completed,1,6.6,75.3
168,TRN000168,64,20250817,,Stakeholder Management,Soft Skills,Not Started,0,7.1,
169,TRN000169,64,20260117,,Power BI Fundamentals,Technical,Not Started,0,13.0,
170,TRN000170,65,20250310,,Financial Controls,Finance,Not Started,0,5.0,
171,TRN000174,66,20250110,20250221,Information Security Awareness,Compliance,Completed,1,1.3,96.1
172,TRN000171,66,20250202,,Presentation Skills,Soft Skills,Overdue,0,5.8,
173,TRN000172,66,20250811,20250922,Stakeholder Management,Soft Skills,Completed,1,13.5,85.8
174,TRN000173,66,20260606,,SQL for Analysts,Technical,Not Started,0,11.6,
175,TRN000175,67,20240111,,Financial Controls,Finance,In Progress,0,4.5,
176,TRN000176,68,20260617,20260630,Inclusive Hiring,HR,Completed,1,4.6,89.5
177,TRN000177,69,20240812,,Workplace Health and Safety,Compliance,In Progress,0,10.9,
178,TRN000178,70,20240810,,Employee Relations Essentials,HR,Overdue,0,6.2,
179,TRN000179,70,20251108,20251122,Inclusive Hiring,HR,Completed,1,2.2,76.3
180,TRN000180,71,20240730,,Financial Controls,Finance,Not Started,0,1.2,
181,TRN000181,71,20250120,20250218,Coaching Skills,Leadership,Completed,1,6.0,77.6
182,TRN000182,72,20251217,,First Line Manager Training,Leadership,Overdue,0,6.8,
183,TRN000183,72,20260215,,SQL for Analysts,Technical,Overdue,0,7.7,
184,TRN000184,73,20251105,20251115,Financial Controls,Finance,Completed,1,9.4,82.0
185,TRN000185,73,20260410,,Cloud Data Fundamentals,Technical,Overdue,0,5.1,
186,TRN000186,73,20260517,,Data Protection Training,Compliance,Not Started,0,14.7,
187,TRN000187,74,20250115,20250205,Cloud Data Fundamentals,Technical,Completed,1,3.9,90.3
188,TRN000188,74,20260531,,Information Security Awareness,Compliance,Overdue,0,7.1,
189,TRN000189,75,20240303,,Stakeholder Management,Soft Skills,In Progress,0,2.6,
190,TRN000190,75,20260112,20260125,Data Protection Training,Compliance,Completed,1,15.0,79.0
191,TRN000191,75,20260412,20260429,Coaching Skills,Leadership,Completed,1,2.6,72.7
192,TRN000193,76,20240629,20240810,Coaching Skills,Leadership,Completed,1,7.7,71.9
193,TRN000194,76,20240915,,Python for Data Analysis,Technical,In Progress,0,10.7,
194,TRN000192,76,20241022,,Information Security Awareness,Compliance,Not Started,0,11.8,
195,TRN000195,77,20251025,20251124,Budget Management,Finance,Completed,1,12.1,76.0
196,TRN000196,77,20251124,20251229,Communication Skills,Soft Skills,Completed,1,5.1,91.2
197,TRN000197,78,20260302,,Workplace Health and Safety,Compliance,Overdue,0,2.8,
198,TRN000199,78,20260329,,Data Protection Training,Compliance,Overdue,0,7.2,
199,TRN000198,78,20260622,,Coaching Skills,Leadership,Not Started,0,9.4,
200,TRN000200,79,20260206,,SQL for Analysts,Technical,In Progress,0,6.0,
201,TRN000201,80,20260624,20260630,Power BI Fundamentals,Technical,Completed,1,2.3,84.9
202,TRN000204,81,20240406,,Financial Controls,Finance,Overdue,0,10.5,
203,TRN000202,81,20241128,,Python for Data Analysis,Technical,In Progress,0,3.6,
204,TRN000203,81,20260606,20260630,Employee Relations Essentials,HR,Completed,1,11.1,48.1
205,TRN000205,82,20260412,,SQL for Analysts,Technical,Not Started,0,6.7,
206,TRN000206,82,20260614,20260630,Leading High Performing Teams,Leadership,Completed,1,2.1,62.4
207,TRN000207,83,20240525,20240606,Inclusive Hiring,HR,Completed,1,14.4,79.8
208,TRN000211,83,20241210,20250117,Python for Data Analysis,Technical,Completed,1,10.0,77.8
209,TRN000210,83,20250324,20250402,Inclusive Hiring,HR,Completed,1,7.8,79.9
210,TRN000208,83,20250718,20250731,Leading High Performing Teams,Leadership,Completed,1,5.8,53.9
211,TRN000209,83,20260608,,Information Security Awareness,Compliance,Not Started,0,1.2,
212,TRN000212,84,20251021,20251031,Budget Management,Finance,Completed,1,1.3,75.9
213,TRN000214,84,20260101,20260122,First Line Manager Training,Leadership,Completed,1,11.3,80.9
214,TRN000215,84,20260205,20260209,Stakeholder Management,Soft Skills,Completed,1,1.5,100.0
215,TRN000216,84,20260322,20260415,Information Security Awareness,Compliance,Completed,1,9.1,72.9
216,TRN000213,84,20260511,20260621,Cloud Data Fundamentals,Technical,Completed,1,7.4,68.4
217,TRN000217,85,20241123,20241229,Budget Management,Finance,Completed,1,2.4,91.1
218,TRN000219,86,20240516,20240616,Stakeholder Management,Soft Skills,Completed,1,7.2,73.6
219,TRN000220,86,20240822,,Data Protection Training,Compliance,In Progress,0,15.2,
220,TRN000218,86,20250320,20250328,Cloud Data Fundamentals,Technical,Completed,1,12.9,75.5
221,TRN000221,87,20260306,20260330,Employee Relations Essentials,HR,Completed,1,12.0,71.1
222,TRN000224,88,20240228,,Budget Management,Finance,In Progress,0,1.7,
223,TRN000223,88,20240415,20240523,Stakeholder Management,Soft Skills,Completed,1,8.3,93.3
224,TRN000225,88,20240625,,Financial Controls,Finance,Not Started,0,5.3,
225,TRN000222,88,20240706,,Inclusive Hiring,HR,Not Started,0,6.7,
226,TRN000226,89,20241020,,Coaching Skills,Leadership,Not Started,0,13.3,
227,TRN000227,89,20241203,20241220,Inclusive Hiring,HR,Completed,1,11.2,87.6
228,TRN000228,90,20240211,,SQL for Analysts,Technical,Overdue,0,6.4,
229,TRN000230,90,20250925,,Cloud Data Fundamentals,Technical,Not Started,0,15.7,
230,TRN000229,90,20250926,20251102,Stakeholder Management,Soft Skills,Completed,1,13.4,66.2
231,TRN000232,91,20250413,,Coaching Skills,Leadership,Not Started,0,15.0,
232,TRN000231,91,20251012,,First Line Manager Training,Leadership,Not Started,0,14.1,
233,TRN000233,91,20260402,20260506,First Line Manager Training,Leadership,Completed,1,8.8,89.3
234,TRN000234,92,20240719,20240811,Workplace Health and Safety,Compliance,Completed,1,1.6,65.7
235,TRN000235,92,20250511,20250605,Employee Relations Essentials,HR,Completed,1,6.4,76.1
236,TRN000236,93,20251109,,Leading High Performing Teams,Leadership,Overdue,0,6.2,
237,TRN000237,93,20260220,20260319,Data Protection Training,Compliance,Completed,1,13.7,77.9
238,TRN000238,94,20251105,,Leading High Performing Teams,Leadership,Not Started,0,15.8,
239,TRN000241,95,20240202,20240310,Power BI Fundamentals,Technical,Completed,1,15.0,79.6
240,TRN000240,95,20251020,,SQL for Analysts,Technical,Overdue,0,11.3,
241,TRN000239,95,20260412,20260426,Employee Relations Essentials,HR,Completed,1,11.1,68.9
242,TRN000242,95,20260530,20260619,Information Security Awareness,Compliance,Completed,1,12.4,74.8
243,TRN000245,96,20240410,,Inclusive Hiring,HR,Overdue,0,6.9,
244,TRN000244,96,20250604,20250626,Data Protection Training,Compliance,Completed,1,11.2,100.0
245,TRN000243,96,20260412,20260414,Information Security Awareness,Compliance,Completed,1,6.6,70.4
246,TRN000246,97,20250713,20250801,Financial Controls,Finance,Completed,1,10.0,77.8
247,TRN000248,97,20250818,20250908,Employee Relations Essentials,HR,Completed,1,8.9,84.6
248,TRN000247,97,20260515,,Information Security Awareness,Compliance,In Progress,0,6.7,
249,TRN000249,98,20260425,20260502,Financial Controls,Finance,Completed,1,7.8,86.4
250,TRN000251,98,20260528,,Inclusive Hiring,HR,In Progress,0,15.8,
251,TRN000252,98,20260529,20260601,First Line Manager Training,Leadership,Completed,1,8.7,100.0
252,TRN000250,98,20260531,20260613,Presentation Skills,Soft Skills,Completed,1,15.2,80.5
253,TRN000253,99,20240305,,Python for Data Analysis,Technical,Not Started,0,13.9,
254,TRN000254,99,20250330,20250426,Communication Skills,Soft Skills,Completed,1,13.3,85.8
255,TRN000256,100,20250204,20250219,Workplace Health and Safety,Compliance,Completed,1,5.7,54.7
256,TRN000255,100,20251221,,SQL for Analysts,Technical,In Progress,0,2.4,
257,TRN000258,101,20240404,,Inclusive Hiring,HR,In Progress,0,6.6,
258,TRN000257,101,20260129,20260228,Coaching Skills,Leadership,Completed,1,1.7,76.8
259,TRN000259,102,20250820,20250824,Stakeholder Management,Soft Skills,Completed,1,14.6,62.0
260,TRN000260,102,20260411,20260428,Stakeholder Management,Soft Skills,Completed,1,13.4,77.9
261,TRN000261,103,20241207,,Employee Relations Essentials,HR,Overdue,0,7.8,
262,TRN000265,103,20250111,,Workplace Health and Safety,Compliance,In Progress,0,6.0,
263,TRN000264,103,20250126,20250204,Inclusive Hiring,HR,Completed,1,3.6,87.0
264,TRN000262,103,20250817,20250910,First Line Manager Training,Leadership,Completed,1,14.1,77.5
265,TRN000263,103,20260217,20260326,Presentation Skills,Soft Skills,Completed,1,4.2,65.4
266,TRN000266,104,20250607,,First Line Manager Training,Leadership,In Progress,0,9.0,
267,TRN000267,104,20260102,,Data Protection Training,Compliance,In Progress,0,6.3,
268,TRN000268,105,20260418,20260531,Budget Management,Finance,Completed,1,7.0,60.8
269,TRN000269,106,20241212,,Data Protection Training,Compliance,Not Started,0,14.0,
270,TRN000270,106,20250109,20250214,Budget Management,Finance,Completed,1,10.9,84.4
271,TRN000274,107,20250927,20251108,Employee Relations Essentials,HR,Completed,1,15.0,45.0
272,TRN000273,107,20251208,20251225,Presentation Skills,Soft Skills,Completed,1,11.2,75.9
273,TRN000275,107,20260213,20260310,First Line Manager Training,Leadership,Completed,1,5.5,54.1
274,TRN000272,107,20260418,20260530,Presentation Skills,Soft Skills,Completed,1,13.4,97.9
275,TRN000271,107,20260521,20260611,Presentation Skills,Soft Skills,Completed,1,7.3,77.7
276,TRN000280,108,20240417,20240525,Leading High Performing Teams,Leadership,Completed,1,9.2,52.9
277,TRN000277,108,20240511,,Power BI Fundamentals,Technical,Overdue,0,15.3,
278,TRN000276,108,20250117,20250301,Python for Data Analysis,Technical,Completed,1,12.0,72.4
279,TRN000278,108,20250610,20250706,First Line Manager Training,Leadership,Completed,1,12.7,89.6
280,TRN000279,108,20260523,20260630,Financial Controls,Finance,Completed,1,13.8,62.3
281,TRN000282,109,20240218,20240320,Financial Controls,Finance,Completed,1,2.1,73.4
282,TRN000281,109,20251113,20251224,Presentation Skills,Soft Skills,Completed,1,8.0,84.6
283,TRN000283,110,20241117,20241230,Financial Controls,Finance,Completed,1,13.1,90.3
284,TRN000284,111,20260420,,Budget Management,Finance,Overdue,0,3.4,
285,TRN000289,112,20241211,20241216,Power BI Fundamentals,Technical,Completed,1,9.8,74.3
286,TRN000285,112,20241219,20241227,Python for Data Analysis,Technical,Completed,1,8.4,56.8
287,TRN000287,112,20250905,20251011,Coaching Skills,Leadership,Completed,1,12.4,60.5
288,TRN000286,112,20251227,20260128,Presentation Skills,Soft Skills,Completed,1,4.0,80.2
289,TRN000288,112,20260326,,Presentation Skills,Soft Skills,Not Started,0,2.4,
290,TRN000291,113,20240219,20240326,Budget Management,Finance,Completed,1,4.0,61.9
291,TRN000293,113,20260206,20260308,Cloud Data Fundamentals,Technical,Completed,1,7.5,75.6
292,TRN000290,113,20260212,,Financial Controls,Finance,Overdue,0,13.8,
293,TRN000292,113,20260531,20260627,Python for Data Analysis,Technical,Completed,1,2.9,83.4
294,TRN000294,114,20260305,20260407,SQL for Analysts,Technical,Completed,1,14.8,61.5
295,TRN000297,115,20240703,20240709,Inclusive Hiring,HR,Completed,1,7.9,59.2
296,TRN000295,115,20260414,,Cloud Data Fundamentals,Technical,Overdue,0,12.8,
297,TRN000296,115,20260418,20260422,Stakeholder Management,Soft Skills,Completed,1,7.0,97.5
298,TRN000298,116,20251020,20251107,Cloud Data Fundamentals,Technical,Completed,1,7.1,87.9
299,TRN000300,116,20251102,20251216,Coaching Skills,Leadership,Completed,1,5.3,65.5
300,TRN000299,116,20260120,20260201,Budget Management,Finance,Completed,1,7.6,77.8
301,TRN000301,116,20260402,20260416,First Line Manager Training,Leadership,Completed,1,14.3,70.4
302,TRN000304,117,20240916,20241002,Data Protection Training,Compliance,Completed,1,12.6,76.7
303,TRN000303,117,20260219,,Cloud Data Fundamentals,Technical,Overdue,0,14.9,
304,TRN000302,117,20260418,20260517,Inclusive Hiring,HR,Completed,1,7.3,69.7
305,TRN000305,118,20240704,20240715,Communication Skills,Soft Skills,Completed,1,13.4,81.2
306,TRN000308,119,20250826,,Information Security Awareness,Compliance,Overdue,0,8.8,
307,TRN000306,119,20251030,,Inclusive Hiring,HR,Overdue,0,4.4,
308,TRN000307,119,20251111,,Workplace Health and Safety,Compliance,Overdue,0,5.6,
309,TRN000309,120,20250806,20250908,Communication Skills,Soft Skills,Completed,1,15.3,86.3
310,TRN000311,120,20260312,20260322,SQL for Analysts,Technical,Completed,1,13.9,68.1
311,TRN000310,120,20260514,,Budget Management,Finance,Overdue,0,13.9,
312,TRN000312,121,20241019,20241120,Cloud Data Fundamentals,Technical,Completed,1,11.8,78.3
313,TRN000315,121,20250221,20250310,Inclusive Hiring,HR,Completed,1,12.1,89.1
314,TRN000314,121,20250310,20250315,Information Security Awareness,Compliance,Completed,1,8.6,65.3
315,TRN000313,121,20251213,20251226,Power BI Fundamentals,Technical,Completed,1,8.1,77.3
316,TRN000316,122,20260304,20260308,Budget Management,Finance,Completed,1,3.6,70.3
