attendance_id,employee_id,attendance_month,working_days,present_days,absent_days,late_arrivals,remote_work_days,overtime_hours,ingestion_timestamp,source_file_name,source_system,pipeline_run_id,attendance_rate,absence_rate
ATT000014,EMP0001,2025-02-01,20,17,3,0,14,0.0,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.85,0.15
ATT000015,EMP0001,2025-03-01,21,20,1,0,17,6.8,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9524,0.0476
ATT000016,EMP0001,2025-04-01,22,22,0,3,16,0.0,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1.0,0.0
ATT000017,EMP0001,2025-05-01,22,21,1,0,15,6.1,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9545,0.0455
ATT000018,EMP0001,2025-06-01,21,18,3,1,14,2.0,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8571,0.1429
ATT000019,EMP0001,2025-07-01,23,20,3,0,12,2.3,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8696,0.1304
ATT000020,EMP0001,2025-08-01,21,19,2,1,15,0.3,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9048,0.0952
ATT000021,EMP0001,2025-09-01,22,21,1,3,20,7.5,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9545,0.0455
ATT000022,EMP0001,2025-10-01,23,18,5,1,16,0.9,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.7826,0.2174
ATT000023,EMP0001,2025-11-01,20,18,2,1,15,7.8,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9,0.1
ATT000024,EMP0001,2025-12-01,23,19,4,0,12,5.1,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8261,0.1739
ATT000025,EMP0001,2026-01-01,22,18,4,2,15,9.1,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8182,0.1818
ATT000026,EMP0001,2026-02-01,20,20,0,0,15,7.6,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1.0,0.0
ATT000027,EMP0001,2026-03-01,22,19,3,1,12,2.2,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8636,0.1364
ATT000028,EMP0001,2026-04-01,22,20,2,1,18,0.7,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9091,0.0909
ATT000029,EMP0001,2026-05-01,21,19,2,2,19,3.7,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9048,0.0952
ATT000030,EMP0001,2026-06-01,22,18,4,5,14,8.9,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8182,0.1818
ATT000031,EMP0002,2024-01-01,23,22,1,0,11,3.5,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9565,0.0435
ATT000032,EMP0002,2024-02-01,21,21,0,0,4,5.9,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1.0,0.0
ATT000033,EMP0002,2024-03-01,21,19,2,1,8,0.0,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9048,0.0952
ATT000034,EMP0002,2024-04-01,22,22,0,1,11,5.1,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1.0,0.0
ATT000035,EMP0002,2024-05-01,23,22,1,2,9,0.8,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9565,0.0435
ATT000036,EMP0002,2024-06-01,20,20,0,0,6,2.4,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1.0,0.0
ATT000037,EMP0002,2024-07-01,23,23,0,0,11,1.0,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1.0,0.0
ATT000038,EMP0002,2024-08-01,22,22,0,0,13,6.8,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1.0,0.0
ATT000039,EMP0002,2024-09-01,21,19,2,2,4,0.0,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9048,0.0952
ATT000040,EMP0002,2024-10-01,23,21,2,0,7,7.6,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.913,0.087
ATT000041,EMP0002,2024-11-01,21,20,1,1,11,8.0,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9524,0.0476
ATT000042,EMP0002,2024-12-01,22,21,1,0,8,0.7,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9545,0.0455
ATT000043,EMP0002,2025-01-01,23,22,1,1,8,1.8,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9565,0.0435
ATT000044,EMP0002,2025-02-01,20,20,0,0,14,1.4,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1.0,0.0
ATT000045,EMP0002,2025-03-01,21,19,2,0,7,7.6,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9048,0.0952
ATT000046,EMP0002,2025-04-01,22,19,3,0,4,7.1,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8636,0.1364
ATT000047,EMP0002,2025-05-01,22,22,0,0,2,1.5,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1.0,0.0
ATT000048,EMP0002,2025-06-01,21,21,0,0,11,0.0,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1.0,0.0
ATT000049,EMP0002,2025-07-01,23,22,1,0,16,8.2,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9565,0.0435
ATT000050,EMP0002,2025-08-01,21,20,1,0,7,0.0,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9524,0.0476
ATT000051,EMP0002,2025-09-01,22,21,1,1,9,2.4,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9545,0.0455
ATT000052,EMP0002,2025-10-01,23,23,0,0,6,7.5,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1.0,0.0
ATT000053,EMP0002,2025-11-01,20,15,5,0,8,1.6,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.75,0.25
ATT000054,EMP0002,2025-12-01,23,18,5,0,8,3.3,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.7826,0.2174
ATT000055,EMP0002,2026-01-01,22,20,2,0,10,0.0,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9091,0.0909
ATT000056,EMP0002,2026-02-01,20,19,1,1,8,0.8,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.95,0.05
ATT000057,EMP0002,2026-03-01,22,20,2,1,12,2.4,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9091,0.0909
ATT000058,EMP0002,2026-04-01,22,22,0,0,8,0.0,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1.0,0.0
ATT000059,EMP0002,2026-05-01,21,19,2,0,3,1.4,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9048,0.0952
ATT000060,EMP0002,2026-06-01,22,22,0,0,8,4.2,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1.0,0.0
ATT000061,EMP0003,2024-01-01,23,22,1,1,17,7.9,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9565,0.0435
ATT000062,EMP0003,2024-02-01,21,19,2,0,16,5.8,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9048,0.0952
ATT000063,EMP0003,2024-03-01,21,19,2,3,15,2.7,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9048,0.0952
ATT000064,EMP0003,2024-04-01,22,19,3,1,13,0.0,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8636,0.1364
ATT000065,EMP0003,2024-05-01,23,21,2,0,19,6.1,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.913,0.087
ATT000066,EMP0003,2024-06-01,20,18,2,3,14,6.8,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9,0.1
ATT000067,EMP0003,2024-07-01,23,23,0,1,20,0.0,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1.0,0.0
ATT000068,EMP0003,2024-08-01,22,21,1,0,14,5.9,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9545,0.0455
ATT000069,EMP0003,2024-09-01,21,18,3,0,16,5.5,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8571,0.1429
ATT000070,EMP0003,2024-10-01,23,22,1,1,18,7.9,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9565,0.0435
ATT000071,EMP0003,2024-11-01,21,19,2,1,16,5.3,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9048,0.0952
ATT000072,EMP0003,2024-12-01,22,18,4,1,11,7.6,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8182,0.1818
ATT000073,EMP0003,2025-01-01,23,20,3,0,18,8.1,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8696,0.1304
ATT000074,EMP0003,2025-02-01,20,19,1,0,18,1.9,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.95,0.05
ATT000075,EMP0003,2025-03-01,21,19,2,2,16,0.0,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9048,0.0952
ATT000076,EMP0003,2025-04-01,22,22,0,0,20,6.4,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1.0,0.0
ATT000077,EMP0003,2025-05-01,22,22,0,1,19,13.3,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1.0,0.0
ATT000078,EMP0003,2025-06-01,21,20,1,1,19,10.3,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9524,0.0476
ATT000079,EMP0003,2025-07-01,23,22,1,2,21,11.1,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9565,0.0435
ATT000080,EMP0003,2025-08-01,21,19,2,0,14,0.0,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9048,0.0952
ATT000081,EMP0003,2025-09-01,22,20,2,0,15,7.3,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9091,0.0909
ATT000082,EMP0003,2025-10-01,23,19,4,0,13,5.7,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8261,0.1739
ATT000083,EMP0003,2025-11-01,20,16,4,1,10,4.3,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8,0.2
ATT000084,EMP0003,2025-12-01,23,21,2,0,18,0.0,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.913,0.087
ATT000085,EMP0003,2026-01-01,22,20,2,1,16,10.8,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9091,0.0909
ATT000086,EMP0003,2026-02-01,20,19,1,1,16,8.4,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.95,0.05
ATT000087,EMP0003,2026-03-01,22,20,2,0,15,13.3,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9091,0.0909
ATT000088,EMP0003,2026-04-01,22,21,1,1,15,0.0,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9545,0.0455
ATT000089,EMP0003,2026-05-01,21,20,1,1,19,3.5,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9524,0.0476
ATT000090,EMP0003,2026-06-01,22,20,2,0,15,0.4,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9091,0.0909
ATT000091,EMP0004,2024-01-01,23,17,6,4,6,4.4,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.7391,0.2609
ATT000092,EMP0004,2024-02-01,21,17,4,1,7,12.8,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8095,0.1905
ATT000093,EMP0004,2024-03-01,21,10,11,3,0,10.9,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.4762,0.5238
ATT000094,EMP0004,2024-04-01,22,20,2,0,11,7.2,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9091,0.0909
ATT000095,EMP0004,2024-05-01,23,22,1,1,10,3.0,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9565,0.0435
ATT000096,EMP0004,2024-06-01,20,17,3,1,7,1.3,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.85,0.15
ATT000097,EMP0004,2024-07-01,23,14,9,2,6,6.4,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.6087,0.3913
ATT000098,EMP0004,2024-08-01,22,18,4,1,7,9.3,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8182,0.1818
ATT000099,EMP0004,2024-09-01,21,17,4,2,6,4.6,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8095,0.1905
ATT000100,EMP0004,2024-10-01,23,16,7,1,4,10.6,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.6957,0.3043
ATT000101,EMP0004,2024-11-01,21,17,4,1,7,13.0,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8095,0.1905
ATT000102,EMP0004,2024-12-01,22,20,2,1,8,11.0,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9091,0.0909
ATT000103,EMP0004,2025-01-01,23,20,3,1,10,7.5,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8696,0.1304
ATT000104,EMP0004,2025-02-01,20,16,4,0,3,1.4,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8,0.2
ATT000105,EMP0004,2025-03-01,21,15,6,1,9,9.6,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.7143,0.2857
ATT000106,EMP0004,2025-04-01,22,15,7,1,8,7.8,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.6818,0.3182
ATT000107,EMP0004,2025-05-01,22,19,3,2,12,6.0,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8636,0.1364
ATT000108,EMP0004,2025-06-01,21,17,4,1,6,9.1,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8095,0.1905
ATT000109,EMP0004,2025-07-01,23,21,2,2,7,2.3,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.913,0.087
ATT000110,EMP0004,2025-08-01,21,16,5,2,6,5.2,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.7619,0.2381
ATT000111,EMP0004,2025-09-01,22,16,6,1,6,2.5,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.7273,0.2727
ATT000112,EMP0004,2025-10-01,23,16,7,2,5,0.4,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.6957,0.3043
ATT000113,EMP0004,2025-11-01,20,18,2,4,9,1.0,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9,0.1
ATT000114,EMP0004,2025-12-01,23,20,3,1,12,5.8,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8696,0.1304
ATT000115,EMP0004,2026-01-01,22,19,3,6,10,7.9,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8636,0.1364
ATT000116,EMP0004,2026-02-01,20,14,6,1,7,0.0,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.7,0.3
ATT000117,EMP0004,2026-03-01,22,20,2,1,8,0.9,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9091,0.0909
ATT000118,EMP0004,2026-04-01,22,18,4,0,11,6.9,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8182,0.1818
ATT000119,EMP0004,2026-05-01,21,17,4,3,5,9.5,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8095,0.1905
ATT000120,EMP0004,2026-06-01,22,17,5,0,10,3.9,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.7727,0.2273
ATT000121,EMP0005,2024-01-01,23,22,1,2,2,0.0,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9565,0.0435
ATT000122,EMP0005,2024-02-01,21,20,1,0,3,6.1,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9524,0.0476
ATT000123,EMP0005,2024-03-01,21,19,2,0,1,5.3,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9048,0.0952
ATT000124,EMP0005,2024-04-01,22,21,1,0,2,7.2,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9545,0.0455
ATT000125,EMP0005,2024-05-01,23,21,2,0,2,8.5,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.913,0.087
ATT000126,EMP0005,2024-06-01,20,20,0,1,0,3.3,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1.0,0.0
ATT000127,EMP0005,2024-07-01,23,23,0,0,0,6.3,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1.0,0.0
ATT000128,EMP0005,2024-08-01,22,20,2,0,4,9.1,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9091,0.0909
ATT000129,EMP0005,2024-09-01,21,18,3,0,3,1.9,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8571,0.1429
ATT000130,EMP0005,2024-10-01,23,20,3,0,0,1.0,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8696,0.1304
ATT000131,EMP0005,2024-11-01,21,21,0,0,0,7.2,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1.0,0.0
ATT000132,EMP0005,2024-12-01,22,19,3,0,0,9.8,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8636,0.1364
ATT000133,EMP0005,2025-01-01,23,21,2,0,1,5.4,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.913,0.087
ATT000134,EMP0005,2025-02-01,20,19,1,0,0,2.4,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.95,0.05
ATT000135,EMP0005,2025-03-01,21,18,3,3,3,2.9,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8571,0.1429
ATT000136,EMP0005,2025-04-01,22,21,1,0,0,7.1,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9545,0.0455
ATT000137,EMP0005,2025-05-01,22,20,2,0,4,9.8,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.9091,0.0909
ATT000138,EMP0005,2025-06-01,21,21,0,1,0,7.4,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1.0,0.0
ATT000139,EMP0005,2025-07-01,23,19,4,2,3,3.4,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8261,0.1739
ATT000140,EMP0005,2025-08-01,21,18,3,0,4,8.2,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8571,0.1429
ATT000141,EMP0005,2025-09-01,22,22,0,0,2,6.4,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1.0,0.0
ATT000142,EMP0005,2025-10-01,23,23,0,0,0,5.9,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1.0,0.0
ATT000143,EMP0005,2025-11-01,20,20,0,2,2,8.1,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1.0,0.0
ATT000144,EMP0005,2025-12-01,23,20,3,0,2,8.2,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8696,0.1304
ATT000145,EMP0005,2026-01-01,22,19,3,0,0,3.2,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8636,0.1364
ATT000146,EMP0005,2026-02-01,20,19,1,0,0,18.2,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.95,0.05
ATT000147,EMP0005,2026-03-01,22,18,4,0,0,0.0,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8182,0.1818
ATT000148,EMP0005,2026-04-01,22,19,3,1,1,0.2,2026-07-09 14:28:10 UTC,attendance.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,0.8636,0.1364
